50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.903077,,,,,,,,,,,1d0b0285-de3d-43ab-aae0-4341e211d463,17,,"[64.0, 75.6]",3879750,0,,,,3.0367157,,Left Foot,,,,"[62.1, 75.8]",,Ground Pass,,1.9104973,,Incomplete,,Andrea Conti,8657.0,,,,,,1,From Kick Off,Marco D''Alessandro,8184.0,Right Wing,2,Atalanta,228,"['2a0902d4-680d-4b16-987f-c843d0c4ec1d', '8f597cb0-6fa7-4cb2-9e88-09a3ca8c7e75', 'b6dc35a2-f014-43a6-8683-50ee5ce76a6c', 'c17ec608-e7db-4421-b015-9c1061a2eebe']",8,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:08.899,Pass,True
,,,,,,,,,,,,,,,,,1.089017,,,,,,,,,,,1c1f5364-ea21-4d14-9676-b9f840b4e0b4,30,,"[62.1, 80.0]",3879750,0,,,,-1.9933279,,,,,,"[56.3, 67.1]",,Low Pass,,14.143904,,,,Marten de Roon,6994.0,,,,,Throw-in,1,From Throw In,Andrea Conti,8657.0,Right Back,3,Atalanta,228,['a90c6cc0-abfc-4ec0-a034-30832ff0db12'],21,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:21.325,Pass,
,,,,,,,,,,,,,,,,,1.324379,,,,,,,,,,,f134d84e-c6c7-4ef2-978f-bc8bdd237a5a,32,,"[56.3, 67.1]",3879750,0,,,,-0.39994407,,Right Foot,,,,"[78.3, 57.8]",,High Pass,,23.884932,,,,Mauricio Ricardo Pinilla Ferreira,36770.0,,,,,,1,From Throw In,Marten de Roon,6994.0,Center Defensive Midfield,3,Atalanta,228,['d7c10e0b-1afc-46a5-a153-50ed40b1b005'],22,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:22.414,Pass,
,,,,,,,,,,,,,,,,,2.316571,,,,,,,,,,,014a4cb9-f0bd-4e1a-8abe-61d793062c0f,34,,"[78.3, 57.8]",3879750,0,,,,-0.866789,,Head,,,,"[93.5, 39.9]",,Low Pass,,23.482973,,Incomplete,,Alejandro Darío Gómez,7006.0,,,,,,1,From Throw In,Mauricio Ricardo Pinilla Ferreira,36770.0,Center Forward,3,Atalanta,228,"['20c7bbc8-2f9b-4a5d-b4fe-b7e7ec6d5143', 'a7fba2e2-2c99-4a4b-ae0b-b5557cef9821']",23,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:23.803,Pass,
,,,,,,,,,,,,,,,,,1.750363,,,,,,,,,,,a7fba2e2-2c99-4a4b-ae0b-b5557cef9821,36,,"[26.6, 40.2]",3879750,0,,,,3.0887008,,Right Foot,,,,"[9.6, 41.1]",,Ground Pass,,17.023808,,,,Anton Ciprian Tătărușanu,3112.0,,,,,Recovery,1,From Throw In,Facundo Sebastián Roncaglia,6830.0,Right Back,3,Atalanta,228,"['014a4cb9-f0bd-4e1a-8abe-61d793062c0f', '41feebd3-96a3-4635-a7f5-c32d9eadfbcf']",26,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:26.120,Pass,
,,,,,,,,,,,,,,,,,2.194398,,,,,,,,,,,b1ed47dc-0e3e-4844-bbff-dcdaf5b29722,40,,"[8.9, 31.2]",3879750,0,,,,-0.32241413,,Left Foot,,,,"[54.1, 16.1]",,High Pass,,47.655537,,Incomplete,,Federico Bernardeschi,7777.0,,,,,,1,From Throw In,Anton Ciprian Tătărușanu,3112.0,Goalkeeper,3,Atalanta,228,"['1b6a8159-78ed-4c75-a22d-8752e7b017f6', '6c56d930-50a8-48f9-bd1a-b2342d669f37', '96965446-3bb2-4898-8033-827e0a15f0b7']",30,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:30.012,Pass,True
,,,,,,,,,,,,,,,,,2.824706,,,,,,,,,,,96965446-3bb2-4898-8033-827e0a15f0b7,42,,"[66.0, 64.0]",3879750,0,,,,-0.52496,,Head,,,,"[90.0, 50.1]",,High Pass,,27.734636,,,,Mauricio Ricardo Pinilla Ferreira,36770.0,,,,,Recovery,1,From Throw In,Andrea Conti,8657.0,Right Back,3,Atalanta,228,"['7abd5a1a-06ec-44ad-8fdc-f4c64f9da0a6', 'b1ed47dc-0e3e-4844-bbff-dcdaf5b29722']",32,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:32.206,Pass,
,,,,,,,,,,,,,,,,,2.350516,,,,,,,,,,,4201ea7c-55b7-4d11-b04d-79b36aa4474d,46,,"[88.4, 48.1]",3879750,0,,,,-2.2222495,,Right Foot,,,,"[76.2, 32.1]",,High Pass,,20.120636,,,,Luca Cigarini,8420.0,,,,,,1,From Throw In,Mauricio Ricardo Pinilla Ferreira,36770.0,Center Forward,3,Atalanta,228,"['4f3c5722-5b32-4a08-b30a-54d139769fc8', 'bb3f18c2-042b-41ed-9503-b2b18274e754']",35,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:35.815,Pass,True
,,,,,,,,,,,,,,,,,1.434698,,,,,,,,,,,1fc35987-2a24-41bd-a6b8-6be445a6db37,48,,"[75.2, 28.6]",3879750,0,,,,-2.9350567,,Right Foot,,,,"[64.7, 26.4]",,Ground Pass,,10.728001,,,,Boukary Dramé,11722.0,,,,,,1,From Throw In,Luca Cigarini,8420.0,Left Center Midfield,3,Atalanta,228,['3f9c55be-7da9-47a5-aaf0-a3c12ffe3ef7'],38,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:38.166,Pass,
,,,,,,,,,,,,,,,,,1.348568,,,,,,,,,,,d5b7f106-0985-47d3-ad2a-03163d7f1fe9,53,,"[70.6, 26.8]",3879750,0,,,,2.0155187,,Left Foot,,,,"[64.5, 39.6]",,Ground Pass,,14.17921,,,,Marten de Roon,6994.0,,,,,,1,From Throw In,Boukary Dramé,11722.0,Left Back,3,Atalanta,228,"['2baa3e99-19b4-46b3-b006-62c3ad215e0d', '4738850c-ee0c-4a56-9dc0-68ae33130dca']",40,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:40.561,Pass,True
