50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.61087,,,,,,,,,,,,,da0a05b5-84d9-419e-983d-c19e77d86579,17,,"[49.7, 63.2]",3878606,0,,,,,-1.282482,,Right Foot,,,"[65.3, 10.6]",,Ground Pass,,54.86456,,,,Emiliano Moretti,7476.0,,,True,,,,1,From Kick Off,Cesare Bovo,40427.0,Right Center Back,2,Torino,241,['6cb1baa9-9464-47ff-b8db-e6beaf635328'],13,,,,,,,,,,,,,,,,,,Torino,241,00:00:13.343,Pass,
,,,,,,,,,,,,,,,1.064836,,,,,,,,,,,,,458d6901-4678-4248-b49f-c6a37225a8c1,20,,"[82.5, 7.5]",3878606,0,,,,,-0.50617516,,Right Foot,,,"[91.7, 2.4]",,Ground Pass,,10.519031,,,,Cristian Molinaro,7479.0,,,,,,,1,From Kick Off,Emiliano Moretti,7476.0,Left Center Back,2,Torino,241,['d31f2372-b8e9-4eee-b6e8-58d497ae9791'],18,,,,,,,,,,,,,,,,,,Torino,241,00:00:18.879,Pass,
,,,,,,,,,,,,,,,1.792066,,,,,,,,,,,,,4bec9957-3dbc-4671-9d38-96c98649caf1,24,,"[99.6, 4.7]",3878606,0,,,,,1.2416698,,Left Foot,True,,"[109.3, 33.1]",,High Pass,,30.010832,,Incomplete,,Fabio Quagliarella,7011.0,,,,,,,1,From Kick Off,Cristian Molinaro,7479.0,Left Wing Back,2,Torino,241,"['42f690d8-b5ce-480f-935a-9f9583912a93', '487e7867-ed3a-488b-9923-8afa926fb783', '68b9221d-1938-48b6-b669-552da9062a02']",21,,,,,,,,,,,,,,,,,,Torino,241,00:00:21.477,Pass,True
,,,,,,,,,,,,,,,1.773997,,,,,,,,,,,,,ad5b362d-d8f6-4798-abc6-3f050fdc3e94,28,,"[102.2, 9.4]",3878606,0,,,,True,1.4115146,,,True,,"[106.2, 34.3]",,High Pass,,25.219238,,Incomplete,,Andrea Belotti,7471.0,,,,,,Recovery,1,From Kick Off,Cristian Molinaro,7479.0,Left Wing Back,2,Torino,241,"['13850c4b-8f15-4ed5-bdbe-cb2111d2730d', '807e1c89-3856-4946-9fcc-8afe2e2a0eb3', '9ea47b2e-bae6-451b-a205-f44535290fd3']",25,,,,,,,,,,,,,,,,,,Torino,241,00:00:25.754,Pass,True
,,,,,,,,,,,,,,,1.966584,,,,,,,,,,,,,807e1c89-3856-4946-9fcc-8afe2e2a0eb3,30,,"[13.9, 45.8]",3878606,0,,,,True,0.65391064,,,,,"[38.3, 64.5]",,High Pass,,30.741665,,Incomplete,,Luis Fernando Muriel Fruto,6334.0,,,,,,Recovery,1,From Kick Off,Matías Agustín Silvestre,7019.0,Right Center Back,2,Torino,241,"['2f782930-d1b5-4752-850f-6c76741a8c1b', 'ad5b362d-d8f6-4798-abc6-3f050fdc3e94', 'bb1befb5-3939-44b0-9b4d-298990f59533', 'e2cf223b-1f26-45cb-8266-d1379be26086']",27,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:27.528,Pass,True
,,,,,,,,,,,,,,,2.512209,,,,,,,,,,,,,b48f572d-f9e6-40c7-8286-d4e127103183,35,,"[87.2, 14.9]",3878606,0,,,,,-0.21919306,fe7e0708-87c1-4dd2-8dc2-22befae151ae,Left Foot,,,"[107.4, 10.4]",,Ground Pass,,20.69517,,,,Cristian Molinaro,7479.0,True,,,,,,1,From Kick Off,Emiliano Moretti,7476.0,Left Center Back,2,Torino,241,['5034f095-3cd4-409b-ab84-4e92f3ea2eee'],30,,,,,,,,,,,,,,,,,,Torino,241,00:00:30.960,Pass,
,,,,,,,,,,,,,,,2.03392,,,,,,,,,,,,,3f96080a-a341-43de-aef2-1e5a3777ad35,47,,"[120.0, 0.1]",3878606,1,,,,,1.7873933,2bc54a70-836f-43f8-a8f3-9391457cff58,Right Foot,,,"[111.0, 41.0]",,High Pass,True,41.878513,,,,Emiliano Moretti,7476.0,True,,True,Inswinging,,Corner,1,From Corner,Daniele Baselli,7465.0,Left Center Midfield,3,Torino,241,['bd5ac293-b85e-4f3a-a816-9b78098b4975'],15,,,,,,,,,,,,,,,,,,Torino,241,00:01:15.301,Pass,
,,,,,,,,,,,,,,,5.08872,,,,,,,,,,,,,8cf779de-a414-40bf-ac0c-a0373e6f533a,52,,"[11.6, 42.5]",3878606,1,,True,,,0.13058898,,Drop Kick,,,"[98.4, 53.9]",,High Pass,,87.54542,,Incomplete,,Eder Citadin Martins,7000.0,,,,,,,1,From Keeper,Emiliano Viviano,7018.0,Goalkeeper,4,Sampdoria,234,"['0587c89d-32c5-4814-8ded-9ab7925ab358', '2b730533-7fd0-4462-ab12-d51b036296e5']",23,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:23.035,Pass,
,,,,,,,,,,,,,,,2.376777,,,,,,,,,,,,,e1f2503f-5fd1-4144-a628-9db9521afd39,56,,"[22.0, 28.1]",3878606,1,,,,,1.3675036,,Right Foot,,,"[26.7, 50.9]",,Ground Pass,,23.27939,,,,Bruno da Silva Peres,6965.0,,,,,,,1,Regular Play,Giuseppe Vives,40430.0,Center Defensive Midfield,5,Torino,241,['1e6673e1-c855-41a0-95e5-123ae5498fe6'],29,,,,,,,,,,,,,,,,,,Torino,241,00:01:29.444,Pass,
,,,,,,,,,,,,,,,1.029284,,,,,,,,,,,,,0d275fa0-6aa3-418b-afef-1d419d66955c,59,,"[37.3, 61.7]",3878606,1,,,,,-1.4121411,,Right Foot,,,"[38.1, 56.7]",,Ground Pass,,5.063596,,,,Cesare Bovo,40427.0,,,,,,,1,Regular Play,Bruno da Silva Peres,6965.0,Right Wing Back,5,Torino,241,['8c48b35a-da88-4c25-9580-2e3fc0712eff'],35,,,,,,,,,,,,,,,,,,Torino,241,00:01:35.960,Pass,
