50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,64e4ddc9-1d92-467d-b444-b87660d3be81,1,,,3879585,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 7168, 'name': 'Andrea Poli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7702, 'name': 'Alessio Cerci'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 28}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ad11a683-5a6c-4e23-bdf1-bf5aa1d72f95,2,,,3879585,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 30941, 'name': 'Karim Laribi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 7113, 'name': 'Simone Missiroli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 27110, 'name': 'Antonio Floro Flores'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 83}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 92}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d4e9baba-9fb5-4b31-a689-be7b568bf786,3,,,3879585,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['6169872a-fc51-45b3-8e88-1cf9ae973c69'],0,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6169872a-fc51-45b3-8e88-1cf9ae973c69,4,,,3879585,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['d4e9baba-9fb5-4b31-a689-be7b568bf786'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,64e90f53-4b4a-408f-abbd-b626f38ba8cf,1875,,,3879585,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,115,AC Milan,243,['1fccf9ba-0c5d-4919-90e2-77ac485db878'],0,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1fccf9ba-0c5d-4919-90e2-77ac485db878,1876,,,3879585,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,115,AC Milan,243,['64e90f53-4b4a-408f-abbd-b626f38ba8cf'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.507358,,,,,,,,,,,,,,,ab133565-947d-474c-bb84-fe5b30d3c8e0,5,,"[61.0, 40.1]",3879585,0,,,,,1.4382448,,Left Foot,,,,"[61.4, 43.1]",Ground Pass,,3.026549,,,,,Simone Missiroli,7113.0,,,,,Kick Off,1,From Kick Off,Gregoire Defrel,7457.0,Center Forward,2,Sassuolo,232,['5005406d-0e51-4705-90fe-4c1345252c37'],0,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.475,Pass,
,,,,,,,,,,,,,,,,,,,1.40104,,,,,,,,,,,,,,,9538fd82-0f25-4583-a83a-0894c95f3881,8,,"[58.4, 35.6]",3879585,0,,,,,-1.9853032,,Right Foot,,,,"[48.5, 13.1]",Ground Pass,,24.581701,,,,,Federico Peluso,7118.0,,,,,,1,From Kick Off,Simone Missiroli,7113.0,Left Center Midfield,2,Sassuolo,232,['5b30e1a8-1136-4365-9689-332cfb9c38be'],3,,,,,,,,,,,,,,,,Sassuolo,232,00:00:03.678,Pass,
,,,,,,,,,,,,,,,,,,,1.544577,,,,,,,,,,,,,,,09cb7eca-0ae0-49ca-9dd6-aacd8ddbd574,11,,"[48.5, 12.9]",3879585,0,,,,,-0.054232482,,Left Foot,,,,"[83.5, 11.0]",High Pass,,35.051533,,,Incomplete,,Antonio Floro Flores,27110.0,,,,,,1,From Kick Off,Federico Peluso,7118.0,Left Back,2,Sassuolo,232,"['aab370b9-019e-445d-873d-e3b0c3aa2050', 'f77d6157-98d3-4f58-8d7b-e27f7078aa84']",6,,,,,,,,,,,,,,,,Sassuolo,232,00:00:06.154,Pass,
,,,,,,,,,,,,,,,,,,,1.509602,,,,,,,,,,,,,,,31e3d26d-cd52-4545-9f0c-ee93b4dd3045,15,,"[49.4, 68.7]",3879585,0,,,,,0.87985307,,Right Foot,,,,"[53.7, 73.9]",Low Pass,,6.747592,,,,,Alessio Cerci,7702.0,,,,,Recovery,1,Regular Play,Juraj Kucka,10919.0,Right Center Midfield,3,AC Milan,243,"['23928deb-8dcf-4de5-856d-6df67823f692', '63aabecb-08bb-4622-8cb5-d3dccaae8d98']",8,,,,,,,,,,,,,,,,AC Milan,243,00:00:08.813,Pass,True
