50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b8ce633f-02c5-46d9-a4ac-8fe017853d20,1,,,3878607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 40529, 'name': 'Morgan De Sanctis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 8104, 'name': 'Vassilis Torosidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 27949, 'name': 'Juan Manuel Iturbe Arévalo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 15780, 'name': 'Francesco Totti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",AS Roma,229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c37f2dc4-7378-4537-ac40-782157576893,2,,,3878607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 10031, 'name': 'Marcello Gazzola'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7113, 'name': 'Simone Missiroli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 7109, 'name': 'Matteo Politano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 27110, 'name': 'Antonio Floro Flores'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 83}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 92}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,245ebfbe-f402-4808-9eeb-9f3549195346,3,,,3878607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,['fd4e77e2-cd56-4f0f-ab03-f941d79d60b0'],0,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fd4e77e2-cd56-4f0f-ab03-f941d79d60b0,4,,,3878607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,['245ebfbe-f402-4808-9eeb-9f3549195346'],0,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b5a97a75-93e4-4151-ad9c-3a2ad8a76cee,1847,,,3878607,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Sassuolo,232,['9460d234-f9ac-40f6-b19f-ff24f6430e1b'],0,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9460d234-f9ac-40f6-b19f-ff24f6430e1b,1848,,,3878607,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Sassuolo,232,['b5a97a75-93e4-4151-ad9c-3a2ad8a76cee'],0,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.460799,,,,,,,,,,,,,,ca922b8d-9fb2-4c3f-9c5d-a0aa246c39ef,5,,"[61.0, 40.1]",3878607,0,,True,,,1.15934,,Left Foot,,,,"[63.4, 45.6]",,Low Pass,,6.0008335,,,,Mohamed Salah,3531.0,,,,,,Kick Off,1,From Kick Off,Francesco Totti,15780.0,Center Forward,2,AS Roma,229,['19816c58-0f9f-4dce-9c2d-3644ec3fc47f'],0,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.823,Pass,
,,,,,,,,,,,,,,,,,,1.970777,,,,,,,,,,,,,,cb7ff6f2-491c-4e09-948f-3e1ecc6c8cec,8,,"[63.4, 45.8]",3878607,0,,,,,3.1415927,,Right Foot,,,,"[42.1, 45.8]",,Ground Pass,,21.3,,,,Konstantinos Manolas,7048.0,,,,,,,1,From Kick Off,Mohamed Salah,3531.0,Right Wing,2,AS Roma,229,"['014407ae-fad5-476c-b100-b85d125f46ed', '4fcc572f-7baf-496c-b02b-43f71c5754db']",1,,,,,,,,,,,,,,,,AS Roma,229,00:00:01.751,Pass,True
,,,,,,,,,,,,,,,,,,1.487983,,,,,,,,,,,,,,2dfe6c49-126c-4cdf-b090-b5ac932315fd,11,,"[41.7, 45.8]",3878607,0,,,,,-1.620226,,Right Foot,,,,"[40.3, 17.5]",,Ground Pass,,28.334608,,,,Antonio Rüdiger,3167.0,,,,,,,1,From Kick Off,Konstantinos Manolas,7048.0,Right Center Back,2,AS Roma,229,['3aa5e562-057a-428b-916a-de908068dbb6'],4,,,,,,,,,,,,,,,,AS Roma,229,00:00:04.055,Pass,
,,,,,,,,,,,,,,,,,,1.554454,,,,,,,,,,,,,,c7c183fc-d0f1-46c8-b4bf-6b59324743f7,14,,"[40.3, 17.5]",3878607,0,,,,,-0.6257515,,Right Foot,,,,"[54.0, 7.6]",,Ground Pass,,16.902662,,,,Vassilis Torosidis,8104.0,,,,,,,1,From Kick Off,Antonio Rüdiger,3167.0,Left Center Back,2,AS Roma,229,['e0e7874c-b820-48a4-a74a-fa1792f4fd4e'],6,,,,,,,,,,,,,,,,AS Roma,229,00:00:06.851,Pass,
