50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aeb91f45-e428-408e-9b29-5a41bb8fce3a,1,,,,3879678,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,afc3d9b3-c792-41c6-bfe7-142f590310b9,2,,,,3879678,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 89}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 8191, 'name': 'Ali Adnan Kadhim Al Tameemi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 53}, {'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7805, 'name': 'Stipe Perica'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 77}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5e387a35-7f4f-4ee0-9018-7beb4531c3ca,3,,,,3879678,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['03edbb0d-989b-4172-9bdc-670bce97a26e'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,03edbb0d-989b-4172-9bdc-670bce97a26e,4,,,,3879678,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['5e387a35-7f4f-4ee0-9018-7beb4531c3ca'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,853e69a0-c2ef-455c-9547-2ff79af81fa8,1882,,,,3879678,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Udinese,230,['a5c4b692-a884-49b8-9213-ca8c4433e459'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a5c4b692-a884-49b8-9213-ca8c4433e459,1883,,,,3879678,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Udinese,230,['853e69a0-c2ef-455c-9547-2ff79af81fa8'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.567826,,,,,,,,,,,,,72a64388-3922-4a5e-a233-0033aff78685,5,,,"[60.0, 40.0]",3879678,0,,,,,1.7126933,,Right Foot,,"[59.7, 42.1]",,Ground Pass,,2.1213202,,,,Lorenzo Lollo,30829.0,,,,,Kick Off,1,From Kick Off,Jerry Uche Mbakogu,32608.0,Center Forward,2,Carpi,1683,['6e0af92c-5a56-4c07-9077-945d55ae3025'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.659,Pass,
,,,,,,,,,,,,,,,,,,0.971696,,,,,,,,,,,,,7df633a1-0edd-43fb-a967-ad3641528ccd,8,,,"[60.1, 42.4]",3879678,0,,,,,-2.7996428,,Right Foot,,"[48.3, 38.2]",,Ground Pass,,12.525175,,,,Raffaele Bianco,352172.0,,,,,,1,From Kick Off,Lorenzo Lollo,30829.0,Center Attacking Midfield,2,Carpi,1683,['2902d74b-d488-4d73-97e5-bb8d82cb5a89'],1,,,,,,,,,,,,,,,,,Carpi,1683,00:00:01.347,Pass,
,,,,,,,,,,,,,,,,,,1.432087,,,,,,,,,,,,,cd6b883e-ebd0-4961-9af9-fec4a5b45de8,11,,,"[47.5, 37.9]",3879678,0,,,,,-1.7597888,,Right Foot,,"[41.8, 8.1]",,Ground Pass,,30.340237,,,,Gaetano Letizia,7114.0,,,,,,1,From Kick Off,Raffaele Bianco,352172.0,Left Defensive Midfield,2,Carpi,1683,['d1f10734-ae07-4082-b86e-ea9d41cd6aae'],2,,,,,,,,,,,,,,,,,Carpi,1683,00:00:02.398,Pass,
,,,,,,,,,,,,,,,,,,3.007757,,,,,,,,,,,,,b5816c47-1fd8-4c34-940e-d118a23bd1bb,14,,,"[43.1, 4.7]",3879678,0,,,,,0.08625992,,Left Foot,,"[88.2, 8.6]",,High Pass,,45.26831,,Incomplete,,Antonio Di Gaudio,11502.0,,,,,,1,From Kick Off,Gaetano Letizia,7114.0,Left Back,2,Carpi,1683,"['13fed9ef-bc3e-4492-9c18-3506d5cff561', '8f9c33ec-e6d8-4f3a-ba3c-e21f559d903e']",5,,,,,,,,,,,,,,,,,Carpi,1683,00:00:05.607,Pass,
