50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fa5474fb-0915-42d7-a3f7-f1c688f16a52,1,,,3879591,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7123, 'name': 'Gianluca Pegolo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 79}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7113, 'name': 'Simone Missiroli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6948, 'name': 'Sergio Floccari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,91076f4e-fee9-46e4-b9f8-e2254f8ba74b,2,,,3879591,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 7013, 'name': 'Stefano Sturaro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e4866258-c639-4e3a-93e7-2376c3409548,3,,,3879591,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['8f944d49-40bd-4e33-bcce-4f6604c4453f'],0,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8f944d49-40bd-4e33-bcce-4f6604c4453f,4,,,3879591,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['e4866258-c639-4e3a-93e7-2376c3409548'],0,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,54b49457-8ff3-4cfc-b17c-4410e7328cfa,1804,,,3879591,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Juventus,224,['ff1fdae2-8ea4-479f-a3af-4251e6823be9'],0,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ff1fdae2-8ea4-479f-a3af-4251e6823be9,1805,,,3879591,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Juventus,224,['54b49457-8ff3-4cfc-b17c-4410e7328cfa'],0,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.468605,,,,,,,,,,,,7e7c9930-d465-45c8-82fc-bb6f14534468,5,,"[61.0, 40.1]",3879591,0,,,,,2.203545,,Right Foot,,,,"[58.8, 43.1]",Ground Pass,,3.720215,,,,,Simone Missiroli,7113.0,,,,,Kick Off,1,From Kick Off,Sergio Floccari,6948.0,Center Forward,2,Sassuolo,232,['af7beedd-6074-46eb-8b96-0509b01759cf'],0,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.902,Pass,
,,,,,,,,,,,,,,,,0.871028,,,,,,,,,,,,1c5abf20-cf2e-4748-bd8d-8b12aefd2b13,8,,"[57.5, 44.2]",3879591,0,,,,,2.8256223,,Right Foot,,,,"[47.1, 47.6]",Ground Pass,,10.941664,,,,,Francesco Magnanelli,7127.0,,,,,,1,From Kick Off,Simone Missiroli,7113.0,Right Center Midfield,2,Sassuolo,232,['f7c09c26-b0c6-49d8-8428-150ec582eb2e'],2,,,,,,,,,,,,,,,,Sassuolo,232,00:00:02.514,Pass,
,,,,,,,,,,,,,,,,1.605813,,,,,,,,,,,,7c70f661-177c-4a3b-8cde-32b3100e80d8,11,,"[43.2, 48.3]",3879591,0,,,,,-2.001489,,Left Foot,,,,"[34.7, 29.8]",Ground Pass,,20.359274,,,,,Francesco Acerbi,7119.0,,,,,,1,From Kick Off,Francesco Magnanelli,7127.0,Center Defensive Midfield,2,Sassuolo,232,['7326f909-324a-4ceb-9cd1-3fdefd2df9e5'],4,,,,,,,,,,,,,,,,Sassuolo,232,00:00:04.462,Pass,
,,,,,,,,,,,,,,,,2.177663,,,,,,,,,,,,cf0ebb59-a7bc-4cdd-9f22-acd1e88d39c8,15,,"[34.4, 31.5]",3879591,0,,,,,2.7903492,,Left Foot,,,,"[5.2, 42.2]",Ground Pass,,31.098713,,,,,Gianluca Pegolo,7123.0,,,,,,1,From Kick Off,Francesco Acerbi,7119.0,Left Center Back,2,Sassuolo,232,['c7457330-1f29-4793-9083-5dbd7f2986aa'],6,,,,,,,,,,,,,,,,Sassuolo,232,00:00:06.433,Pass,
