50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,391bdee8-63f1-4b81-bf0b-ceaf24857976,1,,,,3878595,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8443, 'name': 'Dušan Basta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 9939, 'name': 'Maurício dos Santos Nascimento'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 7778, 'name': 'Ştefan Daniel Radu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 7107, 'name': 'Danilo Cataldi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 386641, 'name': 'Stefano Mauri'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3145, 'name': 'Keita Baldé Diao'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,da290142-bfdd-4373-846f-a510f13da0d4,2,,,,3878595,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 8852, 'name': 'Thomas Heurtaux'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 75}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 89}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8191, 'name': 'Ali Adnan Kadhim Al Tameemi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 53}, {'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 33529, 'name': 'Panagiotis Giorgios Kone'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 33}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 77}, {'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c0b36b4f-acca-4d26-839c-06318ce4d444,3,,,,3878595,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['6ee9f2a7-51d6-463a-849a-af4e1a425cba'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6ee9f2a7-51d6-463a-849a-af4e1a425cba,4,,,,3878595,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['c0b36b4f-acca-4d26-839c-06318ce4d444'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d1df7509-204e-4e6e-b4f1-6cde9481326e,1659,,,,3878595,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Lazio,236,['8695d9a8-847b-4df5-b0bc-1d4be5d2f7ec'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8695d9a8-847b-4df5-b0bc-1d4be5d2f7ec,1660,,,,3878595,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Lazio,236,['d1df7509-204e-4e6e-b4f1-6cde9481326e'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.595576,,,,,,,,,,,5cdc4e79-0d47-4025-a80a-a6256f97e450,5,,,"[61.0, 40.1]",3878595,0,,,,1.960113,,Left Foot,,"[59.4, 44.0]",,Ground Pass,,4.215448,,,,Duván Esteban Zapata Banguera,7017.0,,,,,,Kick Off,1,From Kick Off,Cyril Théréau,8272.0,Right Center Forward,2,Udinese,230,['c479f4f9-6c7f-46d1-9ef5-051acec28ed6'],1,,,,,,,,,,,,,,,,,,Udinese,230,00:00:01.389,Pass,
,,,,,,,,,,,,,,,,1.520349,,,,,,,,,,,a8f5c739-36d7-4bb0-b523-a7a235f37a95,8,,,"[59.7, 43.8]",3878595,0,,,,3.1241527,,Right Foot,,"[42.5, 44.1]",,Ground Pass,,17.202616,,,,Danilo Larangeira,7799.0,,,,,,,1,From Kick Off,Duván Esteban Zapata Banguera,7017.0,Left Center Forward,2,Udinese,230,['58af6b42-7aa9-404c-b85a-b7acf836d902'],2,,,,,,,,,,,,,,,,,,Udinese,230,00:00:02.037,Pass,
,,,,,,,,,,,,,,,,3.618622,,,,,,,,,,,56b444e6-ceef-476d-8ecb-6b552adf2b14,11,,,"[41.7, 42.6]",3878595,0,,,,-0.45259362,,Right Foot,,"[89.0, 19.6]",,High Pass,,52.59553,,Unknown,,Ali Adnan Kadhim Al Tameemi,8191.0,,,,,,,1,From Kick Off,Danilo Larangeira,7799.0,Center Back,2,Udinese,230,['23d5875f-a8b9-4763-9c1c-39d40565d179'],4,,,,,,,,,,,,,,,,,,Udinese,230,00:00:04.469,Pass,
,,,,,,,,,,,,,,,,0.097388,,,,,,,,,,,87e92d7f-9809-44f8-9935-30040830df98,13,,,"[33.2, 59.9]",3878595,0,,,,-1.056345,,Head,,"[34.5, 57.6]",,High Pass,,2.641969,,Unknown,,,,,,,,,Recovery,1,From Kick Off,Maurício dos Santos Nascimento,9939.0,Right Center Back,2,Udinese,230,,8,,,,,,,,,,,,,,,,,,Lazio,236,00:00:08.103,Pass,
,,,,,,,,,,,,,,,,1.764952,,,,,,,,,,,17ea32ce-1683-4ddd-b064-be48a00be6e1,16,,,"[34.6, 56.2]",3878595,0,,,,-1.9960934,,Right Foot,,"[26.9, 39.2]",,Ground Pass,,18.662529,,,,Wesley Hoedt,3588.0,,,,,,Free Kick,1,From Free Kick,Danilo Cataldi,7107.0,Right Defensive Midfield,3,Lazio,236,['f354dba6-5b93-43af-8294-c48999add777'],16,,,,,,,,,,,,,,,,,,Lazio,236,00:00:16.965,Pass,
,,,,,,,,,,,,,,,,1.98871,,,,,,,,,,,67c90328-0ccf-4fff-aaff-b61316ff4b04,19,,,"[27.2, 35.3]",3878595,0,,,,-1.2268273,,Right Foot,,"[36.8, 8.5]",,Ground Pass,,28.467525,,,,Ştefan Daniel Radu,7778.0,,,,,,,1,From Free Kick,Wesley Hoedt,3588.0,Left Center Back,3,Lazio,236,['803f5831-c8ab-4634-90af-a57828e55cd8'],19,,,,,,,,,,,,,,,,,,Lazio,236,00:00:19.032,Pass,
,,,,,,,,,,,,,,,,1.533691,,,,,,,,,,,6c8a7ae4-041f-4a21-87a5-08d2dbce18e1,22,,,"[36.8, 8.8]",3878595,0,,,,1.6814536,,Left Foot,,"[35.1, 24.1]",,Ground Pass,,15.394155,,,,Danilo Cataldi,7107.0,,,,,,,1,From Free Kick,Ştefan Daniel Radu,7778.0,Left Back,3,Lazio,236,['e6205267-95b8-4a95-8675-98b6171c8aca'],21,,,,,,,,,,,,,,,,,,Lazio,236,00:00:21.942,Pass,
,,,,,,,,,,,,,,,,1.764555,,,,,,,,,,,2744fcc7-a020-458b-a5fa-be4336fb0cf0,25,,,"[40.8, 36.9]",3878595,0,,,,1.4620719,,Right Foot,,"[43.9, 65.3]",,Ground Pass,,28.56869,,,,Maurício dos Santos Nascimento,9939.0,,,,,,,1,From Free Kick,Danilo Cataldi,7107.0,Right Defensive Midfield,3,Lazio,236,['58d07c8b-206f-4d97-b1b9-bf30e4dc10f9'],25,,,,,,,,,,,,,,,,,,Lazio,236,00:00:25.304,Pass,
,,,,,,,,,,,,,,,,0.98792,,,,,,,,,,,ca419657-1cf9-4f77-b1bd-70536bf63f09,28,,,"[45.6, 67.0]",3878595,0,,,,-1.9638543,,Right Foot,,"[42.2, 58.8]",,Ground Pass,,8.876936,,,,Danilo Cataldi,7107.0,,,,,,,1,From Free Kick,Maurício dos Santos Nascimento,9939.0,Right Center Back,3,Lazio,236,['a34ee120-0bbf-4044-9ba8-5e5f16f8be41'],27,,,,,,,,,,,,,,,,,,Lazio,236,00:00:27.452,Pass,
