50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0dc51bdf-da84-424e-ba48-74b487930ec6,1,,,,3879816,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",AS Roma,229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b46dcb7a-dd14-44a4-b684-b3c27d540ea9,2,,,,3879816,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7164, 'name': 'Ibrahima Mbaye'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 8849, 'name': 'Domenico Maietta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 40119, 'name': 'Juan Camilo Zúñiga Mosquera'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 8280, 'name': 'Godfred Donsah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 18027, 'name': 'Matteo Brighi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 33}, {'player': {'id': 11729, 'name': 'Luca Rizzo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 6948, 'name': 'Sergio Floccari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b121e33d-f73b-4f6f-a654-05cf41f2291e,3,,,,3879816,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,['e67de0c1-a405-4b9a-8299-07db10aad036'],0,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e67de0c1-a405-4b9a-8299-07db10aad036,4,,,,3879816,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,['b121e33d-f73b-4f6f-a654-05cf41f2291e'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7813292a-cde7-4fba-a201-22bd2618a6e2,2034,,,,3879816,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,AS Roma,229,['4e606497-44aa-4efa-b9c6-8b0d404c8fc8'],0,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e606497-44aa-4efa-b9c6-8b0d404c8fc8,2035,,,,3879816,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,AS Roma,229,['7813292a-cde7-4fba-a201-22bd2618a6e2'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.598431,,,,,,,,,,,,,0a13cfbb-d2c0-4ef5-945c-5cd624e2f783,5,,,"[60.0, 40.0]",3879816,0,,True,,,1.6421038,,Right Foot,,,"[59.9, 41.4]",,Ground Pass,,1.4035668,,,Luca Rizzo,11729.0,,,,,,Kick Off,1,From Kick Off,Matteo Brighi,18027.0,Left Center Midfield,2,Bologna,240,['be00a7b9-23dd-40b1-a1b4-04721173acb4'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.808,Pass,
,,,,,,,,,,,,,,,,0.973465,,,,,,,,,,,,,da70485e-1e96-41a9-a4ba-52ddbbc8e0a2,7,,,"[59.9, 41.6]",3879816,0,,,,,2.8081808,,Right Foot,,,"[39.4, 48.7]",,Ground Pass,,21.6947,,,Luca Rossettini,7142.0,,,,,,,1,From Kick Off,Luca Rizzo,11729.0,Left Midfield,2,Bologna,240,['d4f1b854-11d8-44d9-b710-1d7f7115503b'],1,,,,,,,,,,,,,,,,,,Bologna,240,00:00:01.462,Pass,
,,,,,,,,,,,,,,,,0.949971,,,,,,,,,,,,,c335b2d0-e35f-4eb9-bc32-d868933fbc19,10,,,"[39.6, 48.6]",3879816,0,,,,,-2.0756576,,Right Foot,,,"[37.5, 44.8]",,Ground Pass,,4.3416586,,,Domenico Maietta,8849.0,,,,,,,1,From Kick Off,Luca Rossettini,7142.0,Right Center Back,2,Bologna,240,['e4fc98ce-492e-49ca-ac9f-2fdb1b6bdd6d'],2,,,,,,,,,,,,,,,,,,Bologna,240,00:00:02.528,Pass,
,,,,,,,,,,,,,,,,3.032655,,,,,,,,,,,,,b3515058-eaf8-4c78-af37-7573cf462c85,13,,,"[37.5, 44.8]",3879816,0,,,,,0.4752301,,Right Foot,,,"[78.7, 66.0]",,High Pass,,46.33444,Incomplete,,Sergio Floccari,6948.0,,,,,,,1,From Kick Off,Domenico Maietta,8849.0,Left Center Back,2,Bologna,240,"['e8b15c4b-b263-48d6-ab8f-0968a2217058', 'f79cdb19-5f38-4a97-89db-0a1fc2b2b37b']",3,,,,,,,,,,,,,,,,,,Bologna,240,00:00:03.598,Pass,
