50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f16164ea-0a63-4840-bd8f-e1d27020083e,1,,,3879635,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Napoli,227,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b438bbaa-8e2f-40f7-af38-3f8c288c39ef,2,,,3879635,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6984, 'name': ""Danilo D''Ambrosio""}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 55}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 44}, {'player': {'id': 32807, 'name': 'Fredy Alejandro Guarín Vásquez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,289f27dd-9564-420c-9f1f-994078b2c78a,3,,,3879635,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,['cdcf61e8-1d4c-45ab-85cf-6e97fbc6f832'],0,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cdcf61e8-1d4c-45ab-85cf-6e97fbc6f832,4,,,3879635,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,['289f27dd-9564-420c-9f1f-994078b2c78a'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8300a8f8-eb79-46ac-a013-7c4e7411b07a,2198,,,3879635,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Napoli,227,['4489d225-aeb6-4dfc-a8ef-8cf3c591e126'],0,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4489d225-aeb6-4dfc-a8ef-8cf3c591e126,2199,,,3879635,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Napoli,227,['8300a8f8-eb79-46ac-a013-7c4e7411b07a'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.090487,,,,,,,,,,,,,e777ed95-e686-448f-8bc4-c38e0da10a55,5,,"[61.0, 40.1]",3879635,0,,,,,-3.0916343,,Right Foot,,,"[47.0, 39.4]",,Ground Pass,14.017489,,,,Gary Alexis Medel Soto,16453.0,,,,,,Kick Off,1,From Kick Off,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,2,Inter Milan,238,['df447793-22af-4b3d-904f-17ab2097b55c'],2,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:02.915,Pass,
,,,,,,,,,,,,,,,,,,1.871263,,,,,,,,,,,,,51a78091-4d40-4d50-947b-4e70bd0a6461,8,,"[47.0, 38.2]",3879635,0,,,,,-1.7563397,,Right Foot,,,"[41.2, 7.3]",,Ground Pass,31.439625,,,,Yuto Nagatomo,5690.0,,,,,,,1,From Kick Off,Gary Alexis Medel Soto,16453.0,Center Defensive Midfield,2,Inter Milan,238,['3a0ff359-efef-4f63-b1c6-89ee9e21dd9b'],4,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:04.080,Pass,
,,,,,,,,,,,,,,,,,,2.778653,,,,,,,,,,,,,b8eb1882-640a-4238-9b19-a34182f840a7,11,,"[46.0, 8.5]",3879635,0,,,,,0.0,,Left Foot,,,"[97.8, 8.5]",,High Pass,51.8,,Incomplete,,Adem Ljajić,5587.0,,,,,,,1,From Kick Off,Yuto Nagatomo,5690.0,Left Back,2,Inter Milan,238,"['74c36a88-da67-4f67-8a40-da660bc2a907', '8dd00841-58e3-4cee-bfc7-01134df6cc8b']",7,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:07.576,Pass,
,,,,,,,,,,,,,,,,,,2.758815,,,,,,,,,,,,,74c36a88-da67-4f67-8a40-da660bc2a907,13,,"[22.3, 71.6]",3879635,0,,,,,0.114007294,,Head,,,"[35.4, 73.1]",,High Pass,13.185598,,Incomplete,,Allan Marques Loureiro,7035.0,,,,,,Recovery,1,From Kick Off,Elseid Hysaj,7031.0,Right Back,2,Inter Milan,238,"['074528df-713c-421a-a518-f02004d8e42d', '8c32e8e4-05dd-42cd-b25c-eef1c6dad8ea', 'b8eb1882-640a-4238-9b19-a34182f840a7']",10,,,,,,,,,,,,,,,,,,Napoli,227,00:00:10.355,Pass,
