50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.699152,,,,,,,,,,,,5a156924-a324-4fdb-95a2-3970ef64304b,17,,"[11.7, 39.0]",3879776,0,,,,-1.1274619,,Keeper Arm,,,,"[20.2, 21.1]",Ground Pass,,19.81565,,,,Domenico Maietta,8849.0,,,,,,,1,Regular Play,Antonio Mirante,7174.0,Goalkeeper,3,Bologna,240,['25752eac-0187-456a-a0bd-8789c932d0b6'],16,,,,,,,,,,,,,,,,Bologna,240,00:00:16.025,Pass,
,,,,,,,,,,,,,,,,,1.914573,,,,,,,,,,,,ed952a50-3da4-4d1f-b844-c107d1232161,20,,"[24.3, 20.3]",3879776,0,,,,-0.7549507,,Right Foot,,,,"[44.6, 1.2]",Ground Pass,,27.872927,,,,Kévin Constant,399299.0,,,,,,,1,Regular Play,Domenico Maietta,8849.0,Left Center Back,3,Bologna,240,['72a05fec-bcb2-4014-b4a8-36a5777c0aae'],18,,,,,,,,,,,,,,,,Bologna,240,00:00:18.610,Pass,
,,,,,,,,,,,,,,,,,1.008979,,,,,,,,,,,,ba6e35e3-4c6e-450b-ab14-4ffc174c1280,23,,"[44.7, 1.5]",3879776,0,,,,2.5412195,,Left Foot,,,,"[33.6, 9.1]",Ground Pass,,13.452509,,,,Domenico Maietta,8849.0,,,,,,,1,Regular Play,Kévin Constant,399299.0,Left Back,3,Bologna,240,['078893e4-d174-4a6c-9ec9-2f275d39e925'],21,,,,,,,,,,,,,,,,Bologna,240,00:00:21.218,Pass,
,,,,,,,,,,,,,,,,,2.124827,,,,,,,,,,,,6551c141-5507-401b-9a7b-18c164128414,26,,"[33.6, 10.5]",3879776,0,,,,1.7707547,,Right Foot,,,,"[26.0, 48.0]",Ground Pass,,38.262383,,,,Daniele Gastaldello,30745.0,,,,,,,1,Regular Play,Domenico Maietta,8849.0,Left Center Back,3,Bologna,240,['92263be9-4afb-4d72-9e48-47f1753bfb46'],23,,,,,,,,,,,,,,,,Bologna,240,00:00:23.202,Pass,
,,,,,,,,,,,,,,,,,1.530343,,,,,,,,,,,,d432c06a-7a82-48d9-97e3-6564caa9eee4,29,,"[29.6, 51.0]",3879776,0,,,,1.0650051,,Left Foot,,,,"[44.0, 77.0]",Ground Pass,,29.721373,,,,Ibrahima Mbaye,7164.0,,,,,,,1,Regular Play,Daniele Gastaldello,30745.0,Right Center Back,3,Bologna,240,['554a70bf-ff6c-49f3-aa64-af52e90a5de0'],26,,,,,,,,,,,,,,,,Bologna,240,00:00:26.848,Pass,
,,,,,,,,,,,,,,,,,1.16551,,,,,,,,,,,,d1e8bc14-c0fa-46c8-9f1f-9cdfbbfd1e83,32,,"[46.5, 75.6]",3879776,0,,,,0.14990854,,Right Foot,,,,"[65.7, 78.5]",Ground Pass,,19.417776,,,,Anthony Mounier,34565.0,,,,,,,1,Regular Play,Ibrahima Mbaye,7164.0,Right Back,3,Bologna,240,['8d645c82-0d67-461f-ad68-740625281460'],29,,,,,,,,,,,,,,,,Bologna,240,00:00:29.783,Pass,
,,,,,,,,,,,,,,,,,1.701111,,,,,,,,,,,,c7edc749-413d-45b9-bf53-1a899593c5b6,34,,"[65.7, 78.5]",3879776,0,,,,-1.0370882,,Left Foot,,,,"[70.9, 69.7]",Ground Pass,,10.221546,,,,Mattia Destro,8103.0,,,,,,,1,Regular Play,Anthony Mounier,34565.0,Right Wing,3,Bologna,240,['3def6024-771e-4a91-ae48-f608777bb1ea'],30,,,,,,,,,,,,,,,,Bologna,240,00:00:30.949,Pass,
,,,,,,,,,,,,,,,,,1.080466,,,,,,,,,,,,b36c3fe6-a972-435f-8053-f2805f9d706a,37,,"[71.2, 71.2]",3879776,0,,,,0.27609703,,Right Foot,,,,"[77.2, 72.9]",Ground Pass,,6.2361846,,Incomplete,,Godfred Donsah,8280.0,,,,,,,1,Regular Play,Mattia Destro,8103.0,Center Forward,3,Bologna,240,"['25f5c123-f560-47d1-9200-419af41e13fd', '87ba601e-5b21-4a42-a36b-e4c247e66333']",32,,,,,,,,,,,,,,,,Bologna,240,00:00:32.650,Pass,
,,,,,,,,,,,,,,,,,0.136419,,,,,,,,,,,,82acf8e3-19c3-4717-8938-33bf25a68493,48,,"[42.9, 3.9]",3879776,0,,,,-0.058755822,,Left Foot,,,,"[44.6, 3.8]",Ground Pass,,1.7029387,,Incomplete,,,,,,,,,,1,Regular Play,Riccardo Gagliolo,11499.0,Left Center Back,3,Bologna,240,"['3aa8fefc-baf8-405b-acd4-a54a282f86ca', '9dfae917-c9ce-4106-8e1b-832b71ee63a1']",37,,,,,,,,,,,,,,,,Carpi,1683,00:00:37.685,Pass,True
,,,,,,,,,,,,,,,,,3.430354,,,,,,,,,,,,a05f2ddc-3469-47a9-9dd7-6f226ee64aae,52,,"[49.4, 2.3]",3879776,0,,,,-0.051237166,,Left Foot,,,,"[92.3, 0.1]",Low Pass,,42.956375,,Out,,,,,,,,,,1,Regular Play,Riccardo Gagliolo,11499.0,Left Center Back,3,Bologna,240,,40,,,,,,,,,,,,,,,,Carpi,1683,00:00:40.074,Pass,
