50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b9423d0-306e-43e9-9818-ebbd8981feeb,1,,,3879551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 9887, 'name': 'Rafael de Andrade Bittencourt Pinheiro'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7695, 'name': 'Samuel Souprayen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 69}, {'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5512, 'name': 'Emil Hallfreðsson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 7020, 'name': 'Jacopo Sala'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 26442, 'name': 'Boško Janković'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 386651, 'name': 'Juan Ignacio Gómez Taleb'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2716b564-3814-47d2-baac-b52572b04b8d,2,,,3879551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8443, 'name': 'Dušan Basta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 9939, 'name': 'Maurício dos Santos Nascimento'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 8847, 'name': 'Santiago Juan Gentiletti Selak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8172, 'name': 'Felipe Anderson Pereira Gomes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 22828, 'name': 'Ricardo Kishna'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 88}, {'player': {'id': 11427, 'name': 'Filip Đorđević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6593abab-2708-4684-afef-9e6450d9b46b,3,,,3879551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['677b0bbf-0f1c-46e8-aa2f-13fc4434698e'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,677b0bbf-0f1c-46e8-aa2f-13fc4434698e,4,,,3879551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['6593abab-2708-4684-afef-9e6450d9b46b'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c51b9280-f9cf-4ede-a53e-cf5ce5ecb6bf,1696,,,3879551,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,95,Hellas Verona,226,['d97f82c5-bf1d-43f7-ad2e-28860a1ffcb5'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d97f82c5-bf1d-43f7-ad2e-28860a1ffcb5,1697,,,3879551,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,95,Hellas Verona,226,['c51b9280-f9cf-4ede-a53e-cf5ce5ecb6bf'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.464122,,,,,,,,,,,,,79c18645-8035-4829-97bc-9b92fcc30b4c,5,,"[60.0, 40.0]",3879551,0,,True,,,-1.8399638,,Right Foot,,,,"[59.2, 37.1]",,Ground Pass,,3.0083218,,,,,Filip Đorđević,11427.0,,,,,,Kick Off,1,From Kick Off,Sergej Milinković-Savić,5589.0,Center Attacking Midfield,2,Lazio,236,['e8d66623-fde2-48a9-a0b5-a14ff180136f'],1,,,,,,,,,,,,,,,,Lazio,236,00:00:01.091,Pass,
,,,,,,,,,,,,,,,,,0.998607,,,,,,,,,,,,,a8c227c2-2240-4562-b5db-e7cb3e1bcee8,7,,"[59.2, 36.2]",3879551,0,,True,,,2.5272803,,Left Foot,,,,"[48.0, 44.1]",,Ground Pass,,13.705838,,,,,Lucas Rodrigo Biglia,5510.0,,,,,,,1,From Kick Off,Filip Đorđević,11427.0,Center Forward,2,Lazio,236,['ae23847c-09d7-49de-85f3-93b20d5deadf'],1,,,,,,,,,,,,,,,,Lazio,236,00:00:01.555,Pass,
,,,,,,,,,,,,,,,,,1.53706,,,,,,,,,,,,,1f31819e-329c-4d40-bebb-a9f6b90a8eb0,9,,"[48.9, 42.1]",3879551,0,,,,,-1.5491781,,Right Foot,,,,"[49.3, 23.6]",,Ground Pass,,18.504324,,,,,Marco Parolo,8173.0,,,,,,,1,From Kick Off,Lucas Rodrigo Biglia,5510.0,Right Defensive Midfield,2,Lazio,236,['b2036d43-01c2-46a8-a3f5-4eedc6d5eb97'],2,,,,,,,,,,,,,,,,Lazio,236,00:00:02.554,Pass,
,,,,,,,,,,,,,,,,,1.942056,,,,,,,,,,,,,b57b1d50-7f99-4887-83b6-223e2a02c584,13,,"[47.2, 19.7]",3879551,0,,,,,3.1415927,,Right Foot,,,,"[27.4, 19.7]",,Ground Pass,,19.8,,,,,Santiago Juan Gentiletti Selak,8847.0,,,,,,,1,From Kick Off,Marco Parolo,8173.0,Left Defensive Midfield,2,Lazio,236,"['36fb98c7-cdf8-42ff-bace-6616309f86e4', 'd8c7c11a-6776-4d1d-8f23-2618e845c2af']",5,,,,,,,,,,,,,,,,Lazio,236,00:00:05.278,Pass,True
