50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9faf9abb-6f7d-40d7-b589-3dc7061546b8,1,,,3879684,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 387417, 'name': 'Mattia Cassani'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 9884, 'name': 'Niklas Moisander'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 87}, {'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 27595, 'name': 'Carlos Mario Carbonero Mancilla'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 77}, {'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 19850, 'name': 'Antonio Cassano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6c2d9921-fd87-4e45-a65c-1d841535e12c,2,,,3879684,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6953, 'name': 'Daniele Rugani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 33}, {'player': {'id': 25345, 'name': 'Anderson Hernanes de Carvalho Andrade'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,36180674-a76a-4b54-9fdd-99ae92b20418,3,,,3879684,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['b561195e-9bc5-49c4-b7ff-5fe63e40edbd'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b561195e-9bc5-49c4-b7ff-5fe63e40edbd,4,,,3879684,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['36180674-a76a-4b54-9fdd-99ae92b20418'],0,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,79280c7a-56ae-495e-bf9f-1888b129f62f,1695,,,3879684,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Juventus,224,['ab9c601c-35b9-44c4-9ba2-b209a8c9f4f6'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ab9c601c-35b9-44c4-9ba2-b209a8c9f4f6,1696,,,3879684,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Juventus,224,['79280c7a-56ae-495e-bf9f-1888b129f62f'],0,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.186574,,,,,,,,,,,,6ff832ee-1cfe-42c3-8c0e-7c406d226908,5,,"[60.0, 40.0]",3879684,0,,,,,3.059585,,Right Foot,,,"[45.4, 41.2]",,Ground Pass,,14.649232,,,,Anderson Hernanes de Carvalho Andrade,25345.0,,,,,,Kick Off,1,From Kick Off,Álvaro Borja Morata Martín,3477.0,Left Center Forward,2,Juventus,224,['cd41029c-4a2b-4d45-ac8c-8db11ee3b004'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.772,Pass,
,,,,,,,,,,,,,,,,0.77209,,,,,,,,,,,,342b0a4b-1e6e-4375-a006-20191901c285,8,,"[47.8, 49.2]",3879684,0,,,,,1.3309023,,Right Foot,,,"[51.2, 63.1]",,Ground Pass,,14.309787,,,,Sami Khedira,5566.0,,,,,,,1,From Kick Off,Anderson Hernanes de Carvalho Andrade,25345.0,Center Defensive Midfield,2,Juventus,224,['9f6567e0-be9d-4ac1-81d9-bf3848591cf2'],3,,,,,,,,,,,,,,,,,Juventus,224,00:00:03.971,Pass,
,,,,,,,,,,,,,,,,0.995942,,,,,,,,,,,,91fc0e81-dca2-45e5-9ff6-814efbc40630,11,,"[51.2, 63.1]",3879684,0,,,,,-2.0749624,,Right Foot,,,"[48.0, 57.3]",,Ground Pass,,6.624198,,,,Anderson Hernanes de Carvalho Andrade,25345.0,,,,,,,1,From Kick Off,Sami Khedira,5566.0,Right Center Midfield,2,Juventus,224,['63acd65d-6929-4b43-9ceb-adf5cd226ab2'],4,,,,,,,,,,,,,,,,,Juventus,224,00:00:04.798,Pass,
,,,,,,,,,,,,,,,,1.192623,,,,,,,,,,,,7b960cde-a844-4cdc-b2e1-d0a45ba4c200,14,,"[47.8, 57.9]",3879684,0,,,,,2.6328628,,Left Foot,,,"[37.4, 63.7]",,Ground Pass,,11.907981,,,,Daniele Rugani,6953.0,,,,,,,1,From Kick Off,Anderson Hernanes de Carvalho Andrade,25345.0,Center Defensive Midfield,2,Juventus,224,['974c3596-5f83-4ec6-b02d-8b3e579ff645'],6,,,,,,,,,,,,,,,,,Juventus,224,00:00:06.480,Pass,
