50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,74a856af-1b15-4540-ac1c-2e0cdaad2a42,1,,,3879791,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6360, 'name': 'Cristian Eduardo Zapata Valencia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 91}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 70}, {'player': {'id': 21272, 'name': 'Luiz Adriano de Souza da Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b25da068-8c7c-48b7-9f4b-af3acf053d37,2,,,3879791,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8190, 'name': 'Patricio Gabarrón Gil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 3103, 'name': 'Milan Biševac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 8459, 'name': 'Edson Braafheid'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 8172, 'name': 'Felipe Anderson Pereira Gomes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 8296, 'name': 'Alessandro Matri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,44f64bc7-52e3-4c55-ac4b-2255668d7ac4,3,,,3879791,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['149802c7-4caf-4534-b2c3-cfc668494161'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,149802c7-4caf-4534-b2c3-cfc668494161,4,,,3879791,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['44f64bc7-52e3-4c55-ac4b-2255668d7ac4'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,45134526-0228-4bcb-8efb-1edf9950d323,1635,,,3879791,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,AC Milan,243,['f35396b6-4afc-4d01-8304-2ba077e3ecc6'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f35396b6-4afc-4d01-8304-2ba077e3ecc6,1636,,,3879791,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,AC Milan,243,['45134526-0228-4bcb-8efb-1edf9950d323'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.329484,,,,,,,,,,,,,bb79a509-9689-4625-bd62-c62bb00b8dbc,5,,"[60.0, 40.0]",3879791,0,,,,,-3.0804446,,Right Foot,,,"[45.3, 39.1]",,Ground Pass,,14.727526,,,,Lucas Rodrigo Biglia,5510.0,,,,,Kick Off,1,From Kick Off,Alessandro Matri,8296.0,Center Forward,2,Lazio,236,['28805039-f2e5-44ce-821f-cc669f75b249'],2,,,,,,,,,,,,,,,,,,Lazio,236,00:00:02.919,Pass,
,,,,,,,,,,,,,,,,,,1.550304,,,,,,,,,,,,,bd8562b5-3d5c-4da5-9bd1-4f6ac32fe022,7,,"[45.6, 37.9]",3879791,0,,,,,1.7743592,,Left Foot,,,"[41.1, 59.7]",,Ground Pass,,22.259605,,,,Patricio Gabarrón Gil,8190.0,,,,,,1,From Kick Off,Lucas Rodrigo Biglia,5510.0,Center Defensive Midfield,2,Lazio,236,['807cbdf8-a168-4693-b3a5-51c1ad0bdfad'],4,,,,,,,,,,,,,,,,,,Lazio,236,00:00:04.248,Pass,
,,,,,,,,,,,,,,,,,,3.049803,,,,,,,,,,,,,6d9be0d9-edef-4724-96c8-4742f0e07ef6,10,,"[40.8, 66.0]",3879791,0,,,,,-0.21739289,,Right Foot,,,"[90.6, 55.0]",,High Pass,,51.000393,,Incomplete,,Antonio Candreva,7776.0,,,,,,1,From Kick Off,Patricio Gabarrón Gil,8190.0,Right Back,2,Lazio,236,"['743c51cd-821d-41df-b1b7-0994aa9ff4aa', 'ec7c3f9e-74cd-464c-8b77-1d3bf40329bd']",6,,,,,,,,,,,,,,,,,,Lazio,236,00:00:06.539,Pass,
,,,,,,,,,,,,,,,,,,1.084946,,,,,,,,,,,,,ec7c3f9e-74cd-464c-8b77-1d3bf40329bd,12,,"[29.5, 25.1]",3879791,0,,,,,-0.12257087,,Left Foot,,,"[43.3, 23.4]",,High Pass,,13.904316,,,,Andrea Bertolacci,7147.0,,,,,Recovery,1,From Counter,Alessio Romagnoli,7458.0,Left Center Back,3,AC Milan,243,"['0f9c3280-dd51-48a6-b0a6-729e889c6ab6', '6d9be0d9-edef-4724-96c8-4742f0e07ef6']",9,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:09.589,Pass,
,,,,,,,,,,,,,,,,,,1.595904,,,,,,,,,,,,,4788b1d0-a15e-4a79-a254-7c8e86b1b7f1,15,,"[42.8, 23.2]",3879791,0,,,,True,0.35877067,,,,,"[50.0, 25.9]",,High Pass,,7.6896033,,,,Giacomo Bonaventura,7026.0,,,,,,1,From Counter,Andrea Bertolacci,7147.0,Left Defensive Midfield,3,AC Milan,243,"['056545bc-4f41-4ff8-8ccc-51900017f1b6', '1e125015-12c1-42e3-ba64-07979d64a49e']",11,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:11.481,Pass,True
,,,,,,,,,,,,,,,,,,1.117985,,,,,,,,,,,,,68239efe-66ff-46fa-989f-de540a2cc93d,19,,"[49.6, 28.2]",3879791,0,,,,,0.07561314,,Right Foot,,,"[56.2, 28.7]",,High Pass,,6.618912,,Incomplete,,,,,,,,,1,From Counter,Giacomo Bonaventura,7026.0,Left Midfield,3,AC Milan,243,['43d502f3-c769-4555-848b-cd085ee08b67'],13,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:13.831,Pass,
,,,,,,,,,,,,,,,,,,1.444904,,,,,,,,,,,,,1a0fd426-92b4-45f9-bad0-5eb10c408d06,22,,"[65.1, 47.3]",3879791,0,,,,,2.7785811,,Right Foot,,,"[52.2, 52.2]",,Ground Pass,,13.799275,,,,Milan Biševac,3103.0,,,,,,1,Regular Play,Lucas Rodrigo Biglia,5510.0,Center Defensive Midfield,4,Lazio,236,['653a80ea-0a8b-4ec1-bd78-d422e3dc241d'],15,,,,,,,,,,,,,,,,,,Lazio,236,00:00:15.991,Pass,
