50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a23cb872-5667-486b-a52c-cdccfeae2fe4,1,,,3879775,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 7148, 'name': 'Mattia Perin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7467, 'name': 'Nicolás Andrés Burdisso'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 7176, 'name': 'Sebastian De Maio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7464, 'name': 'Cristian Daniel Ansaldi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 30772, 'name': 'Panagiotis Tachtsidis'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 7022, 'name': 'Jesús Joaquín Fernández Sáez de la Torre'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 7146, 'name': 'Goran Pandev'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ba549a3-b265-428e-8249-8cd7f51d734c,2,,,3879775,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16061, 'name': 'Uroš Ćosić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 13612, 'name': 'Lorenzo Ariaudo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 37}, {'player': {'id': 40250, 'name': 'Marco Zambelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 8187, 'name': 'Marcel Büchel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 18028, 'name': 'Levan Mchedlidze'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,626da7dc-7c24-4c31-9405-72e1fa2f5740,3,,,3879775,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['3e32094e-91b2-414c-95df-4d994b835019'],0,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3e32094e-91b2-414c-95df-4d994b835019,4,,,3879775,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['626da7dc-7c24-4c31-9405-72e1fa2f5740'],0,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,24d46b00-a6ed-43af-a103-6a373488cb21,1913,,,3879775,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,119,Empoli,290,['c8221da5-62e5-453e-8a0e-5706a0a15728'],0,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c8221da5-62e5-453e-8a0e-5706a0a15728,1914,,,3879775,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,119,Empoli,290,['24d46b00-a6ed-43af-a103-6a373488cb21'],0,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,42a69dd6-dada-4692-aff1-4e82e104eabb,5,,"[61.0, 40.1]",3879775,0,,True,,,-2.003204,,Right Foot,,,"[59.8, 37.5]",,Ground Pass,,2.8635643,,,,Goran Pandev,7146.0,,,,,Kick Off,1,From Kick Off,Jesús Joaquín Fernández Sáez de la Torre,7022.0,Right Center Forward,2,Genoa,233,['ceea05f1-955e-4d48-b846-96f4c6b8298d'],0,,,,,,,,,,,,,,,,Genoa,233,00:00:00.328,Pass,
,,,,,,,,,,,,,,,,,,1.170259,,,,,,,,,,,,,d5924244-7746-4287-9430-12e4f932ff2a,7,,"[61.0, 36.5]",3879775,0,,,,,2.759914,,Left Foot,,,"[46.3, 42.4]",,Ground Pass,,15.839823,,,,Tomás Eduardo Rincón Hernández,7475.0,,,,,,1,From Kick Off,Goran Pandev,7146.0,Left Center Forward,2,Genoa,233,['8c57f5a8-4b59-4605-bbb1-cb419db30f4f'],0,,,,,,,,,,,,,,,,Genoa,233,00:00:00.763,Pass,
,,,,,,,,,,,,,,,,,,2.874187,,,,,,,,,,,,,5fba2309-08de-452c-9197-33667acebfd2,10,,"[46.3, 43.1]",3879775,0,,,,,1.3341242,,Right Foot,,,"[55.2, 80.0]",,Ground Pass,,37.958134,,Out,,Cristian Daniel Ansaldi,7464.0,,,,,,1,From Kick Off,Tomás Eduardo Rincón Hernández,7475.0,Center Defensive Midfield,2,Genoa,233,['efa45961-dcd1-4a68-8abe-bd09f777ac94'],2,,,,,,,,,,,,,,,,Genoa,233,00:00:02.644,Pass,
,,,,,,,,,,,,,,,,,,1.352256,,,,,,,,,,,,,49324798-b393-4a61-a3e1-6f08d09ce3e1,12,,"[73.5, 0.1]",3879775,0,,,,,0.8392383,,,,,"[81.4, 8.9]",,High Pass,,11.825819,,Incomplete,,Levan Mchedlidze,18028.0,,,,,Throw-in,1,From Throw In,Marco Zambelli,40250.0,Left Back,3,Empoli,290,"['a9e66661-3224-4d1d-9bd0-9153208a3cb8', 'e993a556-cbbc-42f5-b043-a98520e7653a']",14,,,,,,,,,,,,,,,,Empoli,290,00:00:14.448,Pass,
