50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.016373,,,,,,,,,,,,,b4f472e6-8111-4b49-bec0-ec82f33257fb,1332,,,"[22.5, 11.5]",3879652,37,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mattia De Sciglio,6944.0,Left Back,85,Hellas Verona,226,['ea47bfe0-f7f8-40b8-bad3-ace9f1353b83'],13,,,,,,,,,,,,,,,,,AC Milan,243,00:37:13.244,Pressure,
,,,,,,,,,,,,,,,,,,2.218178,,,,,,,,,,,,,8ba037d0-757a-4234-be1b-230bea7c655c,1351,,,"[44.4, 34.3]",3879652,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessio Romagnoli,7458.0,Left Center Back,88,Hellas Verona,226,"['4b777414-d0cb-4cd4-b726-d5113e5dceea', '7b883e33-d9f3-4196-9fb4-e327ecb1e322']",10,,,,,,,,,,,,,,,,,AC Milan,243,00:38:10.161,Pressure,
,,,,,,,,,,,,,,,,,,1.387918,,,,,,,,,,,,,33c221c3-38f7-4a2b-88e3-26d15c822998,1360,,,"[30.7, 73.1]",3879652,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,M''Baye Babacar Niang,5661.0,Right Midfield,88,Hellas Verona,226,['71429baa-54ba-473e-aad9-d2f1b89480f1'],16,,,,,,,,,,,,,,,,,AC Milan,243,00:38:16.690,Pressure,
,,,,,,,,,,,,,,,,,,0.598649,,,,,,,,,,,,,61a6efd0-0523-4817-844e-2d9e72189fe1,1371,,,"[73.6, 7.2]",3879652,38,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luiz Adriano de Souza da Silva,21272.0,Right Center Forward,90,AC Milan,243,['ab20125b-3cba-4918-99f2-b43443130518'],38,,,,,,,,,,,,,,,,,AC Milan,243,00:38:38.417,Pressure,
,,,,,,,,,,,,True,,,,,,0.484536,,,,,,,,,,,,,c9276c21-3543-4283-8597-24063ebf9855,1376,,,"[78.8, 12.6]",3879652,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luiz Adriano de Souza da Silva,21272.0,Right Center Forward,91,Hellas Verona,226,"['32652b1d-af40-4b2f-afb2-86b2c4d30a08', '42743aed-cae2-4f8a-91fa-05992fcd2a6b', 'dc580576-6b6f-4b23-a04e-70a75e25c7c0']",41,,,,,,,,,,,,,,,,,AC Milan,243,00:38:41.203,Pressure,
,,,,,,,,,,,,True,,,,,,0.859215,,,,,,,,,,,,,a4c1ce2e-f6cd-480f-adfe-9652ce59a322,1383,,,"[65.3, 50.1]",3879652,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leandro Greco,32119.0,Left Defensive Midfield,91,Hellas Verona,226,"['43052620-3f98-43c0-b0c7-81fe17a04389', 'e5cceb64-c1f5-47ed-b208-42802d746fbb']",44,,,,,,,,,,,,,,,,,Hellas Verona,226,00:38:44.965,Pressure,
,,,,,,,,,,,,,,,,,,0.719882,,,,,,,,,,,,,d7cd41cf-2f66-42fc-ab6f-bb2469bbbfa9,1396,,,"[68.0, 41.0]",3879652,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carlos Arturo Bacca Ahumada,5688.0,Left Center Forward,91,Hellas Verona,226,"['4719d3c3-2f2c-44f8-bd39-4c39b11f573b', 'd9320519-7f46-440f-8b55-12bcf83b019a']",53,,,,,,,,,,,,,,,,,AC Milan,243,00:38:53.808,Pressure,
,,,,,,,,,,,,,,,,,,1.955951,,,,,,,,,,,,,7f2911f2-3a6f-4b70-9194-de1007639376,1406,,,"[47.6, 66.4]",3879652,39,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ignazio Abate,7463.0,Right Back,91,Hellas Verona,226,['62059d6a-8aa5-4cce-b4d5-35a18b988847'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:39:00.100,Pressure,
,,,,,,,,,,,,,,,,,,0.874368,,,,,,,,,,,,,a7393f20-9448-4f6a-b804-7170fc385fa4,1434,,,"[95.0, 49.4]",3879652,39,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Carlos Arturo Bacca Ahumada,5688.0,Left Center Forward,92,Hellas Verona,226,"['3704f62b-c920-4846-8c86-7cce8e1cbbef', '4e180e1b-ed8a-405f-8239-9d97c424bd4b']",56,,,,,,,,,,,,,,,,,AC Milan,243,00:39:56.068,Pressure,
,,,,,,,,,,,,True,,,,,,1.70349,,,,,,,,,,,,,44952ebd-af68-4626-a41b-9a75fb593de4,1444,,,"[56.4, 62.6]",3879652,40,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jacopo Sala,7020.0,Right Back,93,AC Milan,243,"['e063f8be-1646-4fc8-8e8c-0b59d1c753e0', 'eb0bd85b-43b5-4152-a4cb-058f18078e75']",3,,,,,,,,,,,,,,,,,Hellas Verona,226,00:40:03.363,Pressure,
,,,,,,,,,,,,True,,,,,,0.937461,,,,,,,,,,,,,214ee660-44f2-4fd9-893a-191564fbc2da,1445,,,"[63.7, 66.2]",3879652,40,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Paweł Wszołek,11339.0,Right Midfield,93,AC Milan,243,['e063f8be-1646-4fc8-8e8c-0b59d1c753e0'],4,,,,,,,,,,,,,,,,,Hellas Verona,226,00:40:04.123,Pressure,
,,,,,,,,,,,,,,,,,,1.627666,,,,,,,,,,,,,ca28b648-50f6-49d9-8203-7830d0cf02f0,1456,,,"[42.0, 9.4]",3879652,40,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Eros Pisano,11342.0,Left Back,93,AC Milan,243,"['54b29038-9a01-4759-99b3-de9bcad77adf', '9ccf8132-f93a-4279-869a-ab63f1de053b', 'ef014163-2788-43db-b517-4bd532d06cdb']",18,,,,,,,,,,,,,,,,,Hellas Verona,226,00:40:18.306,Pressure,
,,,,,,,,,,,,,,,,,,1.372441,,,,,,,,,,,,,13cfa230-a6cd-4f95-80ac-25aa3f3ded31,1474,,,"[23.5, 64.8]",3879652,40,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Paweł Wszołek,11339.0,Right Midfield,93,AC Milan,243,"['6287eeba-290b-4f1b-85d7-3b55c7d3aece', 'fe4b54a1-f9ea-4059-bc47-29f689c534bb']",34,,,,,,,,,,,,,,,,,Hellas Verona,226,00:40:34.730,Pressure,
,,,,,,,,,,,,,,,,,,0.961551,,,,,,,,,,,,,4e386001-1d09-4028-b5fb-4bac37d8644b,1500,,,"[37.0, 23.0]",3879652,41,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Vangelis Moras,31488.0,Left Center Back,94,AC Milan,243,"['23ebc739-fd46-48fe-ae6a-66081f7960f7', '6ded9ab8-7c7a-4f32-8225-a365b54fd497', '7fa9301a-261a-45ad-a586-827257aa9ff5']",27,,,,,,,,,,,,,,,,,Hellas Verona,226,00:41:27.135,Pressure,
,,,,,,,,,,,,,,,,,,1.148199,,,,,,,,,,,,,6b7d1b5f-7a43-4895-9078-472952fd485e,1506,,,"[15.1, 20.7]",3879652,41,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Vangelis Moras,31488.0,Left Center Back,94,AC Milan,243,"['7dadf936-fcac-4477-b632-b18348489575', 'e852d034-4675-4ad7-b519-9d32bc03a479']",33,,,,,,,,,,,,,,,,,Hellas Verona,226,00:41:33.186,Pressure,
