50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.057811,,,,,,,,,,,,,,2e541918-9bec-4c59-ac7c-cfa83c1a6ba9,16,,"[43.8, 8.8]",3879566,0,,,,,0.10110337,,Right Foot,,"[57.6, 10.2]",,High Pass,,13.870832,,,,,Ali Adnan Kadhim Al Tameemi,8191.0,,,,,Recovery,1,Regular Play,Felipe Dias da Silva dal Belo,6938.0,Left Center Back,3,Udinese,230,"['7dd4bbc7-f978-4c06-aea8-1f8922b0a7d6', 'a4084d5b-26ac-43b0-acdd-8a1dbc4a61dc']",8,,,,,,,,,,,,,,,,,Udinese,230,00:00:08.678,Pass,
,,,,,,,,,,,,,,,0.995237,,,,,,,,,,,,,,1ddf16b8-3746-4dea-b0fc-654b47d492b0,20,,"[51.6, 11.2]",3879566,0,,,,,-1.8964379,,Left Foot,,"[49.0, 3.5]",,Ground Pass,,8.127115,,,,,Felipe Dias da Silva dal Belo,6938.0,,,,,,1,Regular Play,Ali Adnan Kadhim Al Tameemi,8191.0,Left Wing Back,3,Udinese,230,['dd91a26b-eadb-4c77-87eb-4dafbe4d6037'],11,,,,,,,,,,,,,,,,,Udinese,230,00:00:11.271,Pass,
,,,,,,,,,,,,,,,0.453365,,,,,,,,,,,,,,ae813fba-a501-4c70-8093-9a2154cf40df,23,,"[47.0, 2.5]",3879566,0,,,,,0.82684904,,Left Foot,,"[57.4, 13.8]",,Low Pass,,15.357409,,,Incomplete,,Cyril Théréau,8272.0,,,,,,1,Regular Play,Felipe Dias da Silva dal Belo,6938.0,Left Center Back,3,Udinese,230,"['3496fdb9-52cf-4b83-b8ac-711c9ef60939', 'd21fb738-73ed-4b1e-a7fb-20b6f3b02d2a']",12,,,,,,,,,,,,,,,,,Udinese,230,00:00:12.432,Pass,
,,,,,,,,,,,,,,,0.877309,,,,,,,,,,,,,,3496fdb9-52cf-4b83-b8ac-711c9ef60939,25,,"[62.7, 66.3]",3879566,0,,,,,1.5334306,,Left Foot,,"[63.1, 77.0]",,Ground Pass,,10.707474,,,,,Issa Cissokho,4369.0,,,,,Recovery,1,Regular Play,Tomás Eduardo Rincón Hernández,7475.0,Right Defensive Midfield,3,Udinese,230,"['ae813fba-a501-4c70-8093-9a2154cf40df', 'fe4844a2-d30d-459f-a44e-e0b86663106c']",12,,,,,,,,,,,,,,,,,Genoa,233,00:00:12.886,Pass,
,,,,,,,,,,,,,,,0.065616,,,,,,,,,,,,,,e829b5eb-4974-444b-b1d0-26726d7a0e97,30,,"[44.4, 4.3]",3879566,0,,,,,-0.1882215,,Left Foot,,"[48.6, 3.5]",,Ground Pass,,4.2755117,,,Incomplete,,,,,,,,Recovery,1,Regular Play,Ali Adnan Kadhim Al Tameemi,8191.0,Left Wing Back,3,Udinese,230,['2b64bb52-1456-4aca-a8e9-8af05456981f'],16,,,,,,,,,,,,,,,,,Udinese,230,00:00:16.713,Pass,
,,,,,,,,,,,,,,,2.01735,,,,,,,,,,,,,,8773dc61-2e7a-47c2-a6c9-380441bb7506,32,,"[49.0, 0.1]",3879566,0,,,,,0.35752946,,,,"[75.5, 10.0]",,High Pass,,28.288868,,,,,Cyril Théréau,8272.0,,,,,Throw-in,1,From Throw In,Felipe Dias da Silva dal Belo,6938.0,Left Center Back,4,Udinese,230,['ee2cfe89-9487-47fd-8e19-f72fb1f5e768'],42,,,,,,,,,,,,,,,,,Udinese,230,00:00:42.143,Pass,
,,,,,,,,,,,,,,,1.317567,,,,,,,,,,,,,,d1ae8f2a-cdd9-45e7-ac1e-6d012c62ffe5,35,,"[74.7, 9.4]",3879566,0,,,,True,1.5108682,,,,"[75.3, 19.4]",,High Pass,,10.017983,,,,,Antonio Di Natale,19846.0,,,,,,1,From Throw In,Cyril Théréau,8272.0,Left Center Forward,4,Udinese,230,"['08b364a4-f935-4cf0-aaeb-04270e61f162', '7cae9311-9ed0-4d2a-910f-2c4df16f0b6b']",44,,,,,,,,,,,,,,,,,Udinese,230,00:00:44.161,Pass,True
,,,,,,,,,,,,,,,1.648098,,,,,,,,,,,,,,709a441e-efb3-4357-abfc-01acc38703d2,38,,"[69.3, 27.0]",3879566,0,,,,,0.827701,,Right Foot,,"[87.4, 46.7]",,High Pass,,26.75257,,,Incomplete,,Edenílson Andrade dos Santos,25116.0,,,,,,1,From Throw In,Antonio Di Natale,19846.0,Right Center Forward,4,Udinese,230,"['501828d6-b0a1-459a-b743-1a3c33668d35', 'e95d73d3-9ecd-4714-9339-2c54b9b04731']",46,,,,,,,,,,,,,,,,,Udinese,230,00:00:46.983,Pass,
,,,,,,,,,,,,,,,4.240278,,,,,,,,,,,,,,a6fb7a67-6be2-4ab3-9622-b78c00370df3,43,,"[22.1, 29.0]",3879566,0,,,,,-0.5902077,,Left Foot,,"[63.9, 1.0]",,High Pass,,50.31143,,,Out,,Diego Perotti,7456.0,,,,,,1,From Throw In,Diego Sebastián Laxalt Suárez,5717.0,Left Wing Back,4,Udinese,230,"['6fb79c3a-50c3-4cec-af88-05139fad6106', 'a269c4d1-89a1-4056-bdee-f79c9103762e']",50,,,,,,,,,,,,,,,,,Genoa,233,00:00:50.813,Pass,True
,,,,,,,,,,,,,,,1.712833,,,,,,,,,,,,,,f81637f0-f7c9-47cb-8a1e-29b398bac6fa,45,,"[53.8, 80.0]",3879566,0,,,,,-0.5834416,,,,"[74.1, 66.6]",,High Pass,,24.323856,,,,,Cyril Théréau,8272.0,,,,,Throw-in,1,From Throw In,Emmanuel Agyemang-Badu,24722.0,Right Center Midfield,5,Udinese,230,['bcc78596-a46e-4615-9655-c49d2dbaf748'],59,,,,,,,,,,,,,,,,,Udinese,230,00:00:59.628,Pass,
