50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f5fc8ec-3572-4e9f-89f7-36a572899eca,1,,,,3879780,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 11516, 'name': 'Manuel Pasqual'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 26728, 'name': 'Alberto Facundo Costa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 7125, 'name': 'Khouma El Hadji Babacar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1866d4a-b44b-4e36-8909-4d5beb9903b2,2,,,,3879780,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7705, 'name': 'Mohamed Salim Fares'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 93}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7d67799f-7391-4c97-b223-c77973c67a14,3,,,,3879780,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['f020c2c8-7461-477b-84a0-d72ead2b4f37'],0,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f020c2c8-7461-477b-84a0-d72ead2b4f37,4,,,,3879780,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['7d67799f-7391-4c97-b223-c77973c67a14'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a59df650-8ab4-43c6-bd5a-df916c5d1cbb,1873,,,,3879780,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Fiorentina,239,['27297a26-533c-4bd1-9b16-5f76d5bbe49f'],0,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,27297a26-533c-4bd1-9b16-5f76d5bbe49f,1874,,,,3879780,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Fiorentina,239,['a59df650-8ab4-43c6-bd5a-df916c5d1cbb'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.554224,,,,,,,,,,,,,6684ebc7-a228-4ed3-bd3a-98ac998570f3,5,,,"[61.0, 40.1]",3879780,0,,True,,,1.9990605,,Right Foot,,,"[58.9, 44.7]",,Ground Pass,,5.056679,,,,Leandro Greco,32119.0,,,,,Kick Off,1,From Kick Off,Luca Toni,20252.0,Center Forward,2,Hellas Verona,226,['534c6342-62e6-43b9-bbc5-2fe8a77bb576'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.542,Pass,
,,,,,,,,,,,,,,,,,1.803228,,,,,,,,,,,,,6a574039-45fc-47d5-94da-a920de3fbd4f,7,,,"[57.4, 46.4]",3879780,0,,,,,2.9889433,,Left Foot,,,"[37.9, 49.4]",,Ground Pass,,19.72942,,,,Matteo Bianchetti,8421.0,,,,,,1,From Kick Off,Leandro Greco,32119.0,Left Center Midfield,2,Hellas Verona,226,['50d920cf-9b13-4d76-852c-dde524064a76'],1,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:01.933,Pass,
,,,,,,,,,,,,,,,,,1.400833,,,,,,,,,,,,,d1912f5d-e86e-42f0-9923-dc895aacc104,10,,,"[32.1, 55.7]",3879780,0,,,,,1.4903253,,Right Foot,,,"[33.6, 74.3]",,Ground Pass,,18.660385,,,,Eros Pisano,11342.0,,,,,,1,From Kick Off,Matteo Bianchetti,8421.0,Right Center Back,2,Hellas Verona,226,['6547f6d8-1a02-49c5-a2f3-0df8c08117ad'],4,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:04.790,Pass,
,,,,,,,,,,,,,,,,,1.204801,,,,,,,,,,,,,40fe1d30-b302-4fb2-9660-99efa2217b3f,13,,,"[42.0, 74.8]",3879780,0,,,,,-2.7622926,,Right Foot,,,"[27.7, 69.1]",,Ground Pass,,15.394155,,,,Matteo Bianchetti,8421.0,,,,,,1,From Kick Off,Eros Pisano,11342.0,Right Back,2,Hellas Verona,226,['6cd2a07b-05dd-41a9-98ef-491d761b3ef7'],9,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:09.282,Pass,
