50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7ca6b0b4-6208-432c-b4b2-422dceabe803,1,,,3879840,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 30745, 'name': 'Daniele Gastaldello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 8849, 'name': 'Domenico Maietta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 18027, 'name': 'Matteo Brighi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 45591, 'name': 'Franco Brienza'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11729, 'name': 'Luca Rizzo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6948, 'name': 'Sergio Floccari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,85fd434d-5d5b-4f41-b3a9-b19c1895178b,2,,,3879840,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 38312, 'name': 'Eugenio Lamanna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6894, 'name': 'Ezequiel Muñoz'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 7176, 'name': 'Sebastian De Maio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7464, 'name': 'Cristian Daniel Ansaldi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 10530, 'name': 'Jules Olivier Ntcham'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 34}, {'player': {'id': 8180, 'name': 'Leonardo Pavoletti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 7852, 'name': 'Tim Matavž'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 42}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5b1567f3-3632-4982-a2e7-a73a3f0decc6,3,,,3879840,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['e447ec4d-8b3f-4531-bcf6-4c3ffeddb446'],0,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e447ec4d-8b3f-4531-bcf6-4c3ffeddb446,4,,,3879840,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['5b1567f3-3632-4982-a2e7-a73a3f0decc6'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ee20919c-b0cf-4d23-817d-3197c941d0a0,1860,,,3879840,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Bologna,240,['6b5101e7-121d-4254-8f5e-91645d579759'],0,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6b5101e7-121d-4254-8f5e-91645d579759,1861,,,3879840,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Bologna,240,['ee20919c-b0cf-4d23-817d-3197c941d0a0'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.24467,,,,,,,,,,,,,,81a1a59f-8276-440b-9d67-1e0af4351c7a,5,,"[61.0, 40.1]",3879840,0,,True,,,-2.9525204,,Right Foot,,,,"[44.8, 37.0]",,Ground Pass,,16.493938,,,,,Tomás Eduardo Rincón Hernández,7475.0,,,,,Kick Off,1,From Kick Off,Tim Matavž,7852.0,Left Center Forward,2,Genoa,233,['4982e725-b95a-400f-aa7a-4897e7a8fa63'],1,,,,,,,,,,,,,,,,Genoa,233,00:00:01.318,Pass,
,,,,,,,,,,,,,,,1.957567,,,,,,,,,,,,,,c8d17769-35df-4bdb-a5be-5465a25834b5,7,,"[43.7, 36.0]",3879840,0,,,,,-1.7866771,,Right Foot,,,,"[38.7, 13.2]",,Ground Pass,,23.341808,,,,,Sebastian De Maio,7176.0,,,,,,1,From Kick Off,Tomás Eduardo Rincón Hernández,7475.0,Center Defensive Midfield,2,Genoa,233,['56c0e8cd-2450-4f91-84c6-b788c814451e'],3,,,,,,,,,,,,,,,,Genoa,233,00:00:03.300,Pass,
,,,,,,,,,,,,,,,0.068952,,,,,,,,,,,,,,ddec66bc-a273-40e7-b021-32aa10c487de,11,,"[19.8, 6.5]",3879840,0,,,,,-0.4214192,,Left Foot,,,,"[22.7, 5.2]",,Low Pass,,3.1780498,,,Incomplete,,,,,,,,,1,From Kick Off,Sebastian De Maio,7176.0,Left Center Back,2,Genoa,233,"['3e34a708-4d50-4cd2-bea7-b02d37f604e6', 'c1e84935-3745-4867-b665-09237053b56c']",12,,,,,,,,,,,,,,,,Genoa,233,00:00:12.378,Pass,True
,,,,,,,,,,,,,,,2.046464,,,,,,,,,,,,,,0a670cde-f4a9-451b-80c3-5f9498b137b0,13,,"[27.5, 0.1]",3879840,0,,,,,0.14431836,,,,,,"[56.4, 4.3]",,High Pass,,29.203596,,,Incomplete,,Diego Sebastián Laxalt Suárez,5717.0,,,,,Throw-in,1,From Throw In,Sebastian De Maio,7176.0,Left Center Back,3,Genoa,233,"['1a8b05ff-ec23-4f55-a431-9c798aae7fb4', '4cdfd96e-a2c7-4ea2-acf6-a329663719ef']",21,,,,,,,,,,,,,,,,Genoa,233,00:00:21.307,Pass,
