50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,766ed427-4a7c-4233-a08e-22f83bfa9d1a,1,,,,3878540,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6991, 'name': 'Etrit Berisha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 8443, 'name': 'Dušan Basta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8847, 'name': 'Santiago Juan Gentiletti Selak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7778, 'name': 'Ştefan Daniel Radu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 22828, 'name': 'Ricardo Kishna'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 88}, {'player': {'id': 3145, 'name': 'Keita Baldé Diao'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,87af8655-f0a5-4905-a04e-920af23071ca,2,,,,3878540,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7704, 'name': 'Alex Ferrari'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 8873, 'name': 'Marios Oikonomou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 7965, 'name': 'Lorenzo Crisetig'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 31273, 'name': 'Marco Crimi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 90}, {'player': {'id': 18027, 'name': 'Matteo Brighi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 33}, {'player': {'id': 45591, 'name': 'Franco Brienza'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 386640, 'name': 'Robert Acquafresca'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 15415, 'name': 'Matteo Mancosu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,00b08c71-b52a-4b63-8d19-a41b911a1ee0,3,,,,3878540,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['b6d06b88-e105-4365-b505-734d85f9572d'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b6d06b88-e105-4365-b505-734d85f9572d,4,,,,3878540,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['00b08c71-b52a-4b63-8d19-a41b911a1ee0'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b05c091b-a61f-4f95-bdb0-7537c77f46c3,2084,,,,3878540,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Lazio,236,['980fdff6-158f-4026-a8de-8cf562ac646d'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,980fdff6-158f-4026-a8de-8cf562ac646d,2085,,,,3878540,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Lazio,236,['b05c091b-a61f-4f95-bdb0-7537c77f46c3'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.63318,,,,,,,,,,,5aafc69e-eb4d-4750-a9d6-6c5a40d32a34,5,,,"[61.0, 40.1]",3878540,0,,,,,-1.5707964,,Right Foot,,,"[61.0, 37.4]",,Ground Pass,,2.7,,,,,Franco Brienza,45591.0,,,,,,Kick Off,1,From Kick Off,Robert Acquafresca,386640.0,Right Center Forward,2,Bologna,240,['cf78e65f-b058-4792-bfe8-4f763d53e86c'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.332,Pass,
,,,,,,,,,,,,,,,,1.878656,,,,,,,,,,,b6d6d3a9-a2e9-4349-9196-b8eebba7c10d,7,,,"[60.4, 37.2]",3878540,0,,,,,2.6135182,,Left Foot,,,"[41.2, 48.4]",,Ground Pass,,22.227911,,,,,Marios Oikonomou,8873.0,,,,,,,1,From Kick Off,Franco Brienza,45591.0,Center Attacking Midfield,2,Bologna,240,['a93fec6b-1c54-4dcc-acbe-85df2fa4d91b'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.965,Pass,
,,,,,,,,,,,,,,,,0.519538,,,,,,,,,,,27e10496-3ba3-4119-a01c-4a290f8985ba,9,,,"[40.2, 48.4]",3878540,0,,,,,-2.027145,,Left Foot,,,"[37.5, 42.9]",,Ground Pass,,6.1269894,,,,,Luca Rossettini,7142.0,,,,,,,1,From Kick Off,Marios Oikonomou,8873.0,Right Center Back,2,Bologna,240,['bf7cdaa2-fe79-4662-a624-1e48d45c6794'],2,,,,,,,,,,,,,,,,Bologna,240,00:00:02.843,Pass,
,,,,,,,,,,,,,,,,3.308945,,,,,,,,,,,4b57a447-9b8e-48a7-bb76-8616dc7f1c7e,11,,,"[37.5, 42.9]",3878540,0,,,,,0.5174418,,Right Foot,,,"[88.1, 71.7]",,High Pass,,58.22199,,,Incomplete,,,,,,,,,,1,From Kick Off,Luca Rossettini,7142.0,Left Center Back,2,Bologna,240,['873ebd50-ecf6-4616-b11e-5584f1891036'],3,,,,,,,,,,,,,,,,Bologna,240,00:00:03.363,Pass,
