50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.646468,,,,,,,,,,,,,806ccb1d-045a-43db-a46a-09aa50c64b45,16,,,"[30.4, 18.9]",3879830,0,,,,True,-0.9800837,,,,,,"[41.8, 1.9]",,High Pass,,20.468512,,,,,Gabriel Moisés Antunes da Silva,3416.0,,,,,Recovery,1,From Kick Off,Giovanni Marchese,40457.0,Left Center Back,2,Inter Milan,238,"['69669408-fff4-4e20-8527-fce04a04334b', 'bb5198f0-af38-49f3-8914-0f910985963e', 'e646bc7f-2e18-4020-a963-502ac35e84b4']",9,,,,,,,,,,,,,,,,,,Genoa,233,00:00:09.720,Pass,True
,,,,,,,,,,,,,,,,,,,2.091712,,,,,,,,,,,,,8e6edce6-e93f-416b-a084-cc1deb73c85a,19,,,"[42.0, 1.9]",3879830,0,,,,,0.8397663,,Left Foot,,,,"[55.9, 17.4]",,High Pass,,20.819702,,,Incomplete,,Luca Rigoni,7461.0,,,,,,1,From Kick Off,Gabriel Moisés Antunes da Silva,3416.0,Left Wing Back,2,Inter Milan,238,"['2cde571e-cdb6-4ce6-a8f1-d853e5d5b849', '6d44da94-55e2-4eb1-98b9-f9d56b212175', '915aa434-f26f-4241-bd93-1701b1b8c11d']",12,,,,,,,,,,,,,,,,,,Genoa,233,00:00:12.367,Pass,True
,,,,,,,,,,,,,,,,,,,1.209987,,,,,,,,,,,,,6d44da94-55e2-4eb1-98b9-f9d56b212175,21,,,"[64.2, 62.7]",3879830,0,,,,,0.27119842,,Right Foot,,,,"[84.7, 68.4]",,High Pass,,21.277687,,,,,Rodrigo Sebastián Palacio,7165.0,,,,,Recovery,1,From Kick Off,Gary Alexis Medel Soto,16453.0,Left Defensive Midfield,2,Inter Milan,238,"['62d36e26-9135-4b22-93eb-7570075c9000', '8e6edce6-e93f-416b-a084-cc1deb73c85a']",14,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:14.459,Pass,
,,,,,,,,,,,,,,,,,,,2.079612,,,,,,,,,,,,,75340db0-91b4-4cd8-b125-237833f904c8,25,,,"[84.5, 68.4]",3879830,0,,,,,0.073108904,,Right Foot,,,,"[120.0, 71.0]",,High Pass,,35.595085,,,Out,,,,,,,,Free Kick,1,From Free Kick,Marcelo Brozović,5469.0,Right Wing,3,Inter Milan,238,,49,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:49.671,Pass,
,,,,,,,,,,,,,,,,,,,2.049681,,,,,,,,,,,,,5c95081e-9757-4935-90c8-7c9d783da44a,26,,,"[6.0, 36.0]",3879830,1,,True,,,-1.3720421,,Right Foot,,,,"[11.7, 7.7]",,Ground Pass,,28.868322,,,,,Giovanni Marchese,40457.0,,,,,Goal Kick,1,From Goal Kick,Eugenio Lamanna,38312.0,Goalkeeper,4,Genoa,233,['1a6d2efb-2b3d-49f0-a5d7-8f8e86e418e8'],4,,,,,,,,,,,,,,,,,,Genoa,233,00:01:04.971,Pass,
,,,,,,,,,,,,,,,,,,,3.252054,,,,,,,,,,,,,a87e7ca9-08f7-47c2-9e6b-fe426d43a662,29,,,"[13.7, 4.5]",3879830,1,,,,,-0.07897211,,Left Foot,,,,"[69.3, 0.1]",,High Pass,,55.77383,,,Out,,Leonardo Pavoletti,8180.0,,,,,,1,From Goal Kick,Giovanni Marchese,40457.0,Left Center Back,4,Genoa,233,"['59737f48-78dd-423f-a495-7b5c6f9e45f6', 'ee2d0300-31bf-432e-8ac4-d6ee237f5b98']",8,,,,,,,,,,,,,,,,,,Genoa,233,00:01:08.171,Pass,True
,,,,,,,,,,,,,,,,,,,1.453002,,,,,,,,,,,,,97c87827-f018-4d57-8416-da9377a0222d,31,,,"[63.1, 80.0]",3879830,1,,,,,-1.0351342,,,,,,"[72.3, 64.5]",,High Pass,,18.024706,,,,,Ivan Perišić,5474.0,,,,,Throw-in,1,From Throw In,Danilo D''Ambrosio,6984.0,Right Back,5,Inter Milan,238,['00cb33cd-3b8a-4166-9e12-66f349f5bea5'],21,,,,,,,,,,,,,,,,,,Inter Milan,238,00:01:21.263,Pass,
,,,,,,,,,,,,,,,,,,,0.804218,,,,,,,,,,,,,74df0924-84ae-4300-9e15-8019f81de996,34,,,"[73.6, 65.7]",3879830,1,,,,,-0.9590694,,Right Foot,,,,"[78.3, 59.0]",,Ground Pass,,8.184131,,,,,Rodrigo Sebastián Palacio,7165.0,,,,,,1,From Throw In,Ivan Perišić,5474.0,Left Wing,5,Inter Milan,238,"['8f656536-bf6e-44a4-b16b-c0c3f63ca3d8', 'e05b5112-6999-4ae6-aa61-98fc94e5d055']",22,,,,,,,,,,,,,,,,,,Inter Milan,238,00:01:22.716,Pass,True
,,,,,,,,,,,,,,,,,,,1.333977,,,,,,,,,,,,,49c2b44c-e27b-4d54-b58f-785daeff9d4e,37,,,"[91.9, 39.6]",3879830,1,,,,,-0.49141824,,Left Foot,,,,"[106.1, 32.0]",,Ground Pass,,16.1059,,,,,Mauro Emanuel Icardi Rivero,6987.0,,,,,,1,From Throw In,Rodrigo Sebastián Palacio,7165.0,Center Attacking Midfield,5,Inter Milan,238,['0bd9072c-8639-4e9b-bf63-228a6d064af2'],26,,,,,,,,,,,,,,,,,,Inter Milan,238,00:01:26.948,Pass,
,,,,,,,,,,,,,,,,,,,1.577732,,,,,,,,,,,,,bd56f96c-825e-4c97-9c19-6a39ced9f08d,40,,,"[105.6, 32.0]",3879830,1,,,,,-1.5707964,,Right Foot,,,,"[105.6, 22.0]",,Ground Pass,,10.0,,,,,Alex Nicolao Telles,11183.0,,,,,,1,From Throw In,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,5,Inter Milan,238,['e4c8e904-b26e-4333-941f-b94062ad3a8c'],28,,,,,,,,,,,,,,,,,,Inter Milan,238,00:01:28.282,Pass,
