50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,404c64f0-76ad-4495-9aac-aff55ae10ec7,1,,,3879806,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7704, 'name': 'Alex Ferrari'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 8849, 'name': 'Domenico Maietta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8280, 'name': 'Godfred Donsah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6948, 'name': 'Sergio Floccari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c6a345d5-21a7-4744-9fc1-15891dbe9db5,2,,,3879806,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 7794, 'name': 'Samir Caetano de Souza Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 386650, 'name': 'Michelangelo Albertazzi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 8463, 'name': 'Urby Emanuelson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 386651, 'name': 'Juan Ignacio Gómez Taleb'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6686, 'name': 'Giampaolo Pazzini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,289faa88-7676-438a-8197-67b3cf8506b3,3,,,3879806,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['f586416b-d307-4475-a2cb-5ce94873c771'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f586416b-d307-4475-a2cb-5ce94873c771,4,,,3879806,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['289faa88-7676-438a-8197-67b3cf8506b3'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4526d792-d5b4-47b0-984e-6c6668d80df8,1793,,,3879806,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Hellas Verona,226,['4316c6b0-db4f-488e-91d3-effc4351caaa'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4316c6b0-db4f-488e-91d3-effc4351caaa,1794,,,3879806,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Hellas Verona,226,['4526d792-d5b4-47b0-984e-6c6668d80df8'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.170261,,,,,,,,,,,25b24c87-a2ba-4bfc-aeca-c36760e94fa4,5,,"[60.0, 40.0]",3879806,0,,,,,2.2142975,,Right Foot,,,"[59.7, 40.4]",,Ground Pass,,0.5,,,,Sergio Floccari,6948.0,,,,,Kick Off,1,From Kick Off,Saphir Sliti Taïder,8851.0,Left Center Midfield,2,Bologna,240,['172401ce-e5be-4778-8c5e-d91d3b24cddb'],1,,,,,,,,,,,,,,,,,Bologna,240,00:00:01.744,Pass,
,,,,,,,,,,,,,,,,,,1.425579,,,,,,,,,,,3487ebd6-4704-4cd3-9e88-c9327768b82c,8,,"[59.7, 40.4]",3879806,0,,,,,-2.7275937,,Right Foot,,,"[46.5, 34.6]",,Ground Pass,,14.418044,,,,Amadou Diawara,8284.0,,,,,,1,From Kick Off,Sergio Floccari,6948.0,Center Forward,2,Bologna,240,['facebb30-7792-4109-86c7-316653443004'],1,,,,,,,,,,,,,,,,,Bologna,240,00:00:01.954,Pass,
,,,,,,,,,,,,,,,,,,1.14817,,,,,,,,,,,8857b69b-590f-4676-82d5-b54c85655070,11,,"[45.5, 34.5]",3879806,0,,,,,2.5152178,,Right Foot,,,"[33.2, 43.4]",,Ground Pass,,15.182226,,,,Luca Rossettini,7142.0,,,,,,1,From Kick Off,Amadou Diawara,8284.0,Center Defensive Midfield,2,Bologna,240,['3b91e826-2db8-4697-8f71-0f77bc7962d2'],4,,,,,,,,,,,,,,,,,Bologna,240,00:00:04.223,Pass,
,,,,,,,,,,,,,,,,,,1.946797,,,,,,,,,,,22a20296-f88f-41c5-90b4-fd0c3f600f9b,14,,"[33.2, 43.4]",3879806,0,,,,,-1.3685439,,Right Foot,,,"[40.5, 7.8]",,Ground Pass,,36.340748,,,,Adam Masina,7169.0,,,,,,1,From Kick Off,Luca Rossettini,7142.0,Right Center Back,2,Bologna,240,['b56113e9-f943-41eb-a988-cfea29279883'],6,,,,,,,,,,,,,,,,,Bologna,240,00:00:06.652,Pass,
