50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,64e0156b-51e7-4427-90c8-5a51111d3abd,1,,,3879665,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 31721, 'name': 'Matteo Ciofani'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 387847, 'name': 'Leonardo Blanchard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 8661, 'name': 'Daniel Pavlovic'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 20636, 'name': 'Mirko Gori'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23349, 'name': 'Paolo Sammarco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 9898, 'name': 'Aleksandar Tonev'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 11608, 'name': 'Danilo Soddimo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,865842fd-0fbf-4dbc-bde2-849b3fc0c054,2,,,3879665,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 91}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,02db08b0-a977-4918-b5ec-95f12180d9a2,3,,,3879665,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['0e370c28-ae8e-4f77-95a9-669742d481fb'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0e370c28-ae8e-4f77-95a9-669742d481fb,4,,,3879665,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['02db08b0-a977-4918-b5ec-95f12180d9a2'],0,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a80c18b4-d9be-42b1-94f7-13f484e76b30,1698,,,3879665,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,AC Milan,243,['03a27b76-9526-45e5-a4e1-f83f1818be8b'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,03a27b76-9526-45e5-a4e1-f83f1818be8b,1699,,,3879665,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,AC Milan,243,['a80c18b4-d9be-42b1-94f7-13f484e76b30'],0,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.615144,,,,,,,,,,,,517b2395-daf2-43a7-a6c0-1211e32fb32c,5,,"[61.0, 40.1]",3879665,0,,True,,,1.7561443,,Right Foot,,,"[60.7, 41.7]",,Ground Pass,,1.627882,,,,Riccardo Montolivo,7166.0,,,,,,Kick Off,1,From Kick Off,Andrea Bertolacci,7147.0,Left Defensive Midfield,2,AC Milan,243,['5648d30c-5814-45cd-ab90-a3c10f6be406'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.500,Pass,
,,,,,,,,,,,,,,,,,1.204015,,,,,,,,,,,,6405dc52-a9f9-445e-8e9c-523bb960ffe4,7,,"[61.7, 41.7]",3879665,0,,,,,-0.8379812,,Right Foot,,,"[71.6, 30.7]",,Ground Pass,,14.798986,,,,Giacomo Bonaventura,7026.0,,,,,,,1,From Kick Off,Riccardo Montolivo,7166.0,Right Defensive Midfield,2,AC Milan,243,['990523f8-f19c-4391-867c-c9cf25c7d288'],1,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:01.456,Pass,
,,,,,,,,,,,,,,,,,1.099013,,,,,,,,,,,,35be4437-5a00-4a6e-a874-a3e4cad85585,11,,"[77.3, 30.0]",3879665,0,,,,,1.9820901,,Right Foot,,,"[73.2, 39.4]",,Ground Pass,,10.255242,,,,Riccardo Montolivo,7166.0,,,,,,,1,From Kick Off,Giacomo Bonaventura,7026.0,Left Midfield,2,AC Milan,243,['f4af99d4-99df-4841-bb0b-2a2b0a932577'],6,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:06.045,Pass,
,,,,,,,,,,,,,,,,,1.604839,,,,,,,,,,,,588c1d28-7fa3-4e76-ba26-d2e636b41458,14,,"[72.9, 39.6]",3879665,0,,,,,1.6237063,,Right Foot,,,"[71.2, 71.7]",,Ground Pass,,32.144985,,,,Ignazio Abate,7463.0,,,,,,,1,From Kick Off,Riccardo Montolivo,7166.0,Right Defensive Midfield,2,AC Milan,243,['4c238258-3051-496a-bbf3-b490b8179f8c'],7,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:07.856,Pass,
