50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3ea16c82-28cb-488a-a7df-f809df1a9638,1,,,3879727,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 7148, 'name': 'Mattia Perin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7467, 'name': 'Nicolás Andrés Burdisso'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 6894, 'name': 'Ezequiel Muñoz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7464, 'name': 'Cristian Daniel Ansaldi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 5554, 'name': 'Blerim Džemaili'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 7022, 'name': 'Jesús Joaquín Fernández Sáez de la Torre'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 7702, 'name': 'Alessio Cerci'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 8180, 'name': 'Leonardo Pavoletti'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4bbf24fc-42bb-4ad4-8fa4-8853ae96060c,2,,,3879727,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8443, 'name': 'Dušan Basta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 9939, 'name': 'Maurício dos Santos Nascimento'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26683, 'name': 'Abdoulay Konko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 7107, 'name': 'Danilo Cataldi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8172, 'name': 'Felipe Anderson Pereira Gomes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 386641, 'name': 'Stefano Mauri'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 11427, 'name': 'Filip Đorđević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ee2bb9b9-8815-418c-8bd6-9ddf27089ac9,3,,,3879727,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['5d25627b-594e-4729-9ff1-c43447ed6f75'],0,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d25627b-594e-4729-9ff1-c43447ed6f75,4,,,3879727,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['ee2bb9b9-8815-418c-8bd6-9ddf27089ac9'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,82718b3d-b8bd-40ce-9f30-13d61fcb774c,1699,,,3879727,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,110,Genoa,233,['0625752c-a706-437d-8762-b4a80a1e819b'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0625752c-a706-437d-8762-b4a80a1e819b,1700,,,3879727,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,110,Genoa,233,['82718b3d-b8bd-40ce-9f30-13d61fcb774c'],0,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.274947,,,,,,,,,,,,,d5597bf0-08e1-449d-9f2b-964fb19f11fd,5,,"[61.0, 40.1]",3879727,0,,True,,,-2.55359,,Left Foot,,,"[58.9, 38.7]",Ground Pass,,2.523886,,,Sergej Milinković-Savić,5589.0,,,,,Kick Off,1,From Kick Off,Filip Đorđević,11427.0,Center Forward,2,Lazio,236,['98d20ee8-3c0e-4c51-aded-e3bdbe667521'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.451,Pass,
,,,,,,,,,,,,,,,,,1.453984,,,,,,,,,,,,,5dac6f38-115d-4d7a-a4c2-ba855802bfad,7,,"[56.6, 39.6]",3879727,0,,,,,2.5142844,,Left Foot,,,"[44.6, 48.3]",Ground Pass,,14.821943,,,Danilo Cataldi,7107.0,,,,,,1,From Kick Off,Sergej Milinković-Savić,5589.0,Right Center Midfield,2,Lazio,236,['e6ee7632-3b1d-4dbc-88fc-fa757efa8443'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.726,Pass,
,,,,,,,,,,,,,,,,,2.054983,,,,,,,,,,,,,455c1645-f9db-44a4-a597-3cd68e4a9d2d,10,,"[44.3, 49.8]",3879727,0,,,,,1.4141945,,Right Foot,,,"[48.5, 76.4]",Ground Pass,,26.929537,,,Dušan Basta,8443.0,,,,,,1,From Kick Off,Danilo Cataldi,7107.0,Center Defensive Midfield,2,Lazio,236,['49cf3049-abf8-4d73-969b-99bed4f049aa'],2,,,,,,,,,,,,,,,,,,Lazio,236,00:00:02.249,Pass,
,,,,,,,,,,,,,,,,,3.573777,,,,,,,,,,,,,4d7ba8fb-c844-46ac-b1e1-765240eacfa3,13,,"[48.5, 75.6]",3879727,0,,,,,-0.27086407,,Right Foot,,,"[110.8, 58.3]",High Pass,,64.6574,Incomplete,,,,,,,,,1,From Kick Off,Dušan Basta,8443.0,Right Back,2,Lazio,236,['df3374aa-124e-4658-961e-a86c235f3e3d'],5,,,,,,,,,,,,,,,,,,Lazio,236,00:00:05.500,Pass,
