bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,15e0d3cd-a7cf-429d-b808-5ac2fa0ecd7d,1,,,3879846,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 386650, 'name': 'Michelangelo Albertazzi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 6686, 'name': 'Giampaolo Pazzini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 27}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a9b4f2d6-b4a6-410a-bc74-26aa8828c343,2,,,3879846,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6360, 'name': 'Cristian Eduardo Zapata Valencia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 8653, 'name': 'José Mauri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 70}, {'player': {'id': 20300, 'name': 'Jérémy Ménez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e8de9e76-f97a-43ab-80c9-153702b56c81,3,,,3879846,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['46042a41-b5e7-4001-bb52-130b03dec1c5'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,46042a41-b5e7-4001-bb52-130b03dec1c5,4,,,3879846,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['e8de9e76-f97a-43ab-80c9-153702b56c81'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2a21f400-f942-4940-bde0-033061874810,1832,,,3879846,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,117,AC Milan,243,['0b75d9bc-f7f6-4940-ada0-c33d101395f1'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b75d9bc-f7f6-4940-ada0-c33d101395f1,1833,,,3879846,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,117,AC Milan,243,['2a21f400-f942-4940-bde0-033061874810'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.64962,,,,,,,,,,,,,fade1175-ae73-4bac-b74a-bf5cf5cd34e7,5,,"[61.0, 40.1]",3879846,0,,,,,2.949766,,Right Foot,,,"[36.8, 44.8]",Ground Pass,,24.65218,,,,Alessio Romagnoli,7458.0,,,,,,Kick Off,1,From Kick Off,Keisuke Honda,5683.0,Center Attacking Midfield,2,AC Milan,243,['0f6fe8c3-3506-4acd-971e-38a5dff3e09b'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.718,Pass,
,,,,,,,,,,,,,,,,3.184335,,,,,,,,,,,,,022c12d6-8763-432a-aa5f-f5da8eb62525,8,,"[35.9, 44.8]",3879846,0,,,,,0.1883049,,Left Foot,,,"[91.0, 55.3]",High Pass,,56.091534,,Incomplete,,Juraj Kucka,10919.0,,,,,,,1,From Kick Off,Alessio Romagnoli,7458.0,Left Center Back,2,AC Milan,243,"['512a6875-51c2-4507-9f7d-7adf8cdd16e2', 'eb1c3ec1-533f-4bae-958d-b7017522aa14']",4,,,,,,,,,,,,,,,,,AC Milan,243,00:00:04.088,Pass,
,,,,,,,,,,,,,,,,1.827835,,,,,,,,,,,,,eb1c3ec1-533f-4bae-958d-b7017522aa14,11,,"[29.1, 24.8]",3879846,0,,,,True,0.8430266,,,,,"[34.0, 30.3]",High Pass,,7.366139,,Incomplete,,Artur Ioniţă,7949.0,,,,,,Recovery,1,From Kick Off,Matteo Bianchetti,8421.0,Left Center Back,2,AC Milan,243,"['022c12d6-8763-432a-aa5f-f5da8eb62525', '1c54dd0e-4bf0-4d50-9816-0103dee254b6', '8a8435b2-85e1-47f9-854f-4b43757f1148', 'ae008572-21b8-4d79-9e52-9c96e7a0c859']",7,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:07.272,Pass,True
,,,,,,,,,,,,,,,,1.516555,,,,,,,,,,,,,ae008572-21b8-4d79-9e52-9c96e7a0c859,13,,"[86.1, 49.8]",3879846,0,,,,True,0.4274643,,,,,"[95.1, 53.9]",High Pass,,9.889894,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,José Mauri,8653.0,Left Center Midfield,2,AC Milan,243,"['7b93a4f4-4fb8-48be-8246-a9a26db42db5', 'd9dfc20e-0147-4761-b4fc-85aa8c0d3e70', 'eb1c3ec1-533f-4bae-958d-b7017522aa14']",9,,,,,,,,,,,,,,,,,AC Milan,243,00:00:09.100,Pass,True
