50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9b855229-3a8d-4eac-84c9-8c3d742ea900,1,,,3879703,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6991, 'name': 'Etrit Berisha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 26683, 'name': 'Abdoulay Konko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3103, 'name': 'Milan Biševac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 7778, 'name': 'Ştefan Daniel Radu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 7107, 'name': 'Danilo Cataldi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 3145, 'name': 'Keita Baldé Diao'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 11427, 'name': 'Filip Đorđević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,efdd33c2-b658-4220-8e81-92f45c1a3007,2,,,3879703,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 7771, 'name': 'Dario Dainelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 43}, {'player': {'id': 7043, 'name': 'Roberto Inglese'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 45}]}",Chievo,231,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,60d209d5-8423-4d96-901b-95ba097fa746,3,,,3879703,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['a62c25e0-0e09-4c52-8a92-85af0a2362dc'],0,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a62c25e0-0e09-4c52-8a92-85af0a2362dc,4,,,3879703,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['60d209d5-8423-4d96-901b-95ba097fa746'],0,,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8c4731ce-ab4f-43f0-841f-820b2d612151,1986,,,3879703,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Lazio,236,['8b4925e2-17f7-4444-ad4f-8796590e7144'],0,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b4925e2-17f7-4444-ad4f-8796590e7144,1987,,,3879703,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Lazio,236,['8c4731ce-ab4f-43f0-841f-820b2d612151'],0,,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.683506,,,,,,,,,,,,,cf857f1c-ec7b-4446-9623-7df92f74577f,5,,"[60.0, 40.0]",3879703,0,True,,,-3.0936842,,Right Foot,,,"[45.4, 39.3]",,Ground Pass,,14.616771,,,,,Danilo Cataldi,7107.0,,,,,Kick Off,1,From Kick Off,Filip Đorđević,11427.0,Center Forward,2,Lazio,236,['c09f8dfd-8e3a-4cf5-909f-3a68b3ddca1c'],1,,,,,,,,,,,,,,,,,,,Lazio,236,00:00:01.111,Pass,
,,,,,,,,,,,,,,,,,1.264678,,,,,,,,,,,,,b13a2d65-61c5-4962-8384-0715c6389c0f,7,,"[44.1, 40.4]",3879703,0,,,,1.6539376,,Right Foot,,,"[42.0, 65.6]",,Ground Pass,,25.287348,,,,,Abdoulay Konko,26683.0,,,,,,1,From Kick Off,Danilo Cataldi,7107.0,Center Defensive Midfield,2,Lazio,236,['8bde6564-ceeb-4b31-82eb-7cf3cecbe96b'],2,,,,,,,,,,,,,,,,,,,Lazio,236,00:00:02.846,Pass,
,,,,,,,,,,,,,,,,,3.162829,,,,,,,,,,,,,d0bb7a09-11fe-4821-945a-3fb7ec8b2256,10,,"[48.4, 72.9]",3879703,0,,,,-1.9570022,,Right Foot,,,"[34.9, 39.7]",,Ground Pass,,35.839783,,,,,Milan Biševac,3103.0,,,,,,1,From Kick Off,Abdoulay Konko,26683.0,Right Back,2,Lazio,236,['8e7dc3f3-ead3-41da-a3a2-d0a59ef36d8b'],7,,,,,,,,,,,,,,,,,,,Lazio,236,00:00:07.500,Pass,
,,,,,,,,,,,,,,,,,1.234866,,,,,,,,,,,,,ed58192f-3dde-4cf6-9191-348aa192b312,13,,"[35.8, 42.1]",3879703,0,,,,0.9416238,,Right Foot,,,"[47.3, 57.9]",,Ground Pass,,19.542006,,,,,Abdoulay Konko,26683.0,,,,,,1,From Kick Off,Milan Biševac,3103.0,Right Center Back,2,Lazio,236,['9675c9ce-04d2-4a3a-85e1-b1c9e6350578'],12,,,,,,,,,,,,,,,,,,,Lazio,236,00:00:12.668,Pass,
