50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,058af4cf-2734-4ff2-a907-9acd70fb251e,1,,,,3879695,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7148, 'name': 'Mattia Perin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6894, 'name': 'Ezequiel Muñoz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 7467, 'name': 'Nicolás Andrés Burdisso'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7464, 'name': 'Cristian Daniel Ansaldi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 30}, {'player': {'id': 7022, 'name': 'Jesús Joaquín Fernández Sáez de la Torre'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 8180, 'name': 'Leonardo Pavoletti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,36ab7289-951c-4fba-9467-f7c2d5ea5ba5,2,,,,3879695,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 8102, 'name': 'Edoardo Goldaniga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 12}, {'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31268, 'name': 'Michel Morganella'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 77}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 6993, 'name': 'Bryan Cristante'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 23846, 'name': 'Uroš Đurđević'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 99}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ec9152c-157f-4196-83e3-d79940368eb8,3,,,,3879695,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['50fe6615-8429-45aa-ade5-b347c9268714'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,50fe6615-8429-45aa-ade5-b347c9268714,4,,,,3879695,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['6ec9152c-157f-4196-83e3-d79940368eb8'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a4cf7919-ccd3-42dd-ac93-a6697baf4af8,1912,,,,3879695,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Genoa,233,['7ab956c3-d4cd-44dd-9bce-f35bc51e3f13'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ab956c3-d4cd-44dd-9bce-f35bc51e3f13,1913,,,,3879695,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Genoa,233,['a4cf7919-ccd3-42dd-ac93-a6697baf4af8'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.967135,,,,,,,,,,,,,4442fbdc-989a-4964-bc0d-61d72fa4a92d,5,,,"[60.0, 40.0]",3879695,0,,,,,-2.9720044,,Right Foot,,,,"[45.4, 37.5]",,Ground Pass,,14.812494,,,Luca Rigoni,7461.0,,,,,Kick Off,1,From Kick Off,Jesús Joaquín Fernández Sáez de la Torre,7022.0,Right Wing,2,Genoa,233,['33ed67a3-d874-4d79-83b3-2df40c9ffabf'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.723,Pass,
,,,,,,,,,,,,,,,,,,,1.727731,,,,,,,,,,,,,97206d9f-b9a4-4db5-99ee-cef489239c79,8,,,"[44.0, 38.1]",3879695,0,,,,,1.960457,,Right Foot,,,,"[30.9, 70.0]",,Ground Pass,,34.48507,,,Ezequiel Muñoz,6894.0,,,,,,1,From Kick Off,Luca Rigoni,7461.0,Left Defensive Midfield,2,Genoa,233,['1848b870-a6d2-457f-aaa3-d6e648a5e494'],3,,,,,,,,,,,,,,,,,Genoa,233,00:00:03.007,Pass,
,,,,,,,,,,,,,,,,,,,2.158805,,,,,,,,,,,,,c6416017-4f2f-49d3-89e9-3918fb13f8ea,11,,,"[34.3, 70.8]",3879695,0,,,,,-1.4513674,,Right Foot,,,,"[38.8, 33.3]",,Ground Pass,,37.769035,,,Luca Rigoni,7461.0,,,,,,1,From Kick Off,Ezequiel Muñoz,6894.0,Right Center Back,2,Genoa,233,['823d07a2-502f-44cb-8dd0-2cc3a3b1a30d'],6,,,,,,,,,,,,,,,,,Genoa,233,00:00:06.368,Pass,
,,,,,,,,,,,,,,,,,,,1.313678,,,,,,,,,,,,,8bdddc40-3594-462c-be60-4f1918e2d7cf,14,,,"[33.7, 30.4]",3879695,0,,,,,-1.5707964,,Right Foot,,,,"[33.7, 5.9]",,Ground Pass,,24.5,,,Armando Izzo,9940.0,,,,,,1,From Kick Off,Luca Rigoni,7461.0,Left Defensive Midfield,2,Genoa,233,['4168a7a0-f28e-40f0-a1c0-0cfdbfd77bd8'],9,,,,,,,,,,,,,,,,,Genoa,233,00:00:09.879,Pass,
