50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8ba6868e-4755-4379-b9be-281259146912,1,,,3879875,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 5662, 'name': 'Thiago Rangel Cionek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 12}, {'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 31268, 'name': 'Michel Morganella'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 77}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4447c1de-5183-408a-b921-51d1a4e2f8f0,2,,,3879875,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8463, 'name': 'Urby Emanuelson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 13}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6686, 'name': 'Giampaolo Pazzini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,716cba4d-83c7-4de3-ab14-63f07d54a22f,3,,,3879875,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['66f1d0a9-38db-42d6-8840-a1f16fbdf688'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,66f1d0a9-38db-42d6-8840-a1f16fbdf688,4,,,3879875,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['716cba4d-83c7-4de3-ab14-63f07d54a22f'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,435396c8-cd2e-4fac-af8c-d17be37fa0b1,1711,,,3879875,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Palermo,2256,['afef0a3c-b1c5-404f-9721-0ea4757792a8'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,afef0a3c-b1c5-404f-9721-0ea4757792a8,1712,,,3879875,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Palermo,2256,['435396c8-cd2e-4fac-af8c-d17be37fa0b1'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.701994,,,,,,,,,,,,7398aa43-d94b-4502-aa5c-badb0aa6b7dc,5,,"[60.0, 40.0]",3879875,0,,,,,1.6421038,,Right Foot,,,"[59.9, 41.4]",,Ground Pass,1.4035668,,,,Artur Ioniţă,7949.0,,,,,Kick Off,1,From Kick Off,Giampaolo Pazzini,6686.0,Center Forward,2,Hellas Verona,226,['70f9094e-d472-42c1-891d-7b3a0cb571d0'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.616,Pass,
,,,,,,,,,,,,,,,,,0.90324,,,,,,,,,,,,e13b7a71-b8c1-40cf-8534-15fd21378cad,7,,"[58.9, 41.1]",3879875,0,,,,,-2.946102,,Right Foot,,,"[48.8, 39.1]",,Ground Pass,10.296116,,,,Federico Viviani,7770.0,,,,,,1,From Kick Off,Artur Ioniţă,7949.0,Center Attacking Midfield,2,Hellas Verona,226,['e56de8ce-439f-4e52-8b52-f439cb197fe7'],1,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:01.318,Pass,
,,,,,,,,,,,,,,,,,3.061115,,,,,,,,,,,,aefe22a5-7f60-477c-a9ce-b40e9f8a4b15,10,,"[48.8, 37.4]",3879875,0,,,,,-1.4920124,,Right Foot,,,"[51.5, 3.2]",,Low Pass,34.30641,,,,Urby Emanuelson,8463.0,,,,,,1,From Kick Off,Federico Viviani,7770.0,Right Defensive Midfield,2,Hellas Verona,226,['63e0502c-afd4-4372-bbdc-bfd95bffad7d'],3,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:03.019,Pass,
,,,,,,,,,,,,,,,,,2.637666,,,,,,,,,,,,6a606677-4c2b-4891-af7a-e5b5c728cd01,13,,"[51.9, 3.2]",3879875,0,,,,,2.0626056,,Left Foot,,,"[32.4, 39.6]",,Ground Pass,41.29419,,,,Matteo Bianchetti,8421.0,,,,,,1,From Kick Off,Urby Emanuelson,8463.0,Left Back,2,Hellas Verona,226,['a592852a-339f-4c5f-889a-be853090d5b1'],7,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:07.304,Pass,
