50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.271393,,,,,,,,,,,,7bbab03c-d1aa-4bba-9d65-1f9957fd9ec5,195,,"[70.3, 69.6]",3879673,4,,,,,-2.4686217,,Right Foot,,,,"[63.4, 64.1]",,Ground Pass,,8.823832,,,,Alberto Grassi,6952.0,,,,,1,Regular Play,Andrea Conti,8657.0,Right Back,14,Atalanta,228,['1376bb5e-e4f9-4ec7-9722-9b6405473533'],53,,,,,,,,,,,,,,,,,,Atalanta,228,00:04:53.795,Pass,
,,,,,,,,,,,,,,,,,,,1.133292,,,,,,,,,,,,829d55fa-69a9-4d20-8f0a-404e667e95d1,198,,"[62.6, 63.1]",3879673,4,,,,,-1.6575347,,Right Foot,,,,"[61.2, 47.0]",,Ground Pass,,16.160755,,,,Luca Cigarini,8420.0,,,,,1,Regular Play,Alberto Grassi,6952.0,Right Center Midfield,14,Atalanta,228,['7395163f-beaa-40cf-88a5-30ff6fae0c10'],55,,,,,,,,,,,,,,,,,,Atalanta,228,00:04:55.770,Pass,
,,,,,,,,,,,,,,,,,,,0.987446,,,,,,,,,,,,ba3453df-4cc5-494e-b54d-f611eee5f1e4,201,,"[57.5, 54.0]",3879673,4,,,,,1.5532542,,Right Foot,,,,"[57.8, 71.1]",,Ground Pass,,17.10263,,,,Andrea Conti,8657.0,,,,,1,Regular Play,Luca Cigarini,8420.0,Left Center Midfield,14,Atalanta,228,['7d25aa36-e2ba-439f-9bdc-9145aabcccf9'],59,,,,,,,,,,,,,,,,,,Atalanta,228,00:04:59.031,Pass,
,,,,,,,,,,,,,,,,,,,1.215534,,,,,,,,,,,,cf4666af-3eea-4e1c-baca-6a2ce5eadf22,204,,"[61.6, 68.6]",3879673,5,,,,,-0.28867438,,Left Foot,,,,"[78.1, 63.7]",,Ground Pass,,17.212206,,Incomplete,,Germán Gustavo Denis,49439.0,,,,,1,Regular Play,Andrea Conti,8657.0,Right Back,14,Atalanta,228,"['9fd87e39-eab6-4b4d-9e21-72cc990aa668', 'dc9cf61d-4e09-46f0-915e-a50adf1c2a06']",2,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:02.380,Pass,
,,,,,,,,,,,,,,,,,,,2.611607,,,,,,,,,,,,9fd87e39-eab6-4b4d-9e21-72cc990aa668,206,,"[42.0, 16.4]",3879673,5,,,,,-0.51474947,,Left Foot,,,,"[64.1, 3.9]",,Ground Pass,,25.390156,,Incomplete,,Cyril Théréau,8272.0,,,,Recovery,1,Regular Play,Danilo Larangeira,7799.0,Center Back,14,Atalanta,228,"['2ac3a99e-1f5b-47c1-b0ad-dd16d3347f70', '7158cf6d-a62d-4e5b-82f7-e65a9d70c5d0', 'cf4666af-3eea-4e1c-baca-6a2ce5eadf22']",3,,,,,,,,,,,,,,,,,,Udinese,230,00:05:03.596,Pass,
,,,,,,,,,,,,,,,,,,,0.968528,,,,,,,,,,,,7158cf6d-a62d-4e5b-82f7-e65a9d70c5d0,208,,"[56.0, 76.2]",3879673,5,,,,,0.06391283,,Right Foot,,,,"[68.5, 77.0]",,Ground Pass,,12.525574,,,,Marco D''Alessandro,8184.0,,,,Recovery,1,Regular Play,Rafael Tolói,7002.0,Right Center Back,14,Atalanta,228,"['7d2b916c-9d4a-48f6-ae29-3c3ebf505057', '9fd87e39-eab6-4b4d-9e21-72cc990aa668']",6,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:06.207,Pass,
,,,,,,,,,,,,,,,,,,,0.140026,,,,,,,,,,,,eb4a018e-cb3f-4173-8335-75f439711c76,212,,"[68.9, 77.3]",3879673,5,,,,,-0.2730087,,Right Foot,,,,"[71.4, 76.6]",,Ground Pass,,2.596151,,Incomplete,,Germán Gustavo Denis,49439.0,,,,,1,Regular Play,Marco D''Alessandro,8184.0,Right Wing,14,Atalanta,228,"['2e10743c-7b18-4a32-9887-524010d9f78b', '53120c28-9afc-4a67-bbf1-133a0ca68f98', 'a845676f-2469-4fe4-bfaf-bdb23f9db3e3']",7,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:07.226,Pass,True
,,,,,,,,,,,,,,,,,,,1.074016,,,,,,,,,,,,a510d79e-6b0f-45a6-b184-adeb7e6cd476,215,,"[67.1, 80.0]",3879673,5,,,,,-0.77877575,,,,,,"[74.7, 72.5]",,Low Pass,,10.6775465,,,,Germán Gustavo Denis,49439.0,,,,Throw-in,1,From Throw In,Andrea Conti,8657.0,Right Back,15,Atalanta,228,['8a666a02-cc25-4ff7-adf8-c07f3c46a1ad'],19,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:19.051,Pass,
,,,,,,,,,,,,,,,,,,,0.998912,,,,,,,,,,,,da6f11d5-fd6d-463e-a5ae-66f44a8a97a6,218,,"[74.7, 72.5]",3879673,5,,,,,2.567926,,Right Foot,,,,"[68.2, 76.7]",,Ground Pass,,7.738863,,,,Andrea Conti,8657.0,,,,,1,From Throw In,Germán Gustavo Denis,49439.0,Center Forward,15,Atalanta,228,['8a545d29-ee89-4902-ade6-7cbaac262d90'],20,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:20.205,Pass,
,,,,,,,,,,,,,,,,,,,0.724679,,,,,,,,,,,,5fe994ee-70de-4492-a720-f4146c613a4c,221,,"[68.2, 76.7]",3879673,5,,,,,-2.4468544,,Right Foot,,,,"[65.2, 74.2]",,Ground Pass,,3.905125,,,,Marten de Roon,6994.0,,,,,1,From Throw In,Andrea Conti,8657.0,Right Back,15,Atalanta,228,['9211ed79-5a86-4229-bade-e1f1bf6a46ae'],22,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:22.462,Pass,
,,,,,,,,,,,,,,,,,,,0.719748,,,,,,,,,,,,7500460d-4ad5-42c3-a6e0-3d49ca72cfc7,224,,"[65.2, 74.2]",3879673,5,,,,,0.7853982,,Right Foot,,,,"[68.6, 77.6]",,Ground Pass,,4.8083262,,,,Germán Gustavo Denis,49439.0,,,,,1,From Throw In,Marten de Roon,6994.0,Center Defensive Midfield,15,Atalanta,228,['e82f8df5-718f-44c8-8a6a-b634303f1541'],23,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:23.988,Pass,
,,,,,,,,,,,,,,,,,,,0.962373,,,,,,,,,,,,e64867f3-86ae-4e2a-a404-33756658ace7,228,,"[68.5, 77.0]",3879673,5,,,,,-0.7504474,,Right Foot,,,,"[75.9, 70.1]",,Ground Pass,,10.117806,,,,Alberto Grassi,6952.0,,,,,1,From Throw In,Germán Gustavo Denis,49439.0,Center Forward,15,Atalanta,228,"['03be5a54-0e74-420e-a1e2-0163836e3f48', '527397aa-03a6-4d3d-b118-352f7b319d43']",25,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:25.044,Pass,True
,,,,,,,,,,,,,,,,,,,1.015384,,,,,,,,,,,,872e6e11-c2e5-44c4-8cd2-8de7df4d5026,231,,"[101.3, 66.9]",3879673,5,,,,,1.1122248,,Left Foot,,,,"[105.2, 74.8]",,Ground Pass,,8.810222,,,,Marco D''Alessandro,8184.0,,,,,1,From Throw In,Alberto Grassi,6952.0,Right Center Midfield,15,Atalanta,228,['72d884ad-5d1f-4ae6-9cfe-cb2c52d11028'],30,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:30.545,Pass,
,,,,,,,,,,,,,,,,,,,2.274071,,,,,,,,,,,,ddcbdbd9-0dc2-4751-9e3a-52dcc42ab984,234,,"[106.5, 72.8]",3879673,5,,,,,-1.6722432,,Right Foot,True,,,"[103.1, 39.4]",,High Pass,,33.57261,,,,Germán Gustavo Denis,49439.0,,,,,1,From Throw In,Marco D''Alessandro,8184.0,Right Wing,15,Atalanta,228,['2c3683b3-39e8-4f15-b3a4-ad141be8f15c'],33,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:33.471,Pass,
,,,,,,,,,,,,,,,,,,,0.383092,,,,,,,,,,,,e8e8fb23-fc0e-4323-a1de-eb2e4f6dd4d9,237,,"[104.5, 37.7]",3879673,5,,,,True,1.5163049,,,,,,"[104.8, 43.2]",,Low Pass,,5.508176,,Incomplete,,,,,,,,1,From Throw In,Germán Gustavo Denis,49439.0,Center Forward,15,Atalanta,228,"['42ac9bb9-fe54-459e-a971-0fbd1c831d45', 'b65b8036-ef1c-40ca-a36e-9ea635813500']",35,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:35.745,Pass,True
,,,,,,,,,,,,,,,,,,,1.172572,,,,,,,,,,,,33af77bd-57c5-4da3-a8f2-359ebaa6e88a,242,,"[100.4, 0.1]",3879673,5,,,,,2.4087775,,,,,,"[93.4, 6.4]",,Low Pass,,9.417537,,,,Boukary Dramé,11722.0,,,,Throw-in,1,From Throw In,Alejandro Darío Gómez,7006.0,Left Wing,16,Atalanta,228,['6ad41c60-0bc2-450c-bcc4-fe96b46827ab'],48,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:48.300,Pass,
,,,,,,,,,,,,,,,,,,,2.08724,,,,,,,,,,,,fda942bc-3263-4e80-bc57-9800c2784da3,245,,"[93.6, 6.0]",3879673,5,,,,,1.2193515,,Left Foot,True,,,"[107.9, 45.0]",,High Pass,,41.539017,,Incomplete,,Marco D''Alessandro,8184.0,,,,,1,From Throw In,Boukary Dramé,11722.0,Left Back,16,Atalanta,228,"['2e252926-ad90-49f9-9686-2f254f01000a', 'b3f23b09-a391-44d6-9f0b-72aed765c91d']",50,,,,,,,,,,,,,,,,,,Atalanta,228,00:05:50.422,Pass,
,,,,,,,,,,,,,,,,,,,0.83182,,,,,,,,,,,,3a93307f-132f-4829-8055-89a43ab5621f,255,,"[100.9, 80.0]",3879673,6,,,,,-1.2157248,,,,,,"[104.2, 71.1]",,Low Pass,,9.492102,,,,Marco D''Alessandro,8184.0,,,,Throw-in,1,From Throw In,Andrea Conti,8657.0,Right Back,17,Atalanta,228,['2fdda5fd-fa65-4475-a1ad-06254a8bb6da'],18,,,,,,,,,,,,,,,,,,Atalanta,228,00:06:18.325,Pass,
