50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e5ab25fb-dfb9-4ff1-aee8-b7cdc0efdd08,1,,,3879868,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 10031, 'name': 'Marcello Gazzola'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6963, 'name': 'Lorenzo Pellegrini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 7109, 'name': 'Matteo Politano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 92}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8977e27e-4309-434c-a02e-41b670a03af8,2,,,3879868,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26707, 'name': 'Juan Pablo Carrizo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 6984, 'name': ""Danilo D''Ambrosio""}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3434, 'name': 'Stevan Jovetić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,59b3b5de-2c6b-4fce-9139-de3fb27abf1e,3,,,3879868,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['c1f87bdc-37dc-474b-bf8b-532116003411'],0,,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c1f87bdc-37dc-474b-bf8b-532116003411,4,,,3879868,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['59b3b5de-2c6b-4fce-9139-de3fb27abf1e'],0,,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b178f16c-0f5d-4e2d-9c17-a480d38d1a34,1912,,,3879868,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Inter Milan,238,['128f5409-941c-4e7b-8c71-dfab134f3046'],0,,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,128f5409-941c-4e7b-8c71-dfab134f3046,1913,,,3879868,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Inter Milan,238,['b178f16c-0f5d-4e2d-9c17-a480d38d1a34'],0,,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.454126,,,,,,,,,,,,477b78eb-174e-4c36-b943-c94b3309c773,5,,"[61.0, 40.1]",3879868,0,,,,1.9513026,,Left Foot,,"[60.0, 42.6]",,Ground Pass,,2.6925824,,,,Lorenzo Pellegrini,6963.0,,,,,Kick Off,1,From Kick Off,Gregoire Defrel,7457.0,Center Forward,2,Sassuolo,232,['12c40d59-fc06-4172-a727-bc2c2a54ce2a'],1,,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:01.435,Pass,
,,,,,,,,,,,,,,,,,0.916262,,,,,,,,,,,,5f0d856b-7594-46ad-9a3b-b02e4f927ddc,8,,"[59.8, 42.8]",3879868,0,,,,-3.0598083,,Right Foot,,"[47.6, 41.8]",,Ground Pass,,12.240915,,,,Francesco Magnanelli,7127.0,,,,,,1,From Kick Off,Lorenzo Pellegrini,6963.0,Right Center Midfield,2,Sassuolo,232,['37076e47-c6ce-4c4e-a52c-4ba387e90c75'],2,,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:02.343,Pass,
,,,,,,,,,,,,,,,,,4.55051,,,,,,,,,,,,618b7570-fe88-48d5-a05e-456e1462c5c2,12,,"[49.0, 47.2]",3879868,0,,,,0.18517786,,Right Foot,,"[120.0, 60.5]",,High Pass,,72.23496,,Out,,Matteo Politano,7109.0,,,,,,1,From Kick Off,Francesco Magnanelli,7127.0,Center Defensive Midfield,2,Sassuolo,232,"['45c4cd09-0a30-447a-a266-a107775e00bd', '507e8d47-3a40-47cf-b9ce-d49802210184']",4,,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:04.410,Pass,True
,,,,,,,,,,,,,,,,,3.208836,,,,,,,,,,,,e432934e-4638-401f-a82a-28a5a411e4e6,14,,"[6.0, 36.0]",3879868,0,,,,-0.6245717,,Right Foot,,"[54.0, 1.4]",,High Pass,,59.1706,,,,Alex Nicolao Telles,11183.0,,,,,Goal Kick,1,From Goal Kick,Juan Pablo Carrizo,26707.0,Goalkeeper,3,Inter Milan,238,['7402be50-448d-4c21-8bc0-48c738ac0cd5'],23,,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:23.035,Pass,
