50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6dcb567e-115c-4943-bb26-bbf8a06b6ca0,1,,,3879677,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 5663, 'name': 'Jakub Błaszczykowski'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 28}, {'player': {'id': 6305, 'name': 'Milan Badelj'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7602e944-10f1-45c2-8241-ad7d806f6e49,2,,,3879677,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6991, 'name': 'Etrit Berisha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 26683, 'name': 'Abdoulay Konko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 9939, 'name': 'Maurício dos Santos Nascimento'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 7778, 'name': 'Ştefan Daniel Radu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 3145, 'name': 'Keita Baldé Diao'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 11427, 'name': 'Filip Đorđević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ee3cfcdf-b485-4145-b04b-818dcb1f4023,3,,,3879677,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['c7e3e118-5dfe-433c-87f7-b99d017a87be'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7e3e118-5dfe-433c-87f7-b99d017a87be,4,,,3879677,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['ee3cfcdf-b485-4145-b04b-818dcb1f4023'],0,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,36684a11-3cea-4d25-92e9-11d3d44853c3,1651,,,3879677,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,102,Fiorentina,239,['ac673ef6-d16f-4fe1-8e80-4bae4e43dc02'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ac673ef6-d16f-4fe1-8e80-4bae4e43dc02,1652,,,3879677,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,102,Fiorentina,239,['36684a11-3cea-4d25-92e9-11d3d44853c3'],0,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.384689,,,,,,,,,,,,,274e2096-20a4-4760-9be6-fb540837c3e8,5,,"[61.0, 40.1]",3879677,0,True,,,-2.4370985,,Right Foot,,,,"[59.0, 38.4]",,Ground Pass,,2.624881,,,,Borja Valero Iglesias,6997.0,,,,,Kick Off,1,From Kick Off,Nikola Kalinić,7033.0,Center Forward,2,Fiorentina,239,['d64d0572-ff81-4a7a-8040-0612914f4b3e'],0,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.143,Pass,
,,,,,,,,,,,,,,,,,,,,0.987436,,,,,,,,,,,,,d013abc8-d21d-4b22-9922-74ebe6929c90,7,,"[58.4, 38.1]",3879677,0,,,,-3.1096885,,Right Foot,,,,"[49.0, 37.8]",,Ground Pass,,9.404786,,,,Matías Vecino Falero,5255.0,,,,,,1,From Kick Off,Borja Valero Iglesias,6997.0,Left Attacking Midfield,2,Fiorentina,239,['b13eb638-7f44-4c98-9943-93bca1a1e585'],0,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.690,Pass,
,,,,,,,,,,,,,,,,,,,,1.199998,,,,,,,,,,,,,7253ddc6-4db9-42cc-b0c0-b223dbe8005f,10,,"[49.0, 37.8]",3879677,0,,,,-2.042574,,Right Foot,,,,"[41.5, 23.1]",,Ground Pass,,16.502728,,,,Davide Astori,8275.0,,,,,,1,From Kick Off,Matías Vecino Falero,5255.0,Left Defensive Midfield,2,Fiorentina,239,['cc4043d1-b70f-4809-ad8f-8beca9f4f17a'],2,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:02.098,Pass,
,,,,,,,,,,,,,,,,,,,,0.799999,,,,,,,,,,,,,18df9536-e1b2-49ac-ba31-f5ff3af6dcd9,14,,"[42.6, 18.5]",3879677,0,,,,-0.73855746,,Right Foot,,,,"[56.0, 6.3]",,Ground Pass,,18.12181,,,,Marcos Alonso Mendoza,3964.0,,,,,,1,From Kick Off,Davide Astori,8275.0,Left Center Back,2,Fiorentina,239,"['2c2e2969-097e-4ef9-a068-d1ce60ef55bc', '7552249c-059c-40f7-ae8a-b1ece19efbfe']",4,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:04.370,Pass,True
