50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2f697666-b47a-4ab7-af6d-e025dd93c4fa,1,,,3879795,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7705, 'name': 'Mohamed Salim Fares'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 93}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 6686, 'name': 'Giampaolo Pazzini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52782b02-5ae1-482c-a422-3bcf319455a0,2,,,3879795,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 45508, 'name': 'Emanuele Suagher'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75168610-fa88-4673-ac3f-dce3a06a7245,3,,,3879795,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['c0a2105e-28ab-4d37-aac4-2a87aa4e2d33'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c0a2105e-28ab-4d37-aac4-2a87aa4e2d33,4,,,3879795,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['75168610-fa88-4673-ac3f-dce3a06a7245'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c9bd1862-ae04-4504-b6ed-92a0217664bb,1664,,,3879795,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Carpi,1683,['23c96e63-9a34-482e-b9c8-74fecae7d837'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,23c96e63-9a34-482e-b9c8-74fecae7d837,1665,,,3879795,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Carpi,1683,['c9bd1862-ae04-4504-b6ed-92a0217664bb'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.218963,,,,,,,,,,,,,7fd9b702-1d34-402d-ad3d-a4d2066a0c1e,5,,"[60.0, 40.0]",3879795,0,,,,,-0.7853982,,Right Foot,,"[60.8, 39.2]",,Ground Pass,,1.1313709,,,Giampaolo Pazzini,6686.0,,,,,,Kick Off,1,From Kick Off,Luca Toni,20252.0,Left Center Forward,2,Hellas Verona,226,['0f9edf3c-3e03-4f94-8b18-1d2873d77b59'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.521,Pass,
,,,,,,,,,,,,,0.62114,,,,,,,,,,,,,980d00da-4120-4431-adec-e1831c608675,7,,"[59.6, 39.2]",3879795,0,,,,,-2.9733858,,Right Foot,,"[54.3, 38.3]",,Ground Pass,,5.375872,,,Artur Ioniţă,7949.0,,,,,,,1,From Kick Off,Giampaolo Pazzini,6686.0,Right Center Forward,2,Hellas Verona,226,['f6f0ed89-2d8f-406a-8e27-07677b456a0f'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.740,Pass,
,,,,,,,,,,,,,1.469595,,,,,,,,,,,,,08f2ca32-e2f6-482e-a4f4-a74a1601eb40,10,,"[54.3, 38.3]",3879795,0,,,,,2.077535,,Right Foot,,"[41.2, 61.9]",,Ground Pass,,26.992035,,,Eros Pisano,11342.0,,,,,,,1,From Kick Off,Artur Ioniţă,7949.0,Right Defensive Midfield,2,Hellas Verona,226,['2fa84ee1-cdcb-4ea9-851b-c2ae1a31a6e9'],2,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:02.375,Pass,
,,,,,,,,,,,,,2.978913,,,,,,,,,,,,,f79076bf-36af-4d25-90c1-727931df9d05,13,,"[44.1, 63.8]",3879795,0,,,,,-0.3951183,,Right Foot,,"[87.5, 45.7]",,High Pass,,47.02308,Incomplete,,Giampaolo Pazzini,6686.0,,,,,,,1,From Kick Off,Eros Pisano,11342.0,Right Back,2,Hellas Verona,226,"['62e2cdd1-0c88-4f00-9ccd-9e55cd67af3c', 'dd30ed20-46fe-406c-87d4-9c79fcdcc551']",5,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:05.446,Pass,
