50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.343467,,,,,,,,,,,,,ff7d5a57-4758-4806-8cc3-9d8069f72a15,17,,,"[42.9, 27.0]",3879597,0,,,,,-1.1716658,,Right Foot,,,,"[49.1, 12.3]",,Ground Pass,,15.953997,,,,Paul Pogba,20004.0,,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Left Center Back,2,Juventus,224,['9bc40247-f0e3-42b6-af7a-7fc120a9a469'],11,,,,,,,,,,,,,,,,,Juventus,224,00:00:11.399,Pass,
,,,,,,,,,,,,,,,,,,,,1.237124,,,,,,,,,,,,,9fceef71-1eba-486c-9100-3a8bfecea0ab,19,,,"[49.6, 12.3]",3879597,0,,,,,2.22212,,Right Foot,,,,"[40.3, 24.5]",,Ground Pass,,15.340469,,,,Leonardo Bonucci,7173.0,,,,,1,From Kick Off,Paul Pogba,20004.0,Left Center Midfield,2,Juventus,224,['41dfee52-88d6-4eb1-9726-7242bb2fb48b'],12,,,,,,,,,,,,,,,,,Juventus,224,00:00:12.742,Pass,
,,,,,,,,,,,,,,,,,,,,1.812418,,,,,,,,,,,,,b2b19207-a043-479c-b876-bdd7a00ede7e,22,,,"[41.3, 23.6]",3879597,0,,,,,-0.14806104,,Right Foot,,,,"[70.8, 19.2]",,Ground Pass,,29.82633,,,,Álvaro Borja Morata Martín,3477.0,,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Left Center Back,2,Juventus,224,['ca129a61-fcdd-4388-b2b7-996cc3809a28'],15,,,,,,,,,,,,,,,,,Juventus,224,00:00:15.113,Pass,
,,,,,,,,,,,,,,,,,,,,0.961226,,,,,,,,,,,,,d15aa6b3-67de-4cf5-8f09-909f6a8064f3,33,,,"[54.4, 67.9]",3879597,0,,,,,-3.028741,,Right Foot,,,,"[39.4, 66.2]",,Ground Pass,,15.096026,,,,Cesare Bovo,40427.0,,,,Free Kick,1,From Free Kick,Bruno da Silva Peres,6965.0,Right Wing Back,4,Torino,241,['0f07fb94-ff1d-4c67-8db3-588ce4360b7d'],43,,,,,,,,,,,,,,,,,Torino,241,00:00:43.924,Pass,
,,,,,,,,,,,,,,,,,,,,3.124765,,,,,,,,,,,,,5085f5aa-d13f-4095-8fe7-9a5671c69d44,36,,,"[37.2, 65.5]",3879597,0,,,,,-2.0871334,,Right Foot,,,,"[26.3, 46.3]",,Ground Pass,,22.07827,,,,Kamil Glik,3034.0,,,,,1,From Free Kick,Cesare Bovo,40427.0,Right Center Back,4,Torino,241,['560759e6-c1b4-45f9-9e21-7fb494b8e025'],45,,,,,,,,,,,,,,,,,Torino,241,00:00:45.397,Pass,
,,,,,,,,,,,,,,,,,,,,1.62896,,,,,,,,,,,,,f2e26439-7dae-47b2-a104-889e20eaa67e,39,,,"[34.8, 39.6]",3879597,0,,,,,-1.8079166,,Right Foot,,,,"[29.0, 15.6]",,Ground Pass,,24.69089,,,,Emiliano Moretti,7476.0,,,,,1,From Free Kick,Kamil Glik,3034.0,Center Back,4,Torino,241,['ab5b4c69-461c-4351-99d3-f71655bf813d'],50,,,,,,,,,,,,,,,,,Torino,241,00:00:50.883,Pass,
,,,,,,,,,,,,,,,,,,,,2.237493,,,,,,,,,,,,,34004a5f-eb8e-4f36-8179-36a85f7444e9,42,,,"[29.2, 14.2]",3879597,0,,,,,1.8637688,,Left Foot,,,,"[21.9, 38.4]",,Ground Pass,,25.277065,,,,Kamil Glik,3034.0,,,,,1,From Free Kick,Emiliano Moretti,7476.0,Left Center Back,4,Torino,241,['9d6d54a3-c72e-479c-90b5-cfae1f687a15'],52,,,,,,,,,,,,,,,,,Torino,241,00:00:52.964,Pass,
,,,,,,,,,,,,,,,,,,,,1.807028,,,,,,,,,,,,,9a743245-a3b6-4918-8715-6be4f0ef5687,49,,,"[26.6, 38.1]",3879597,0,,,,,1.7307094,,Left Foot,,,,"[24.1, 53.6]",,Ground Pass,,15.700318,,,,Cesare Bovo,40427.0,,,,,1,From Free Kick,Kamil Glik,3034.0,Center Back,4,Torino,241,['114ba300-9d23-42b0-b7e3-1844c427de5c'],56,,,,,,,,,,,,,,,,,Torino,241,00:00:56.629,Pass,
,,,,,,,,,,,,,,,,,,,,1.452857,,,,,,,,,,,,,90611f27-7d33-4c82-8b9d-ecfc655e7a48,52,,,"[37.9, 66.2]",3879597,1,,,,,0.50569403,,Right Foot,,,,"[50.0, 72.9]",,Ground Pass,,13.831124,,,,Bruno da Silva Peres,6965.0,,,,,1,From Free Kick,Cesare Bovo,40427.0,Right Center Back,4,Torino,241,['971886c7-de23-491e-aecc-5096217796bb'],0,,,,,,,,,,,,,,,,,Torino,241,00:01:00.762,Pass,
,,,,,,,,,,,,,,,,,,,,3.959083,,,,,,,,,,,,,08e2c24c-2cd1-4b61-b193-48a505cf526b,55,,,"[51.0, 71.4]",3879597,1,,,,,-2.137013,,Right Foot,,,,"[18.9, 20.9]",,Low Pass,,59.838615,,,,Kamil Glik,3034.0,,True,,,1,From Free Kick,Bruno da Silva Peres,6965.0,Right Wing Back,4,Torino,241,['0b463de2-8823-4b3a-8ff6-e660761d7230'],4,,,,,,,,,,,,,,,,,Torino,241,00:01:04.107,Pass,
