50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.565025,,,,,,,,,,,,,210767ff-060b-41b3-950b-5ee2ffeff92e,22,,"[37.8, 62.2]",3879807,0,,,,,0.27136275,,Right Foot,,,"[62.6, 69.1]",,High Pass,,25.74199,,Incomplete,,Riccardo Meggiorini,11643.0,,,,,1,Regular Play,Alessandro Gamberini,7052.0,Right Center Back,3,Chievo,231,"['41c92ff2-3af6-4355-9bd2-7b4961aab0da', '5c9dad10-f7c5-4233-8d3a-7e320e7728f7', 'c829d792-031d-4c1d-a0ca-e409a9538ef0']",8,,,,,,,,,,,,,,,,,Chievo,231,00:00:08.797,Pass,True
,,,,,,,,,,,,,,,,,1.88784,,,,,,,,,,,,,2b6435f7-d895-464a-9d43-5a1a6b6aea29,29,,"[56.1, 64.5]",3879807,0,,,,,-2.1446822,,Right Foot,,,"[49.7, 54.6]",,Ground Pass,,11.788554,,,,Ivan Radovanović,7042.0,,,,,1,Regular Play,Lucas Nahuel Castro,7049.0,Right Center Midfield,3,Chievo,231,"['336b07af-4329-490d-82e1-7afc788f0776', '448f602d-2701-4c20-916c-f19e280f77d7']",12,,,,,,,,,,,,,,,,,Chievo,231,00:00:12.049,Pass,True
,,,,,,,,,,,,,,,,,2.474898,,,,,,,,,,,,,efdce698-18e7-474f-9ad7-68c9db5605a0,32,,"[58.9, 47.3]",3879807,0,,,,,-1.8027645,,Right Foot,,,"[49.9, 9.2]",,Ground Pass,,39.148563,,,,Massimo Gobbi,8645.0,,,,,1,Regular Play,Ivan Radovanović,7042.0,Center Defensive Midfield,3,Chievo,231,['cd5b8134-1ec3-4ef8-98b4-b2d011bd5a6c'],15,,,,,,,,,,,,,,,,,Chievo,231,00:00:15.140,Pass,
,,,,,,,,,,,,,,,,,1.793582,,,,,,,,,,,,,0d15ac15-cd20-498d-8cb8-e5f155f31357,35,,"[49.9, 9.2]",3879807,0,,,,,2.6028652,,Left Foot,,,"[41.2, 14.4]",,Ground Pass,,10.135581,,,,Boštjan Cesar,8877.0,,,,,1,Regular Play,Massimo Gobbi,8645.0,Left Back,3,Chievo,231,['81ba4d4a-c502-48a9-99dc-1126f63e87a2'],17,,,,,,,,,,,,,,,,,Chievo,231,00:00:17.832,Pass,
,,,,,,,,,,,,,,,,,0.876912,,,,,,,,,,,,,a69cb4a3-f5ed-45b6-9f69-b3e5ebeb5501,38,,"[53.7, 13.7]",3879807,0,,,,,1.1801893,,Left Foot,,,"[57.2, 22.2]",,Ground Pass,,9.192389,,,,Ivan Radovanović,7042.0,,,,,1,Regular Play,Boštjan Cesar,8877.0,Left Center Back,3,Chievo,231,['5ff62b15-7d39-44d9-b6cb-e1fc6b39c6c0'],22,,,,,,,,,,,,,,,,,Chievo,231,00:00:22.390,Pass,
,,,,,,,,,,,,,,,,,2.420323,,,,,,,,,,,,,f848fa56-813e-4aec-afb1-9794d02a58ed,41,,"[63.2, 29.3]",3879807,0,,,,,-0.030223353,09c97d7f-8ce0-48ed-b8c9-f9c49d2dca69,Right Foot,,,"[106.2, 28.0]",,High Pass,,43.019646,,,,Riccardo Meggiorini,11643.0,True,,,,1,Regular Play,Ivan Radovanović,7042.0,Center Defensive Midfield,3,Chievo,231,['609ddc88-c947-46d7-b20f-29e308c3047f'],24,,,,,,,,,,,,,,,,,Chievo,231,00:00:24.934,Pass,
,,,,,,,,,,,,,,,,,4.401672,,,,,,,,,,,,,8eaba65d-ab46-4dba-b83f-862abb7b6bc9,45,,"[7.0, 44.1]",3879807,0,,True,,,0.20792842,,Right Foot,,,"[65.3, 56.4]",,High Pass,,59.583385,,Incomplete,,,,,,,Goal Kick,1,From Goal Kick,Vid Belec,8662.0,Goalkeeper,4,Carpi,1683,['5c223b85-5e3f-4a7c-892a-9f16da15ea1d'],43,,,,,,,,,,,,,,,,,Carpi,1683,00:00:43.048,Pass,
,,,,,,,,,,,,,,,,,1.27435,,,,,,,,,,,,,91693f0e-fc46-489a-901a-15c76c9beb87,47,,"[55.1, 22.0]",3879807,0,,,,True,-1.9513026,,,,,"[51.1, 12.0]",,High Pass,,10.770329,,Incomplete,,Ivan Radovanović,7042.0,,,,,1,From Goal Kick,Lucas Nahuel Castro,7049.0,Right Center Midfield,4,Carpi,1683,"['2771aec7-3f93-4429-a322-6997e598420b', '3bdf0e03-9a48-4342-8f68-13428536b87d', '754addf3-7eef-4603-975b-ef7ed17c5b5d']",48,,,,,,,,,,,,,,,,,Chievo,231,00:00:48.522,Pass,True
,,,,,,,,,,,,,,,,,1.364865,,,,,,,,,,,,,3efb2520-fc3f-4e6e-86a9-525807a47d7f,54,,"[72.1, 75.4]",3879807,0,,,,,2.6197584,,Left Foot,,,"[64.1, 80.0]",,Ground Pass,,9.228217,,Out,,Lorenzo Pasciuti,387472.0,,,,,1,From Goal Kick,Lorenzo Lollo,30829.0,Center Attacking Midfield,4,Carpi,1683,['25f500c1-696f-4285-bae9-8c6e124925d6'],51,,,,,,,,,,,,,,,,,Carpi,1683,00:00:51.105,Pass,
,,,,,,,,,,,,,,,,,1.345249,,,,,,,,,,,,,97fda865-9b9a-47c9-a04d-7a5663c8b0d2,56,,"[60.1, 0.1]",3879807,0,,,,,0.5178398,,,,,"[76.6, 9.5]",,High Pass,,18.989735,,,,Riccardo Meggiorini,11643.0,,,,Throw-in,1,From Throw In,Massimo Gobbi,8645.0,Left Back,5,Chievo,231,['1887f3d2-ad94-4366-93ea-db51d5bdc77c'],59,,,,,,,,,,,,,,,,,Chievo,231,00:00:59.587,Pass,
