50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,115e6c53-0aa7-4e30-9145-7284609d0f1e,1,,,,3879552,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7704, 'name': 'Alex Ferrari'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 8873, 'name': 'Marios Oikonomou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 11729, 'name': 'Luca Rizzo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 7175, 'name': 'Erick Antonio Pulgar Farfán'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8103, 'name': 'Mattia Destro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e0681953-9d98-450a-9975-894a3fb408fa,2,,,,3879552,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 89}, {'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8191, 'name': 'Ali Adnan Kadhim Al Tameemi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 53}, {'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 27044, 'name': 'Marco Antônio De Mattos Filho'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 77}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b31197fe-fd91-41c2-a97e-e0c77ed437ea,3,,,,3879552,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Bologna,240,['3a9fd79e-0c28-4cb3-ada8-6f3404103e99'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3a9fd79e-0c28-4cb3-ada8-6f3404103e99,4,,,,3879552,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Bologna,240,['b31197fe-fd91-41c2-a97e-e0c77ed437ea'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,316f0986-ae80-4966-92d8-a7a9b4d60248,1932,,,,3879552,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,,112,Udinese,230,['2d8e0a0d-4adc-400e-a914-079b9f3c71a3'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2d8e0a0d-4adc-400e-a914-079b9f3c71a3,1933,,,,3879552,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,,112,Udinese,230,['316f0986-ae80-4966-92d8-a7a9b4d60248'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.47263,,,,,,,,,,,,cb48ea9f-12c2-4894-811f-8e64c6e92eda,5,,,"[60.0, 40.0]",3879552,0,True,,,-2.7492526,,Left Foot,,,"[48.4, 35.2]",,Ground Pass,,12.553884,,,,Marco Antônio De Mattos Filho,27044.0,,,,,Kick Off,1,From Kick Off,Cyril Théréau,8272.0,,Left Center Forward,2,Udinese,230,['b181941f-b6f4-40f8-9e68-2bbd0e465ab2'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.267,Pass,
,,,,,,,,,,,,,,,,1.276471,,,,,,,,,,,,096702e6-1fdb-42fd-b974-d3a28e18b490,7,,,"[47.6, 35.2]",3879552,0,,,,2.7934165,,Left Foot,,,"[34.1, 40.1]",,Ground Pass,,14.361754,,,,Molla Wagué,3577.0,,,,,,1,From Kick Off,Marco Antônio De Mattos Filho,27044.0,,Center Attacking Midfield,2,Udinese,230,['43d9074f-04b6-4db7-a059-4b81ce6eb796'],2,,,,,,,,,,,,,,,,,,Udinese,230,00:00:02.061,Pass,
,,,,,,,,,,,,,,,,1.704448,,,,,,,,,,,,131c83be-c49c-4d88-b955-b6f55e6098d5,10,,,"[36.6, 46.6]",3879552,0,,,,-1.786154,,Right Foot,,,"[33.1, 30.6]",,Ground Pass,,16.37834,,,,Danilo Larangeira,7799.0,,,,,,1,From Kick Off,Molla Wagué,3577.0,,Right Center Back,2,Udinese,230,['592a95bb-f1dc-4206-a523-6cd4b23df3b8'],4,,,,,,,,,,,,,,,,,,Udinese,230,00:00:04.231,Pass,
,,,,,,,,,,,,,,,,2.390902,,,,,,,,,,,,ae067170-ef76-448d-b6f2-f1ab02846d5e,13,,,"[33.1, 30.6]",3879552,0,,,,1.3311899,,Right Foot,,,"[40.6, 61.3]",,Ground Pass,,31.602848,,,,Iván Rodrigo Piris Leguizamón,46670.0,,,,,,1,From Kick Off,Danilo Larangeira,7799.0,,Left Center Back,2,Udinese,230,['d5876871-b1fc-4f96-acf4-93335e6dacc7'],6,,,,,,,,,,,,,,,,,,Udinese,230,00:00:06.797,Pass,
