50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.746855,,,,,,,,,,,,,d6cc00af-6213-44f4-ac7c-79bbb259199b,18,,,"[89.9, 7.4]",3878610,0,,,,,0.45198634,,Left Foot,,,,"[103.7, 14.1]",,Ground Pass,,15.340469,,,Incomplete,,Juan Ignacio Gómez Taleb,386651.0,,,,,,1,From Kick Off,Samuel Souprayen,7695.0,Left Back,2,Hellas Verona,226,"['39223f13-90e4-496c-9b21-719ce95cc506', '58981b8a-07cd-4c55-8b67-c10e4f1bb9d5', 'adc91b49-caca-4955-b938-5e3a990611d7']",14,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:14.661,Pass,True
,,,,,,,,,,,,,,,,,1.284113,,,,,,,,,,,,,b692a269-32cd-4758-93a3-4d4d255b1ae4,21,,,"[69.8, 7.8]",3878610,0,,,,,-0.34215587,,Left Foot,,,,"[77.1, 5.2]",,Ground Pass,,7.7491937,,,,,Samuel Souprayen,7695.0,,,,,Recovery,1,From Kick Off,Leandro Greco,32119.0,Left Center Midfield,2,Hellas Verona,226,['94a7c3f1-0ca2-4d28-82d8-fd88ca879dfa'],19,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:19.697,Pass,
,,,,,,,,,,,,,,,,,1.518166,,,,,,,,,,,,,62c0f0ed-83cc-467e-8f08-4465b5483ea9,27,,,"[69.8, 2.8]",3878610,0,,,,,2.620683,,Right Foot,,,,"[45.4, 16.8]",,Ground Pass,,28.13112,,,,,Vangelis Moras,31488.0,,,,,Recovery,1,From Kick Off,Samuel Souprayen,7695.0,Left Back,2,Hellas Verona,226,['078a7296-e4e8-47af-ae54-f8757efa91e0'],23,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:23.186,Pass,
,,,,,,,,,,,,,,,,,1.234821,,,,,,,,,,,,,6a1e497e-9ced-428d-b70f-5121fa8561f9,30,,,"[48.2, 18.7]",3878610,0,,,,,0.9587809,,Right Foot,,,,"[55.5, 29.1]",,Ground Pass,,12.706298,,,,,Federico Viviani,7770.0,,,,,,1,From Kick Off,Vangelis Moras,31488.0,Left Center Back,2,Hellas Verona,226,['541ddcf7-c2cf-40df-ac5d-47ca639972aa'],26,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:26.038,Pass,
,,,,,,,,,,,,,,,,,1.388254,,,,,,,,,,,,,3b086731-2627-4717-aca1-b13aad2711e7,33,,,"[58.2, 43.4]",3878610,0,,,,,0.6126229,,Right Foot,,,,"[79.4, 58.3]",,Ground Pass,,25.912352,,,,,Jacopo Sala,7020.0,,,,,,1,From Kick Off,Federico Viviani,7770.0,Center Defensive Midfield,2,Hellas Verona,226,['d5cc056a-ecd4-4206-b886-00c897049464'],30,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:30.334,Pass,
,,,,,,,,,,,,,,,,,1.823462,,,,,,,,,,,,,c46d9ac8-20ff-47ae-b5ac-a95422b2c44d,36,,,"[79.4, 58.0]",3878610,0,,,,,2.0344439,,Right Foot,,,,"[70.3, 76.2]",,Ground Pass,,20.348219,,,,,Eros Pisano,11342.0,,,,,,1,From Kick Off,Jacopo Sala,7020.0,Right Center Midfield,2,Hellas Verona,226,['96b9560e-17f3-4c4b-bd03-2e7d0a382d4d'],33,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:33.040,Pass,
,,,,,,,,,,,,,,,,,1.400679,,,,,,,,,,,,,4b25f11b-398b-4a8a-962e-f30c139a713a,39,,,"[70.3, 71.4]",3878610,0,,,,,-2.27228,,Right Foot,,,,"[65.4, 65.6]",,Ground Pass,,7.5927596,,,,,Federico Viviani,7770.0,,,,,,1,From Kick Off,Eros Pisano,11342.0,Right Back,2,Hellas Verona,226,['658ecb65-e804-41d4-9ec9-3308099907fc'],35,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:35.434,Pass,
,,,,,,,,,,,,,,,,,1.303286,,,,,,,,,,,,,a54f6d4e-e2df-4e04-8d96-65f2a8b726c5,42,,,"[64.2, 64.5]",3878610,0,,,,,0.61401904,,Right Foot,,,,"[82.5, 77.4]",,Low Pass,,22.38973,,,,,Jacopo Sala,7020.0,,,,,,1,From Kick Off,Federico Viviani,7770.0,Center Defensive Midfield,2,Hellas Verona,226,['efea5adc-5545-49e9-a6c3-225e5e6ec32d'],38,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:38.244,Pass,
,,,,,,,,,,,,,,,,,1.443602,,,,,,,,,,,,,1e82d9aa-0491-4aea-aaef-b2026003e0bc,48,,,"[41.7, 8.7]",3878610,0,,,,,-0.15002696,,Right Foot,,,,"[58.9, 6.1]",,Ground Pass,,17.395401,,,Incomplete,,Alejandro Darío Gómez,7006.0,,,,,,1,From Kick Off,Jasmin Kurtič,6941.0,Left Center Midfield,2,Hellas Verona,226,"['b7b68ce5-bd6a-429e-95cd-300435caac75', 'bdf36411-1542-4f0d-89cc-61e7b90e9762']",41,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:41.358,Pass,
,,,,,,,,,,,,,,,,,0.547638,,,,,,,,,,,,,bdf36411-1542-4f0d-89cc-61e7b90e9762,50,,,"[61.2, 74.0]",3878610,0,,,,,0.16514868,,Right Foot,,,,"[65.4, 74.7]",,Ground Pass,,4.2579336,,,,,Jacopo Sala,7020.0,,,,,Recovery,1,From Kick Off,Federico Viviani,7770.0,Center Defensive Midfield,2,Hellas Verona,226,"['1e82d9aa-0491-4aea-aaef-b2026003e0bc', '4f05e70c-6ef2-41b4-bd17-29f5abe9696f']",42,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:42.801,Pass,
