50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8c9ab303-a919-4806-a636-b0ab2b1d3d00,1,,,3879670,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5248, 'name': 'José Martín Cáceres Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0e9af2f5-9c30-4631-985c-bef21aae138f,2,,,3879670,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7695, 'name': 'Samuel Souprayen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 69}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 5512, 'name': 'Emil Hallfreðsson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 6686, 'name': 'Giampaolo Pazzini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dbdd18ab-26ca-4c62-836d-d20e2c3303bf,3,,,3879670,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['1971be62-3ec5-40f7-85c5-e05c736cc82e'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1971be62-3ec5-40f7-85c5-e05c736cc82e,4,,,3879670,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['dbdd18ab-26ca-4c62-836d-d20e2c3303bf'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0c0df5cd-3795-4c5e-8073-091cfb5a605f,1812,,,3879670,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Hellas Verona,226,['5fd04f91-b310-4b81-bb61-29956effa0c9'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5fd04f91-b310-4b81-bb61-29956effa0c9,1813,,,3879670,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Hellas Verona,226,['0c0df5cd-3795-4c5e-8073-091cfb5a605f'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.719166,,,,,,,,,,,,,ce6fe154-fcf1-4d87-82af-5453143053e4,5,,"[61.0, 40.1]",3879670,0,True,,,-3.0849159,,Right Foot,,,"[46.9, 39.3]",,Ground Pass,,14.122677,,,,Claudio Marchisio,8294.0,,,,,Kick Off,1,From Kick Off,Álvaro Borja Morata Martín,3477.0,Left Center Forward,2,Juventus,224,['2b221cfb-2577-4fce-bff4-22bffbccd1f8'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.879,Pass,
,,,,,,,,,,,,,,,,1.367349,,,,,,,,,,,,,9821c850-4632-4943-864d-2897b52195a0,7,,"[47.3, 38.7]",3879670,0,,,,-1.906574,,Right Foot,,,"[42.1, 23.8]",,Ground Pass,,15.781318,,,,Giorgio Chiellini,6954.0,,,,,,1,From Kick Off,Claudio Marchisio,8294.0,Center Defensive Midfield,2,Juventus,224,['19d63de3-b972-497c-a1c0-195a847b80d2'],1,,,,,,,,,,,,,,,,,Juventus,224,00:00:01.660,Pass,
,,,,,,,,,,,,,,,,3.334018,,,,,,,,,,,,,5fc3efb2-32c3-4e89-bff3-987f878aac0e,10,,"[42.1, 23.8]",3879670,0,,,,1.4451276,,Left Foot,,,"[49.2, 80.0]",,High Pass,,56.646713,,Out,,José Martín Cáceres Silva,5248.0,,True,,,,1,From Kick Off,Giorgio Chiellini,6954.0,Left Center Back,2,Juventus,224,['0b1c5f44-3f62-4ba6-b112-4f88a0f6fe7b'],3,,,,,,,,,,,,,,,,,Juventus,224,00:00:03.827,Pass,
,,,,,,,,,,,,,,,,0.891783,,,,,,,,,,,,,e5331b93-1095-4a02-9341-47267d32c550,12,,"[70.8, 0.1]",3879670,0,,,,1.8757887,,,,,"[69.1, 5.5]",,Low Pass,,5.661272,,,,Leandro Greco,32119.0,,,,,Throw-in,1,From Throw In,Samuel Souprayen,7695.0,Left Back,3,Hellas Verona,226,['8de6bbe2-1310-448d-8af1-ee575aa1b355'],14,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:14.172,Pass,
