50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,50226efa-fa1f-425a-a2dd-599a48909a6e,1,,,3878542,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 25303, 'name': 'Gilberto Moraes Junior'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 28}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6305, 'name': 'Milan Badelj'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 7139, 'name': 'Josip Iličić'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 72}, {'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,11092862-5655-4a04-8589-345355d67abc,2,,,3878542,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 20057, 'name': 'Nigel de Jong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 91}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 70}, {'player': {'id': 21272, 'name': 'Luiz Adriano de Souza da Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1751f390-bd79-480d-83b0-da5f1fdbfd18,3,,,3878542,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['bf0814d2-bb97-4949-94e6-f54109ecd314'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bf0814d2-bb97-4949-94e6-f54109ecd314,4,,,3878542,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['1751f390-bd79-480d-83b0-da5f1fdbfd18'],0,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7589c483-a4a2-4d84-8257-e92b9555a219,1539,,,3878542,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,88,Fiorentina,239,['ffc649a5-3da6-4424-b42f-144ec3517eb2'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ffc649a5-3da6-4424-b42f-144ec3517eb2,1540,,,3878542,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,88,Fiorentina,239,['7589c483-a4a2-4d84-8257-e92b9555a219'],0,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.41014,,,,,,,,,,,,,1773fa44-5e5c-461d-8499-a7710d1d956b,5,,"[60.0, 40.0]",3878542,0,,,,-2.077895,,Right Foot,,,,"[57.5, 35.5]",Ground Pass,,5.147815,,,,,Federico Bernardeschi,7777.0,,,,,Kick Off,1,From Kick Off,Nikola Kalinić,7033.0,Center Forward,2,Fiorentina,239,['c7eee1d3-abe6-49e6-b18d-fc1b54dcde01'],0,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.804,Pass,
,,,,,,,,,,,,,,,,,1.582359,,,,,,,,,,,,,474c9c4a-c367-4cd2-a1d5-b26e1b8eb6ae,8,,"[58.9, 43.8]",3878542,0,,,,1.9390819,,Left Foot,,,,"[49.6, 67.9]",Ground Pass,,25.832151,,,,,Gilberto Moraes Junior,25303.0,,,,,,1,From Kick Off,Federico Bernardeschi,7777.0,Left Attacking Midfield,2,Fiorentina,239,['b8867627-d5c6-479e-acb6-916effbe6ca9'],2,,,,,,,,,,,,,,,,Fiorentina,239,00:00:02.731,Pass,
,,,,,,,,,,,,,,,,,2.590695,,,,,,,,,,,,,0c1999b8-9f8b-4f4a-bcee-fa1f241df661,12,,"[48.2, 68.4]",3878542,0,,,,-2.3142438,,Right Foot,,,,"[28.8, 47.3]",Ground Pass,,28.663042,,,,,Gonzalo Javier Rodríguez,25931.0,,,,,,1,From Kick Off,Gilberto Moraes Junior,25303.0,Right Wing Back,2,Fiorentina,239,"['0680aa9b-0002-44ea-a124-22446fa4f483', 'd8dc3a9e-3ae6-45f5-833c-924ea203bbe3']",6,,,,,,,,,,,,,,,,Fiorentina,239,00:00:06.426,Pass,True
,,,,,,,,,,,,,,,,,2.318138,,,,,,,,,,,,,d700c915-8499-4f92-ba99-95305a10c46c,15,,"[30.2, 47.0]",3878542,0,,,,-1.2355438,,Right Foot,,,,"[43.3, 9.4]",High Pass,,39.816704,,,,,Marcos Alonso Mendoza,3964.0,,,,,,1,From Kick Off,Gonzalo Javier Rodríguez,25931.0,Center Back,2,Fiorentina,239,['ffbbe917-c9e9-4cfa-883a-791a5b82b1cc'],9,,,,,,,,,,,,,,,,Fiorentina,239,00:00:09.799,Pass,
