50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.533434,,,,,,,,,,,,4c8fa7ef-b352-446c-bd5e-567c3053ce70,599,,"[39.6, 34.8]",3879705,14,,,,,-2.0718098,,Right Foot,,,,"[32.7, 22.2]",,Ground Pass,,14.365583,,,Archimede Morleo,40428.0,,,,,,,1,Regular Play,Amadou Diawara,8284.0,Center Defensive Midfield,36,Bologna,240,['5ad3e612-91c1-47df-a2b9-9c4767e44606'],45,,,,,,,,,,,,,,,,,,Bologna,240,00:14:45.027,Pass,
,,,,,,,,,,,,,,,,,4.029797,,,,,,,,,,,,5c01aab6-332a-4106-ab21-62d97ac78304,602,,"[33.7, 19.9]",3879705,14,,,,,-0.26911327,34870119-b0e5-493c-8b02-07c6e4267578,Left Foot,,,,"[92.8, 3.6]",,Low Pass,,61.306606,,,Mattia Destro,8103.0,True,,,,,,1,Regular Play,Archimede Morleo,40428.0,Left Back,36,Bologna,240,['f69cc5fe-fe2e-4ff9-afb3-b811ecdf78d6'],47,,,,,,,,,,,,,,,,,,Bologna,240,00:14:47.685,Pass,
,,,,,,,,,,,,,,,,,2.106816,,,,,,,,,,,,b06c095c-8164-475c-b2a9-e6f295d385b8,612,,"[120.0, 80.0]",3879705,15,,,,,-2.0630922,,Right Foot,,,,"[98.6, 40.1]",,High Pass,,45.276596,Incomplete,,Anthony Mounier,34565.0,,True,,Straight,,Corner,1,From Corner,Saphir Sliti Taïder,8851.0,Left Center Midfield,37,Bologna,240,"['7776f0ee-7517-4e52-a77a-bc82d522af64', 'cfd15da3-7a74-48f4-b17e-abb37ee274bf']",34,,,,,,,,,,,,,,,,,,Bologna,240,00:15:34.292,Pass,
,,,,,,,,,,,,,,,,,2.245454,,,,,,,,,,,,7776f0ee-7517-4e52-a77a-bc82d522af64,614,,"[21.5, 40.0]",3879705,15,,,,,-1.1881891,,Head,,,,"[31.4, 15.4]",,High Pass,,26.517353,,,Nicola Sansone,6859.0,,,,,,Recovery,1,Regular Play,Domenico Berardi,7131.0,Right Wing,38,Sassuolo,232,"['b06c095c-8164-475c-b2a9-e6f295d385b8', 'b124b19c-93e9-42f9-9043-0c7c8d978398']",36,,,,,,,,,,,,,,,,,,Sassuolo,232,00:15:36.399,Pass,
,,,,,,,,,,,,,,,,,2.141687,,,,,,,,,,,,ce13e691-62d7-4573-b09c-834d6829c1f5,621,,"[48.6, 22.8]",3879705,15,,,,,0.81366825,,Right Foot,,,,"[67.5, 42.8]",,Ground Pass,,27.517448,Incomplete,,Karim Laribi,30941.0,,,,,,,1,Regular Play,Nicola Sansone,6859.0,Left Wing,38,Sassuolo,232,"['551fb607-93e5-4257-bb9f-7cae5b398a6f', '7cc68013-3f8c-4e2d-ba19-b2e878d8b727']",41,,,,,,,,,,,,,,,,,,Sassuolo,232,00:15:41.016,Pass,
,,,,,,,,,,,,,,,,,2.442372,,,,,,,,,,,,a009d05e-5899-4d62-abc0-aa82cec4b444,629,,"[53.4, 21.7]",3879705,16,,True,,,0.68264383,,Right Foot,,,,"[76.4, 40.4]",,Low Pass,,29.642706,,,Emanuele Giaccherini,7775.0,,,,,,Free Kick,1,From Free Kick,Daniele Gastaldello,30745.0,Left Center Back,40,Bologna,240,['f0f9b0de-11e4-4c3b-b691-9988e55e0870'],2,,,,,,,,,,,,,,,,,,Bologna,240,00:16:02.264,Pass,
,,,,,,,,,,,,,,,,,0.574892,,,,,,,,,,,,b4ca06ff-5b90-4752-9276-ac57ee42b0b5,631,,"[75.6, 39.6]",3879705,16,,True,,,2.4076953,,Right Foot,,,,"[70.5, 44.2]",,Ground Pass,,6.868042,,,Godfred Donsah,8280.0,,,,,,,1,From Free Kick,Emanuele Giaccherini,7775.0,Left Wing,40,Bologna,240,['544e062c-21d9-4469-96e2-6ed288a66fb0'],5,,,,,,,,,,,,,,,,,,Bologna,240,00:16:05.322,Pass,
,,,,,,,,,,,,,,,,,0.829521,,,,,,,,,,,,9fb35732-ea40-45b8-aa8f-71316a4b3394,633,,"[77.9, 43.7]",3879705,16,,,,,-0.20922156,,Right Foot,,,,"[92.5, 40.6]",,Ground Pass,,14.925482,,,Anthony Mounier,34565.0,,,,,,,1,From Free Kick,Godfred Donsah,8280.0,Right Center Midfield,40,Bologna,240,['b938bb03-0d54-4776-888d-42413799ab8c'],8,,,,,,,,,,,,,,,,,,Bologna,240,00:16:08.250,Pass,
,,,,,,,,,,,,,,,,,0.736288,,,,,,,,,,,,6a26b57f-aed7-47d5-a433-3e7e00da3e09,635,,"[92.5, 40.6]",3879705,16,,,,,1.0974402,,Right Foot,,,,"[100.9, 57.0]",,Ground Pass,,18.42607,Incomplete,,Luca Rossettini,7142.0,,,,,,,1,From Free Kick,Anthony Mounier,34565.0,Right Wing,40,Bologna,240,"['938b456d-c09f-4d84-b104-44d2cade7071', 'ee506943-d5e4-4775-b22e-a4f2f6760c47']",9,,,,,,,,,,,,,,,,,,Bologna,240,00:16:09.080,Pass,
,,,,,,,,,,,,,,,,,2.40815,,,,,,,,,,,,efa241b8-46d2-45ca-ae78-88a9d50affc3,644,,"[8.7, 30.0]",3879705,16,,,,,-1.361411,,Keeper Arm,,,,"[13.8, 6.0]",,Ground Pass,,24.535892,,,Francesco Acerbi,7119.0,,,,,,,1,Regular Play,Andrea Consigli,7132.0,Goalkeeper,41,Sassuolo,232,['8d428ec0-037c-4203-aaeb-f300e3e397f1'],15,,,,,,,,,,,,,,,,,,Sassuolo,232,00:16:15.939,Pass,
,,,,,,,,,,,,,,,,,1.535905,,,,,,,,,,,,cc1a5d33-0638-4133-8ca9-feb826cd5582,648,,"[13.3, 7.0]",3879705,16,,,,,2.2341278,,Left Foot,,,,"[1.5, 22.1]",,Ground Pass,,19.163769,,,Andrea Consigli,7132.0,,,,,,,1,Regular Play,Francesco Acerbi,7119.0,Left Center Back,41,Sassuolo,232,"['796a572e-fc9d-482d-9b92-11bd8cf7f810', 'c282935a-f3a5-4e8d-87d5-9302bef507a6']",21,,,,,,,,,,,,,,,,,,Sassuolo,232,00:16:21.792,Pass,True
,,,,,,,,,,,,,,,,,2.843332,,,,,,,,,,,,225c428f-d58f-4fa6-88f7-0f5372a986e0,651,,"[1.5, 22.1]",3879705,16,,,,,-0.7398765,,Left Foot,,,,"[25.6, 0.1]",,High Pass,,32.631428,Out,,Nicola Sansone,6859.0,,,,,,,1,Regular Play,Andrea Consigli,7132.0,Goalkeeper,41,Sassuolo,232,['a07b8619-bcc2-4b6f-90b1-d53700ee449e'],23,,,,,,,,,,,,,,,,,,Sassuolo,232,00:16:23.528,Pass,
,,,,,,,,,,,,,,,,,0.849838,,,,,,,,,,,,4163523f-bada-48cb-84f4-4f921ea75fc5,653,,"[94.8, 80.0]",3879705,16,,,,,-0.9342881,,,,,,"[99.9, 73.1]",,Low Pass,,8.58021,,,Anthony Mounier,34565.0,,,,,,Throw-in,1,From Throw In,Luca Rossettini,7142.0,Right Back,42,Bologna,240,['0fa9a0b1-cbd3-4502-8de4-f65cbbc9c376'],30,,,,,,,,,,,,,,,,,,Bologna,240,00:16:30.782,Pass,
,,,,,,,,,,,,,,,,,1.255578,,,,,,,,,,,,fd572386-92a2-4f4a-a81c-c19d559435f9,656,,"[99.9, 73.4]",3879705,16,,,,,2.5020053,,Left Foot,,,,"[91.7, 79.5]",,Ground Pass,,10.220078,,,Luca Rossettini,7142.0,,,,,,,1,From Throw In,Anthony Mounier,34565.0,Right Wing,42,Bologna,240,['19d9ace0-50a2-4beb-b3d3-46398bd03df3'],31,,,,,,,,,,,,,,,,,,Bologna,240,00:16:31.712,Pass,
,,,,,,,,,,,,,,,,,0.841792,,,,,,,,,,,,0721ad2b-78bb-4418-a443-99cda5936205,659,,"[91.7, 79.5]",3879705,16,,,,,-1.3086765,,Right Foot,,,,"[96.1, 63.1]",,Ground Pass,,16.979988,,,Emanuele Giaccherini,7775.0,,,,,,,1,From Throw In,Luca Rossettini,7142.0,Right Back,42,Bologna,240,['5823f579-a51d-46f0-8644-32e331c3ec3d'],33,,,,,,,,,,,,,,,,,,Bologna,240,00:16:33.127,Pass,
,,,,,,,,,,,,,,,,,0.97999,,,,,,,,,,,,6947ac64-8453-42b5-9fa9-fa4e2971f0a2,663,,"[97.1, 62.6]",3879705,16,,,,,3.1084921,,Left Foot,,,,"[82.0, 63.1]",,Low Pass,,15.108275,,,Godfred Donsah,8280.0,,,,,,,1,From Throw In,Emanuele Giaccherini,7775.0,Left Wing,42,Bologna,240,['e1b2687e-2482-47ea-bef2-50a322c04331'],34,,,,,,,,,,,,,,,,,,Bologna,240,00:16:34.009,Pass,
,,,,,,,,,,,,,,,,,0.851916,,,,,,,,,,,,17b324db-394d-41b9-977a-8da88cc8c21d,667,,"[82.3, 62.9]",3879705,16,,,,,-0.816396,,Right Foot,,,,"[94.8, 49.6]",,Ground Pass,,18.252123,,,Mattia Destro,8103.0,,,,,,,1,From Throw In,Godfred Donsah,8280.0,Right Center Midfield,42,Bologna,240,['ddbf30e1-b60a-4068-b371-5cb9ea70d7db'],36,,,,,,,,,,,,,,,,,,Bologna,240,00:16:36.591,Pass,
,,,,,,,,,,,,,,,,,2.08806,,,,,,,,,,,,70d4d3af-9968-49ef-873e-4e474352147b,675,,"[10.5, 0.1]",3879705,16,,True,,,1.9106668,,,,,,"[4.1, 18.2]",,Low Pass,,19.198177,,,Francesco Acerbi,7119.0,,,,,,Throw-in,1,From Throw In,Federico Peluso,7118.0,Left Back,43,Sassuolo,232,['6224737b-242a-4ace-b1a8-d87f7e40c67b'],52,,,,,,,,,,,,,,,,,,Sassuolo,232,00:16:52.923,Pass,
,,,,,,,,,,,,,,,,,1.13534,,,,,,,,,,,,a3776195-3c76-484a-bb4d-539355476c11,677,,"[4.1, 18.2]",3879705,16,,,,,-1.2809498,,Right Foot,,,,"[9.2, 1.1]",,Ground Pass,,17.844326,,,Federico Peluso,7118.0,,,,,,,1,From Throw In,Francesco Acerbi,7119.0,Left Center Back,43,Sassuolo,232,['2bf126a0-f9f4-418f-8370-16110edbd640'],57,,,,,,,,,,,,,,,,,,Sassuolo,232,00:16:57.277,Pass,
,,,,,,,,,,,,,,,,,1.270401,,,,,,,,,,,,0bb6e589-9509-43c9-9ae9-ee85c9c86fcb,680,,"[11.8, 3.7]",3879705,17,,,,,2.0157294,,Left Foot,,,,"[4.6, 18.8]",,Ground Pass,,16.728718,,,Francesco Acerbi,7119.0,,,,,,,1,From Throw In,Federico Peluso,7118.0,Left Back,43,Sassuolo,232,['e5452ccf-fdd4-4c5f-bae5-de7dd8c8092d'],1,,,,,,,,,,,,,,,,,,Sassuolo,232,00:17:01.028,Pass,
,,,,,,,,,,,,,,,,,1.530808,,,,,,,,,,,,2acda9c8-cc27-4121-b029-202006ee33d8,683,,"[4.6, 19.5]",3879705,17,,,,,1.648763,,Left Foot,,,,"[3.6, 32.3]",,Ground Pass,,12.839003,,,Andrea Consigli,7132.0,,,,,,,1,From Throw In,Francesco Acerbi,7119.0,Left Center Back,43,Sassuolo,232,['4ba6494b-b500-48e8-a837-cc8be6bfe495'],2,,,,,,,,,,,,,,,,,,Sassuolo,232,00:17:02.620,Pass,
,,,,,,,,,,,,,,,,,3.013184,,,,,,,,,,,,7bab1150-11b3-40b4-81dd-c4956e2243d7,686,,"[9.7, 46.6]",3879705,17,,,,,0.1987079,,Right Foot,,,,"[68.3, 58.4]",,High Pass,,59.77625,Incomplete,,Domenico Berardi,7131.0,,,,,,,1,From Throw In,Andrea Consigli,7132.0,Goalkeeper,43,Sassuolo,232,"['0adee1dc-f1a2-4945-bee0-2de745391d7e', '5523ed7f-91d7-4265-aa07-a782a0386e9d']",7,,,,,,,,,,,,,,,,,,Sassuolo,232,00:17:07.511,Pass,
,,,,,,,,,,,,,,,,,2.426207,,,,,,,,,,,,0adee1dc-f1a2-4945-bee0-2de745391d7e,688,,"[51.8, 21.7]",3879705,17,,,,,-0.5479795,,Head,,,,"[73.1, 8.7]",,Low Pass,,24.953756,Incomplete,,Mattia Destro,8103.0,,,,,,Recovery,1,From Throw In,Archimede Morleo,40428.0,Left Back,43,Sassuolo,232,"['55d7b46e-5606-4e1c-af92-e77e1e8958c1', '7bab1150-11b3-40b4-81dd-c4956e2243d7', 'b498ccd2-2a69-443b-89dc-89a0dd2183dc']",10,,,,,,,,,,,,,,,,,,Bologna,240,00:17:10.524,Pass,
,,,,,,,,,,,,,,,,,1.070009,,,,,,,,,,,,fea82481-baa5-4ebb-8bc0-4feb1ad6ee5e,692,,"[50.1, 78.3]",3879705,17,,,,,-0.18580188,,Right Foot,,,,"[63.4, 75.8]",,Ground Pass,,13.532923,,,Domenico Berardi,7131.0,,,,,,,1,From Throw In,Marcello Gazzola,10031.0,Right Back,43,Sassuolo,232,['ab4bd3f7-2f00-4e2f-97aa-6dfe5191eaa9'],14,,,,,,,,,,,,,,,,,,Sassuolo,232,00:17:14.173,Pass,
