50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.539167,,,,,,,,,,,,,,,a883e5ff-708e-4475-aa77-0ce4c6a84f9e,1831,,"[87.0, 57.0]",3879718,45,,,,,1.4909663,,Right Foot,,,,"[88.6, 77.0]",,Ground Pass,,20.063898,,,,,Piotr Zieliński,5660.0,,,,,,2,From Kick Off,Massimo Maccarone,40252.0,Left Center Forward,100,Empoli,290,['a5d373e6-9a5e-4837-af7c-3a2b75ec1944'],12,,,,,,,,,,,,,,,,,Empoli,290,00:00:12.948,Pass,
,,,,,,,,,,,,,,,,,,0.88039,,,,,,,,,,,,,,,1c58bbc3-871b-404b-ae9f-600ac826cb17,1835,,"[90.0, 75.2]",3879718,45,,,,,-2.2896264,,Left Foot,,,,"[83.7, 68.0]",,Ground Pass,,9.567131,,,,,Massimo Maccarone,40252.0,,,,,,2,From Kick Off,Piotr Zieliński,5660.0,Right Center Midfield,100,Empoli,290,['acd7e765-712e-42f6-866c-5fca7fde4d90'],15,,,,,,,,,,,,,,,,,Empoli,290,00:00:15.728,Pass,
,,,,,,,,,,,,,,,,,,0.973488,,,,,,,,,,,,,,,1dfa46ed-335e-463a-a807-08bea4c15a4a,1839,,"[81.0, 67.3]",3879718,45,,,,,2.0250983,,Right Foot,,,,"[76.8, 75.9]",,Ground Pass,,9.570789,,,,,Vincent Laurini,7155.0,,,,,,2,From Kick Off,Massimo Maccarone,40252.0,Left Center Forward,100,Empoli,290,"['7822db04-d2f4-4051-9c36-8cdea0960406', 'b30884e4-d89c-49f4-afd3-85986b475ead']",16,,,,,,,,,,,,,,,,,Empoli,290,00:00:16.804,Pass,True
,,,,,,,,,,,,,,,,,,0.720039,,,,,,,,,,,,,,,531fc50f-0b7b-4751-8be4-f0253f371b10,1842,,"[77.0, 75.9]",3879718,45,,,,,-2.1833339,,Right Foot,,,,"[74.4, 72.2]",,Ground Pass,,4.5221677,,,,,Piotr Zieliński,5660.0,,,,,,2,From Kick Off,Vincent Laurini,7155.0,Right Back,100,Empoli,290,['7fb5d174-d848-4042-84b2-3b7beefb1f00'],17,,,,,,,,,,,,,,,,,Empoli,290,00:00:17.817,Pass,
,,,,,,,,,,,,,,,,,,0.637818,,,,,,,,,,,,,,,62d63e22-7570-4f58-8638-ec0c8a11b6a0,1845,,"[74.4, 70.5]",3879718,45,,,,,1.1006129,,Right Foot,,,,"[77.5, 76.6]",,Ground Pass,,6.842514,,,,,Vincent Laurini,7155.0,,,,,,2,From Kick Off,Piotr Zieliński,5660.0,Right Center Midfield,100,Empoli,290,['278fd1da-db10-4c04-a2ae-caca6a987603'],19,,,,,,,,,,,,,,,,,Empoli,290,00:00:19.416,Pass,
,,,,,,,,,,,,,,,,,,0.871667,,,,,,,,,,,,,,,d5ef6334-7508-4eab-9cb4-f619c2297d36,1848,,"[76.3, 76.8]",3879718,45,,,,,-0.037616655,,Right Foot,,,,"[94.9, 76.1]",,Ground Pass,,18.613167,,,,,Massimo Maccarone,40252.0,,,,,,2,From Kick Off,Vincent Laurini,7155.0,Right Back,100,Empoli,290,['feb0555c-e550-48a3-91b0-28963467229f'],20,,,,,,,,,,,,,,,,,Empoli,290,00:00:20.861,Pass,
,,,,,,,,,,,,,,,,,,0.854742,,,,,,,,,,,,,,,3a00ea84-af23-4fe2-b595-6e6a35af23ad,1852,,"[93.5, 76.6]",3879718,45,,,,,-2.7131064,,Left Foot,,,,"[85.4, 72.9]",,Ground Pass,,8.905055,,,,,Piotr Zieliński,5660.0,,,,,,2,From Kick Off,Massimo Maccarone,40252.0,Left Center Forward,100,Empoli,290,"['16da7d29-e077-49fc-8887-5e3f1fda120d', '34a051b1-8af6-4688-a462-9c0b52227928']",24,,,,,,,,,,,,,,,,,Empoli,290,00:00:24.092,Pass,True
,,,,,,,,,,,,,,,,,,0.916496,,,,,,,,,,,,,,,ddcac036-2b7d-48da-b649-208d358a07f1,1856,,"[88.2, 66.6]",3879718,45,,,,,-2.5294402,,Right Foot,,,,"[83.5, 63.3]",,Ground Pass,,5.7428217,,,,,Leandro Daniel Paredes,16308.0,,,,,,2,From Kick Off,Piotr Zieliński,5660.0,Right Center Midfield,100,Empoli,290,['d3fde139-2b42-4f4f-b63e-763292edd958'],26,,,,,,,,,,,,,,,,,Empoli,290,00:00:26.819,Pass,
,,,,,,,,,,,,,,,,,,1.871271,,,,,,,,,,,,,,,10a44b9e-7bc7-474b-a3fb-3c52836b082d,1859,,"[82.1, 61.4]",3879718,45,,,,,-1.6811639,,Right Foot,,,,"[77.9, 23.5]",,Ground Pass,,38.132008,,,,,Michele Camporese,31737.0,,,,,,2,From Kick Off,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,100,Empoli,290,['646d14a1-8fa9-4a35-b9fb-a57ca45537d1'],27,,,,,,,,,,,,,,,,,Empoli,290,00:00:27.811,Pass,
,,,,,,,,,,,,,,,,,,1.104564,,,,,,,,,,,,,,,dadf6256-624f-444f-930e-16b9305eb5ba,1862,,"[78.6, 22.6]",3879718,45,,,,,-0.45215386,,Left Foot,,,,"[92.6, 15.8]",,Ground Pass,,15.564061,,,,,Daniele Croce,40251.0,,,,,,2,From Kick Off,Michele Camporese,31737.0,Left Center Back,100,Empoli,290,['35265f55-f7a8-417b-b8fc-4d772f8b70d6'],32,,,,,,,,,,,,,,,,,Empoli,290,00:00:32.844,Pass,
,,,,,,,,,,,,,,,,,,1.615147,,,,,,,,,,,,,,,d9b4ca33-e147-41fb-941e-e55fe9c3a708,1866,,"[92.6, 15.8]",3879718,45,,,,,-2.7547169,,Right Foot,,,,"[79.1, 10.3]",,Ground Pass,,14.57738,,,,,Mário Rui Silva Duarte,7151.0,,,,,,2,From Kick Off,Daniele Croce,40251.0,Left Center Midfield,100,Empoli,290,"['63d71c8c-4022-4271-811f-52f628014e0d', '850d8d93-92be-4236-9128-4a729d4b8d79']",34,,,,,,,,,,,,,,,,,Empoli,290,00:00:34.537,Pass,True
,,,,,,,,,,,,,,,,,,1.782618,,,,,,,,,,,,,,,4d1d6a22-ce4a-4471-ac84-9a45a50a9755,1869,,"[79.1, 10.3]",3879718,45,,,,,2.055549,,Left Foot,,,,"[63.3, 40.3]",,Ground Pass,,33.90634,,,,,Lorenzo Tonelli,7160.0,,,,,,2,From Kick Off,Mário Rui Silva Duarte,7151.0,Left Back,100,Empoli,290,['29b1de37-0d79-4f86-9582-f1f985b7ed77'],36,,,,,,,,,,,,,,,,,Empoli,290,00:00:36.851,Pass,
,,,,,,,,,,,,,,,,,,1.206077,,,,,,,,,,,,,,,c0e37032-64e2-4cbc-83bc-f588165fd1d6,1873,,"[63.3, 40.3]",3879718,45,,,,,0.33085304,,Right Foot,,,,"[86.3, 48.2]",,Ground Pass,,24.318922,,,,,Manuel Pucciarelli,7054.0,,,,,,2,From Kick Off,Lorenzo Tonelli,7160.0,Right Center Back,100,Empoli,290,"['cff9c876-aa71-429a-bb8e-dbd702883f10', 'f1bf0460-c894-4023-884b-30faf53a875f']",39,,,,,,,,,,,,,,,,,Empoli,290,00:00:39.617,Pass,True
,,,,,,,,,,,,,,,,,,0.471655,,,,,,,,,,,,,,,1dd46b56-140a-4642-b1da-5215c43d7c1a,1878,,"[30.1, 34.7]",3879718,45,,,,,-0.75092906,,Left Foot,,,,"[33.1, 31.9]",,Low Pass,,4.103657,,,Unknown,,,,,,,,Recovery,2,From Kick Off,Thomas Heurtaux,8852.0,Right Center Back,100,Empoli,290,,41,,,,,,,,,,,,,,,,,Udinese,230,00:00:41.359,Pass,
,,,,,,,,,,,,,,,,,,3.644124,,,,,,,,,,,,,,,298392c0-ced4-4a52-bf0f-35ea94cbbe10,1881,,"[28.9, 35.4]",3879718,46,,,,,0.40202153,,Right Foot,,,,"[71.0, 53.3]",,High Pass,,45.74735,,,,,Ryder Matos Santos,7696.0,,,,,Free Kick,2,From Free Kick,Orestis Karnezis,3742.0,Goalkeeper,101,Udinese,230,['fbccd8a6-0245-4e16-ab0c-a469a6895699'],6,,,,,,,,,,,,,,,,,Udinese,230,00:01:06.949,Pass,
,,,,,,,,,,,,,,,,,,1.245517,,,,,,,,,,,,,,,b6c7df2a-277a-471a-a857-5247fd17bc65,1884,,"[67.3, 53.8]",3879718,46,,,,True,-0.21557538,,,,,,"[81.0, 50.8]",,Low Pass,,14.024621,,,,,Duván Esteban Zapata Banguera,7017.0,,,,,,2,From Free Kick,Ryder Matos Santos,7696.0,Left Center Forward,101,Udinese,230,"['102de276-79f2-4da1-8d3b-906e597e8787', 'bcdb49d6-1a96-455a-87fb-25e8507f8966']",10,,,,,,,,,,,,,,,,,Udinese,230,00:01:10.593,Pass,True
,,,,,,,,,,,,,,,,,,1.167353,,,,,,,,,,,,,,,a4368406-7ffc-4379-8442-1c6539ba7c30,1887,,"[83.8, 54.5]",3879718,46,,,,,1.2288465,,Right Foot,,,,"[90.1, 72.2]",,Ground Pass,,18.787762,,,,,Silvan Widmer,7796.0,,,,,,2,From Free Kick,Duván Esteban Zapata Banguera,7017.0,Right Center Forward,101,Udinese,230,['217a6543-5881-4b20-bd56-2e3897498914'],12,,,,,,,,,,,,,,,,,Udinese,230,00:01:12.941,Pass,
,,,,,,,,,,,,,,,,,,0.171145,,,,,,,,,,,,,,,762cce5c-39e1-4638-afb9-14809aa60bb6,1890,,"[107.1, 73.8]",3879718,46,,,,,-1.9040406,,Right Foot,,,,"[106.2, 71.2]",,Ground Pass,,2.7513633,,,Incomplete,,,,,,,,,2,From Free Kick,Silvan Widmer,7796.0,Right Wing Back,101,Udinese,230,['7dae3f2f-0398-4691-9ebc-c4d11cf02b61'],16,,,,,,,,,,,,,,,,,Udinese,230,00:01:16.733,Pass,
,,,,,,,,,,,,,,,,,,2.261472,,,,,,,,,,,,,,,c9474690-7101-4478-a1ea-dbf377a59551,1895,,"[10.4, 34.9]",3879718,46,,,,,1.1421106,,Keeper Arm,,,,"[22.1, 60.5]",,Ground Pass,,28.146936,,,,,Vincent Laurini,7155.0,,,,,,2,Regular Play,Łukasz Skorupski,11508.0,Goalkeeper,102,Empoli,290,['6e9fd475-e7f3-4176-a6d7-02bbde6cc288'],25,,,,,,,,,,,,,,,,,Empoli,290,00:01:25.448,Pass,
