50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31619e65-8534-4436-b86a-9a0819d3145c,1,,,,3879624,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8443, 'name': 'Dušan Basta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8847, 'name': 'Santiago Juan Gentiletti Selak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8172, 'name': 'Felipe Anderson Pereira Gomes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3145, 'name': 'Keita Baldé Diao'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 11427, 'name': 'Filip Đorđević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cbfa26b5-7b06-4d04-af56-49dfbe9609a3,2,,,,3879624,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8102, 'name': 'Edoardo Goldaniga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40349, 'name': 'Ivaylo Chochev'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 30704, 'name': 'Gastón Brugman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bbc7e11a-3cb9-4b6b-af13-7b5611b13261,3,,,,3879624,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['99294563-c28d-45ec-8fd6-4ae1036f49f8'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,99294563-c28d-45ec-8fd6-4ae1036f49f8,4,,,,3879624,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['bbc7e11a-3cb9-4b6b-af13-7b5611b13261'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e8af4e4c-9ef4-479b-acbe-e2274a233e45,1755,,,,3879624,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,122,Lazio,236,['1d0f29af-df59-4a61-9cef-bbaa7749b5ad'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d0f29af-df59-4a61-9cef-bbaa7749b5ad,1756,,,,3879624,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,122,Lazio,236,['e8af4e4c-9ef4-479b-acbe-e2274a233e45'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.899891,,,,,,,,,,,,,f460c756-a6ab-4c25-96b6-b4b608212873,5,,,"[61.0, 40.1]",3879624,0,,,,,2.6459193,,Right Foot,,,"[43.8, 49.4]",Ground Pass,,19.55326,,,,Mato Jajalo,30735.0,,,,Kick Off,1,From Kick Off,Alberto Gilardino,38389.0,Left Center Forward,2,Palermo,2256,['a699db9b-7062-4143-a78f-c18b6a6d0cae'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.259,Pass,
,,,,,,,,,,,,,,,,,,1.221661,,,,,,,,,,,,,499609fa-c3eb-4ec3-8fea-c7521dab15b1,7,,,"[45.8, 51.5]",3879624,0,,,,,-2.4026725,,Right Foot,,,"[41.3, 47.4]",Ground Pass,,6.0876927,,,,Ivaylo Chochev,40349.0,,,,,1,From Kick Off,Mato Jajalo,30735.0,Center Defensive Midfield,2,Palermo,2256,['339c82bd-7d4d-4b2b-a010-e63934b8b6d7'],1,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:01.159,Pass,
,,,,,,,,,,,,,,,,,,3.546784,,,,,,,,,,,,,51405575-05b5-4777-b689-03c127db678d,9,,,"[41.3, 47.4]",3879624,0,,,,,0.53973365,,Right Foot,,,"[84.2, 73.1]",High Pass,,50.009,,Incomplete,,Giancarlo González Castro,5584.0,,,,,1,From Kick Off,Ivaylo Chochev,40349.0,Left Center Midfield,2,Palermo,2256,"['919cc152-62ef-4f5d-bee5-508194f45494', 'e56b939d-46c9-4255-b919-be539e434fa9']",2,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:02.381,Pass,
,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,919cc152-62ef-4f5d-bee5-508194f45494,12,,,"[35.9, 7.0]",3879624,0,,,,True,2.2318394,,,,,"[34.5, 8.8]",High Pass,,2.280351,,,,Marco Parolo,8173.0,,,,Recovery,1,From Kick Off,Senad Lulić,7785.0,Left Back,2,Palermo,2256,"['31b23513-ce76-478b-8fea-654f86765bc0', '51405575-05b5-4777-b689-03c127db678d', 'd7c531f8-78ad-4676-aff9-d21c1d13f007']",5,,,,,,,,,,,,,,,,,,Lazio,236,00:00:05.927,Pass,True
