50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,12821ab9-3ee8-4add-8a75-4d6a53ee81eb,1,,,3878547,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 386509, 'name': 'Adriano Russo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 296873, 'name': 'Roberto Crivello'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20636, 'name': 'Mirko Gori'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 30911, 'name': 'Robert Gucher'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23470, 'name': 'Luca Paganini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 11608, 'name': 'Danilo Soddimo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 11672, 'name': 'Samuele Longo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5c0c00c0-4513-4eee-b574-ff130b3fbfc3,2,,,3878547,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16202, 'name': 'Nikola Maksimović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6965, 'name': 'Bruno da Silva Peres'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 33}, {'player': {'id': 3125, 'name': 'Danilo Fernando Avelar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 26}, {'player': {'id': 40351, 'name': 'Alessandro Gazzi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 7465, 'name': 'Daniele Baselli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8193, 'name': 'Maximiliano Gastón López'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 7011, 'name': 'Fabio Quagliarella'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 27}]}",Torino,241,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f9ea4544-72b1-47a6-afe3-f6c8a6eeacfc,3,,,3878547,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['2b862b97-1792-4e01-a627-abed4aeabe71'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b862b97-1792-4e01-a627-abed4aeabe71,4,,,3878547,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['f9ea4544-72b1-47a6-afe3-f6c8a6eeacfc'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,55f1016a-08d7-424f-a991-4efea5b6b414,1498,,,3878547,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Torino,241,['67880a97-1db1-4fc7-a18e-1477fe2f9904'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,67880a97-1db1-4fc7-a18e-1477fe2f9904,1499,,,3878547,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Torino,241,['55f1016a-08d7-424f-a991-4efea5b6b414'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.34295,,,,,,,,,,,,,,fd143780-1a1e-4be8-be80-ad7f0fad285b,5,,"[60.0, 40.0]",3878547,0,,True,,,-1.4513674,,Right Foot,,,"[60.3, 37.5]",,Ground Pass,,2.5179358,,,,,Maximiliano Gastón López,8193.0,,,,,Kick Off,1,From Kick Off,Fabio Quagliarella,7011.0,Left Center Forward,2,Torino,241,['fc0f2373-72ca-47c3-bfe4-8a54cff831fd'],1,,,,,,,,,,,,,,,,,Torino,241,00:00:01.441,Pass,
,,,,,,,,,,,,,,,,,,0.892088,,,,,,,,,,,,,,733e54fd-5a17-4688-8830-72a92767dd80,7,,"[59.0, 37.5]",3878547,0,,,,,-3.040924,,Right Foot,,,"[49.1, 36.5]",,Ground Pass,,9.9503765,,,,,Alessandro Gazzi,40351.0,,,,,,1,From Kick Off,Maximiliano Gastón López,8193.0,Right Center Forward,2,Torino,241,['40a1b9b2-c71f-46e8-89c3-6475e965a984'],2,,,,,,,,,,,,,,,,,Torino,241,00:00:02.275,Pass,
,,,,,,,,,,,,,,,,,,1.952028,,,,,,,,,,,,,,3bf1d1cf-44f5-4a2a-b639-da40ba12cf99,10,,"[49.1, 36.5]",3878547,0,,,,,2.203545,,Left Foot,,,"[32.6, 59.0]",,Ground Pass,,27.901613,,,,,Nikola Maksimović,16202.0,,,,,,1,From Kick Off,Alessandro Gazzi,40351.0,Center Defensive Midfield,2,Torino,241,['3b674dfd-30cf-4bd1-bd56-006d176a774d'],3,,,,,,,,,,,,,,,,,Torino,241,00:00:03.887,Pass,
,,,,,,,,,,,,,,,,,,1.07517,,,,,,,,,,,,,,4ef86b9c-439c-492e-a111-083ea7ee6e07,13,,"[32.6, 59.0]",3878547,0,,,,,-0.6202495,,Right Foot,,,"[43.1, 51.5]",,Ground Pass,,12.903488,,,,,Alessandro Gazzi,40351.0,,,,,,1,From Kick Off,Nikola Maksimović,16202.0,Right Center Back,2,Torino,241,['65678557-9040-4abc-bca1-44622b294bf5'],7,,,,,,,,,,,,,,,,,Torino,241,00:00:07.518,Pass,
