50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,95510b86-6b51-44e3-8a9c-385982dc6bde,1,,,3879710,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 8873, 'name': 'Marios Oikonomou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 30745, 'name': 'Daniele Gastaldello'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8280, 'name': 'Godfred Donsah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8103, 'name': 'Mattia Destro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,da564038-ad56-4abc-8fbc-145905e17611,2,,,3879710,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 7020, 'name': 'Jacopo Sala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7962, 'name': 'Andrea Ranocchia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 9884, 'name': 'Niklas Moisander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25505, 'name': 'José Rodolfo Pires Ribeiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 95}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 6822, 'name': 'Carlos Joaquín Correa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6334, 'name': 'Luis Fernando Muriel Fruto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4c7c5341-87f5-47ec-99ce-af6739e8e064,3,,,3879710,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['b5624b07-dd40-41e9-80c7-9a2303563303'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b5624b07-dd40-41e9-80c7-9a2303563303,4,,,3879710,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['4c7c5341-87f5-47ec-99ce-af6739e8e064'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d21608be-819c-4ba1-bdf2-82fbd5388260,1917,,,3879710,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,104,Bologna,240,['90b0cf23-c8ac-4cd5-b3d2-441c916a1928'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,90b0cf23-c8ac-4cd5-b3d2-441c916a1928,1918,,,3879710,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,104,Bologna,240,['d21608be-819c-4ba1-bdf2-82fbd5388260'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.591721,,,,,,,,,,,,,,ede9b346-3eb6-4014-8304-c286954a8221,5,,"[61.0, 40.1]",3879710,0,,,,,1.9416876,,Right Foot,,,,"[59.6, 43.7]",Ground Pass,,3.8626416,,,,Roberto Soriano,6759.0,,,,,Kick Off,1,From Kick Off,Luis Fernando Muriel Fruto,6334.0,Center Forward,2,Sampdoria,234,['6e1239ef-0bec-429e-88da-6c28dcdd6381'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.679,Pass,
,,,,,,,,,,,,,,,,,,2.009224,,,,,,,,,,,,,,5d40f8d1-5268-4c2a-a46e-e49186230744,8,,"[57.7, 44.3]",3879710,0,,,,,2.941996,,Right Foot,,,,"[31.5, 49.6]",Ground Pass,,26.730694,,,,Andrea Ranocchia,7962.0,,,,,,1,From Kick Off,Roberto Soriano,6759.0,Center Attacking Midfield,2,Sampdoria,234,['3b70b3d7-bf9a-4911-8b6b-73ea2c93184b'],1,,,,,,,,,,,,,,,,Sampdoria,234,00:00:01.513,Pass,
,,,,,,,,,,,,,,,,,,2.045059,,,,,,,,,,,,,,ac85419d-5044-4ece-9a3a-8d33154ae419,11,,"[32.8, 51.5]",3879710,0,,,,,-1.724741,,Right Foot,,,,"[29.2, 28.3]",Ground Pass,,23.47765,,,,Niklas Moisander,9884.0,,,,,,1,From Kick Off,Andrea Ranocchia,7962.0,Right Center Back,2,Sampdoria,234,['3ec3cc71-e913-4b67-9322-d4076205d071'],4,,,,,,,,,,,,,,,,Sampdoria,234,00:00:04.216,Pass,
,,,,,,,,,,,,,,,,,,1.343911,,,,,,,,,,,,,,08f83c16-6ecd-42d5-9a54-19a474ff881f,14,,"[34.7, 29.1]",3879710,0,,,,,1.9261733,,Left Foot,,,,"[27.5, 48.5]",Ground Pass,,20.692993,,,,Andrea Ranocchia,7962.0,,,,,,1,From Kick Off,Niklas Moisander,9884.0,Left Center Back,2,Sampdoria,234,['08701a88-8bf6-4cc1-9fbb-966240dd61ce'],7,,,,,,,,,,,,,,,,Sampdoria,234,00:00:07.626,Pass,
