50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.991356,,,,,,,,,,,,,c327b1a7-af12-4767-bec0-708253dcb77a,19,,"[17.8, 0.1]",3879586,0,,,,,1.2522407,,,,,"[20.9, 9.5]",,High Pass,,9.89798,,,,,Leandro Greco,32119.0,,,,,Throw-in,1,From Throw In,Samuel Souprayen,7695.0,Left Wing Back,3,Hellas Verona,226,['52baaf75-1db7-40bb-b5e4-b3718a81bc61'],23,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:23.341,Pass,
,,,,,,,,,,,,,,,,,1.557456,,,,,,,,,,,,,c1bb5c0b-3c6d-43e6-8721-5f46c4cfebba,22,,"[20.9, 9.5]",3879586,0,,,,,0.14784937,,Left Foot,,,"[49.1, 13.7]",,High Pass,,28.511051,,,Incomplete,,Juan Ignacio Gómez Taleb,386651.0,,,,,,1,From Throw In,Leandro Greco,32119.0,Center Defensive Midfield,3,Hellas Verona,226,"['542581c7-86a2-40f9-af25-13ad660cf071', 'b0955201-1b05-492d-a533-44c4bec8845c']",24,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:24.473,Pass,
,,,,,,,,,,,,,,,,,1.112321,,,,,,,,,,,,,2c5c89e3-d9d6-4f38-b963-7c03b62594f7,29,,"[50.7, 18.8]",3879586,0,,,,,1.805212,,Right Foot,,,"[49.1, 25.5]",,Ground Pass,,6.8883963,,,,,Emil Hallfreðsson,5512.0,,,,,,1,From Throw In,Juan Ignacio Gómez Taleb,386651.0,Right Center Forward,3,Hellas Verona,226,"['0a76efe6-87f7-4500-bd5a-80a4cb6f1d0b', '20e35d9b-da20-42d8-a86a-c80f194bf28f']",28,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:28.204,Pass,True
,,,,,,,,,,,,,,,,,1.526396,,,,,,,,,,,,,1671f985-7154-4661-8b0f-64c9e4f4978b,32,,"[49.7, 28.2]",3879586,0,,,,,1.0218543,,Right Foot,,,"[62.3, 48.8]",,Ground Pass,,24.147879,,,,,Jacopo Sala,7020.0,,,,,,1,From Throw In,Emil Hallfreðsson,5512.0,Left Center Midfield,3,Hellas Verona,226,['ca180aa2-2303-433c-8859-8f40d319ba48'],29,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:29.563,Pass,
,,,,,,,,,,,,,,,,,1.955944,,,,,,,,,,,,,71897ada-4e61-48a7-99db-9927ec0565a9,35,,"[63.7, 50.7]",3879586,0,,,,,0.79131526,,Right Foot,,,"[80.5, 67.7]",,Ground Pass,,23.900627,,,,,Eros Pisano,11342.0,,,,,,1,From Throw In,Jacopo Sala,7020.0,Right Center Midfield,3,Hellas Verona,226,['6c2746b0-630a-4aa0-997e-093aee78ee7c'],31,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:31.207,Pass,
,,,,,,,,,,,,,,,,,1.482046,,,,,,,,,,,,,4852b20d-6489-48f6-8663-e4946e609b33,39,,"[116.6, 76.3]",3879586,0,,,,,-1.4201604,,Right Foot,,,"[120.0, 53.9]",,Low Pass,,22.656567,,,Out,,,,,,,,,1,From Throw In,Eros Pisano,11342.0,Right Wing Back,3,Hellas Verona,226,['1d91515b-490d-41d3-b8c5-4bc4ddb7e8ad'],38,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:38.273,Pass,True
,,,,,,,,,,,,,,,,,3.370941,,,,,,,,,,,,,e8886752-757d-4ab4-a65c-3c6ba4744415,40,,"[7.0, 44.1]",3879586,1,,,,,-0.0407245,,Right Foot,,,"[65.9, 41.7]",,High Pass,,58.948875,,,Incomplete,,Luis Fernando Muriel Fruto,6334.0,,,,,Goal Kick,1,From Goal Kick,Emiliano Viviano,7018.0,Goalkeeper,4,Sampdoria,234,"['4502e4f4-dd0a-4882-9a4f-e1c6a0352648', 'd028f93a-8fbe-4dae-9238-a51fee73db53']",0,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:00.650,Pass,
,,,,,,,,,,,,,,,,,1.684477,,,,,,,,,,,,,4502e4f4-dd0a-4882-9a4f-e1c6a0352648,43,,"[54.2, 38.4]",3879586,1,,,,True,-0.4567273,,,,,"[77.4, 27.0]",,High Pass,,25.849566,,,,,Giampaolo Pazzini,6686.0,,,,,Recovery,1,Regular Play,Filip Helander,7966.0,Left Center Back,5,Hellas Verona,226,"['6282a12c-2736-4b20-8c51-dfd35e2983e8', 'b56b2314-6b6e-406c-bb89-3ce405c292a5', 'e8886752-757d-4ab4-a65c-3c6ba4744415']",4,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:04.021,Pass,True
,,,,,,,,,,,,,,,,,1.238397,,,,,,,,,,,,,bc15813a-8c1b-4159-ae48-9107e7a5a44d,46,,"[77.8, 28.8]",3879586,1,,,,,2.2164855,,Right Foot,,,"[72.3, 36.1]",,Low Pass,,9.140022,,,,,Jacopo Sala,7020.0,,,,,,1,Regular Play,Giampaolo Pazzini,6686.0,Left Center Forward,5,Hellas Verona,226,['69179d95-f0b3-44aa-9436-8d20ff5df06f'],5,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:05.779,Pass,
,,,,,,,,,,,,,,,,,0.857479,,,,,,,,,,,,,dab4dd89-9325-4aef-bd3e-f6c2deade0e4,49,,"[71.4, 36.5]",3879586,1,,,,,-2.6162257,,Right Foot,,,"[64.5, 32.5]",,Low Pass,,7.975588,,,Incomplete,,Emil Hallfreðsson,5512.0,,,,,,1,Regular Play,Jacopo Sala,7020.0,Right Center Midfield,5,Hellas Verona,226,"['5c26a0ec-3e15-440d-b46f-c82a09f09c4f', 'c9e8d2a7-9260-4988-a7b4-33b11ef0da3a']",7,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:07.364,Pass,
