50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.637647,,,,,,,,,,,,6cfb0adc-43b2-40ba-8977-e959496e9cfb,16,,,"[31.5, 13.3]",3879676,0,,,,,-0.2007969,,Left Foot,,,,"[42.8, 11.0]",,Low Pass,,11.531695,,,,,Andrea Bertolacci,7147.0,,,,,Recovery,1,From Kick Off,Alessio Romagnoli,7458.0,Left Center Back,2,AS Roma,229,"['a9d75d53-fe32-4d1d-a593-e08fba4369b4', 'd784f6ca-0ebd-4d28-8db9-dea59d3ddda0']",8,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:08.715,Pass,
,,,,,,,,,,,,,,,,,,,1.780284,,,,,,,,,,,,9cf84e8a-ff1f-4912-b430-462770e4361f,20,,,"[42.5, 11.5]",3879676,0,,,,,2.5930433,,Left Foot,,,,"[22.7, 23.6]",,Low Pass,,23.204525,,,Incomplete,,,,,,,,,1,From Kick Off,Andrea Bertolacci,7147.0,Left Defensive Midfield,2,AS Roma,229,"['303722e6-fe17-4aba-b8d9-c7648d3fa7dc', '41a1bb2f-f802-4382-a4b5-8c0817977df8']",10,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:10.392,Pass,True
,,,,,,,,,,,,,,,,,,,2.84098,,,,,,,,,,,,00fea58d-2031-4d64-bd2f-573f91b010ae,27,,,"[51.0, 25.1]",3879676,0,,,,,-0.6112542,,Other,,,,"[76.4, 7.3]",,High Pass,,31.016125,,,,,Gervais Lombe Yao Kouassi,15818.0,,,,,Recovery,1,From Kick Off,Antonio Rüdiger,3167.0,Left Center Back,2,AS Roma,229,['9b54df5d-f7a1-47b7-9958-96ff5574d998'],19,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:19.865,Pass,
,,,,,,,,,,,,,,,,,,,0.870662,,,,,,,,,,,,c2392a21-429d-4ea5-bc40-fa9747be91b9,31,,,"[34.4, 75.5]",3879676,0,,,,,-1.3094703,,Left Foot,,,,"[36.7, 66.9]",,Ground Pass,,8.902246,,,,,Juraj Kucka,10919.0,,,,,Recovery,1,Regular Play,Ignazio Abate,7463.0,Right Back,3,AC Milan,243,['e28d5d17-6ff9-47e4-97e0-0f39e414d32c'],25,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:25.061,Pass,
,,,,,,,,,,,,,,,,,,,0.567179,,,,,,,,,,,,4e7ebf15-af51-4fbb-800a-b66395a13a1d,34,,,"[36.2, 70.3]",3879676,0,,,,,0.5574311,,Right Foot,,,,"[43.9, 75.1]",,Ground Pass,,9.073588,,,,,Keisuke Honda,5683.0,,,,,,1,Regular Play,Juraj Kucka,10919.0,Right Defensive Midfield,3,AC Milan,243,['8ed4d2c7-12f1-470b-a637-61f3acdff2c8'],27,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:27.062,Pass,
,,,,,,,,,,,,,,,,,,,0.798716,,,,,,,,,,,,ac4af596-d6ec-4161-a98d-feecba65529b,38,,,"[43.9, 75.5]",3879676,0,,,,,-2.7187388,,Left Foot,,,,"[41.9, 74.6]",,Low Pass,,2.1931713,,,Incomplete,,Juraj Kucka,10919.0,,,,,,1,Regular Play,Keisuke Honda,5683.0,Right Midfield,3,AC Milan,243,"['011f50a2-c11a-45d8-97ee-8eaba84d1255', '04fb8e78-1ac3-451c-8272-afa65ae69b8a', '89adfb98-2e86-4712-abb2-947f64d415a7']",27,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:27.702,Pass,True
,,,,,,,,,,,,,,,,,,,1.344263,,,,,,,,,,,,426d90c1-d73f-4976-b309-70b73a194ddc,49,,,"[74.9, 11.6]",3879676,0,,,,,1.0382922,,Right Foot,,,,"[78.2, 17.2]",,Ground Pass,,6.5,,,,,Miralem Pjanić,6947.0,,,,,,1,Regular Play,Radja Nainggolan,6962.0,Left Center Midfield,3,AC Milan,243,['c1b42e66-fb55-49f9-b690-07235f31690f'],30,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:30.071,Pass,
,,,,,,,,,,,,,,,,,,,1.335586,,,,,,,,,,,,3362f50e-49cf-4439-ade3-d6fcff32646d,51,,,"[78.5, 17.4]",3879676,0,,,,,-0.6013574,,Right Foot,,,,"[92.2, 8.0]",,High Pass,,16.614752,,,Incomplete,,Gervais Lombe Yao Kouassi,15818.0,,,,,,1,Regular Play,Miralem Pjanić,6947.0,Right Center Midfield,3,AC Milan,243,"['43b22952-f80b-4232-83b0-a22bf8f42d82', 'f09e8110-02bd-4f76-8921-8268c9f503e9']",31,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:31.416,Pass,
,,,,,,,,,,,,,True,,,,,,0.614649,,,,,,,,,,,,43b22952-f80b-4232-83b0-a22bf8f42d82,53,,,"[27.9, 72.1]",3879676,0,,,,,-0.23860933,,Left Foot,,,,"[35.3, 70.3]",,Low Pass,,7.615773,,,Incomplete,,,,,,,,Interception,1,Regular Play,Ignazio Abate,7463.0,Right Back,3,AC Milan,243,"['3362f50e-49cf-4439-ade3-d6fcff32646d', 'ae0e3dd9-1af1-4df8-8745-bd779d06a443']",32,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:32.751,Pass,
,,,,,,,,,,,,,,,,,,,1.91653,,,,,,,,,,,,ae0e3dd9-1af1-4df8-8745-bd779d06a443,54,,,"[84.8, 9.8]",3879676,0,,,,,0.39479113,,Left Foot,,,,"[106.4, 18.8]",,High Pass,,23.4,,,Pass Offside,,Gervais Lombe Yao Kouassi,15818.0,,,,,Recovery,1,Regular Play,Miralem Pjanić,6947.0,Right Center Midfield,3,AC Milan,243,"['43b22952-f80b-4232-83b0-a22bf8f42d82', 'c4baa9b6-c2b5-4030-b69a-d096db6dbc38']",33,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:33.366,Pass,
