50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9ca545fc-0e43-46fc-acdd-ea6111070de3,1,,,3878541,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 9887, 'name': 'Rafael de Andrade Bittencourt Pinheiro'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7695, 'name': 'Samuel Souprayen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 69}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7020, 'name': 'Jacopo Sala'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 5512, 'name': 'Emil Hallfreðsson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 26442, 'name': 'Boško Janković'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 386651, 'name': 'Juan Ignacio Gómez Taleb'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2713651d-0778-4b46-bae2-30da75998b72,2,,,3878541,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 7961, 'name': 'Leandro Castán da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8104, 'name': 'Vassilis Torosidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AS Roma,229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d567a603-89e5-4b1d-bd9e-cf0f1ae0abed,3,,,3878541,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['7a4151df-9487-4491-80e4-e1b41ab1587b'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7a4151df-9487-4491-80e4-e1b41ab1587b,4,,,3878541,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['d567a603-89e5-4b1d-bd9e-cf0f1ae0abed'],0,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4dd8bb12-f5d9-408a-ab2e-d9a68afcb2c4,1614,,,3878541,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,AS Roma,229,['e4358511-9335-4d60-b45a-f20355138e69'],0,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e4358511-9335-4d60-b45a-f20355138e69,1615,,,3878541,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,AS Roma,229,['4dd8bb12-f5d9-408a-ab2e-d9a68afcb2c4'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.680072,,,,,,,,,,,,8723e9f8-d7b0-4979-b1b1-f375aa59b53f,5,,"[61.0, 40.1]",3878541,0,,True,,,2.067219,,Right Foot,,,"[59.7, 42.5]",,Ground Pass,,2.7294688,,,,Jacopo Sala,7020.0,,,,,,Kick Off,1,From Kick Off,Luca Toni,20252.0,Center Forward,2,Hellas Verona,226,['ba5f72d4-a2e4-414a-9cc2-a3984d5ddb2d'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.110,Pass,
,,,,,,,,,,,,,,,,,,,0.753802,,,,,,,,,,,,e9d07202-f722-40b2-941b-0297a9cd5796,7,,"[59.7, 42.4]",3878541,0,,,,,-3.0501814,,Right Foot,,,"[47.7, 41.3]",,Ground Pass,,12.050311,,,,Leandro Greco,32119.0,,,,,,,1,From Kick Off,Jacopo Sala,7020.0,Right Center Midfield,2,Hellas Verona,226,['c67b1d1c-7894-4398-b22f-1a368487e1b4'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.944,Pass,
,,,,,,,,,,,,,,,,,,,1.267117,,,,,,,,,,,,559cf312-48e7-4b47-a737-dc510586bef7,10,,"[47.9, 42.1]",3878541,0,,,,,2.768164,,Left Foot,,,"[30.8, 48.8]",,Ground Pass,,18.365728,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Leandro Greco,32119.0,Center Defensive Midfield,2,Hellas Verona,226,['16b8a8a5-9933-41de-827c-09e9d8f9cf5c'],2,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:02.773,Pass,
,,,,,,,,,,,,,,,,,,,1.981503,,,,,,,,,,,,fcb99f25-8854-436f-bd3b-090f95ddb12b,13,,"[26.7, 49.1]",3878541,0,,,,,-2.6311042,,Left Foot,,,"[9.2, 39.3]",,Ground Pass,,20.057169,,,,Rafael de Andrade Bittencourt Pinheiro,9887.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Hellas Verona,226,['14533885-84dc-4089-b715-e8674f00bbe8'],5,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:05.030,Pass,
