50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6696056a-6c10-4732-8af4-b2ba88f8eefa,1,,,3879770,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 29}, {'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8657, 'name': 'Andrea Conti'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 24}, {'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 31725, 'name': 'Gaetano Monachello'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 45}, {'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,73dc1794-7319-4648-8648-77a00f2e6b9d,2,,,3879770,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3579, 'name': 'Roberto Maximiliano Pereyra'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 37}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a8981e6b-cf92-461e-9fde-a5d754642a5f,3,,,3879770,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['7237b46d-6dc4-4e47-832e-07c3874d13c5'],0,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7237b46d-6dc4-4e47-832e-07c3874d13c5,4,,,3879770,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['a8981e6b-cf92-461e-9fde-a5d754642a5f'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fbc3c8c5-f956-4854-a9b6-0c9fc29e6774,1866,,,3879770,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Juventus,224,['4957fe67-2423-43c0-93f0-43b3b1b12dd2'],0,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4957fe67-2423-43c0-93f0-43b3b1b12dd2,1867,,,3879770,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Juventus,224,['fbc3c8c5-f956-4854-a9b6-0c9fc29e6774'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.430151,,,,,,,,,,,,,6256decb-1bc6-4b6e-a51c-aee36d514d30,5,,"[60.0, 40.0]",3879770,0,,True,,,1.6814536,,Left Foot,,,"[59.9, 40.9]",,Ground Pass,,0.9055385,,,,,Mario Mandžukić,5472.0,,,,,Kick Off,1,From Kick Off,Paulo Bruno Exequiel Dybala,5743.0,Right Center Forward,2,Juventus,224,['bf831deb-6ab4-4f04-bef7-c9fb5b520514'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.421,Pass,
,,,,,,,,,,,,,,,,,,,,0.987992,,,,,,,,,,,,,2eddd249-cdee-4d67-af73-73a466ba0147,7,,"[60.3, 40.6]",3879770,0,,True,,,-2.896614,,Right Foot,,,"[49.5, 37.9]",,Ground Pass,,11.132385,,,,,Claudio Marchisio,8294.0,,,,,,1,From Kick Off,Mario Mandžukić,5472.0,Left Center Forward,2,Juventus,224,['9cf0be5d-1aad-4a2e-bcd1-91753c9cadf9'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.851,Pass,
,,,,,,,,,,,,,,,,,,,,1.971306,,,,,,,,,,,,,994a60d2-860f-4e5b-b643-822b73fd4b47,9,,"[47.6, 38.7]",3879770,0,,,,,1.5817848,,Right Foot,,,"[47.3, 66.0]",,Ground Pass,,27.30165,,,,,Stephan Lichtsteiner,5541.0,,,,,,1,From Kick Off,Claudio Marchisio,8294.0,Center Defensive Midfield,2,Juventus,224,['0123de0e-785a-4966-942c-141eb7d31257'],2,,,,,,,,,,,,,,,,,Juventus,224,00:00:02.385,Pass,
,,,,,,,,,,,,,,,,,,,,0.878422,,,,,,,,,,,,,7ae170d0-10bf-48c7-ae24-8078a5c6149a,12,,"[47.3, 66.0]",3879770,0,,,,,-1.0303768,,Right Foot,,,"[50.9, 60.0]",,Ground Pass,,6.9971423,,,,,Sami Khedira,5566.0,,,,,,1,From Kick Off,Stephan Lichtsteiner,5541.0,Right Back,2,Juventus,224,['743539e7-d435-4b92-b47f-6373982fac05'],5,,,,,,,,,,,,,,,,,Juventus,224,00:00:05.152,Pass,
