50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d4c1dda0-9633-436c-afd7-571145f24a41,1,,,3879848,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7041, 'name': 'Nicola Rigoni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 56}, {'player': {'id': 40247, 'name': 'Simone Pepe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 8644, 'name': 'Sergio Pellissier'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 31}, {'player': {'id': 7043, 'name': 'Roberto Inglese'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 45}]}",Chievo,231,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,90d9c16d-4311-4483-8257-c732cf83ece7,2,,,3879848,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,,0,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 28}, {'player': {'id': 6305, 'name': 'Milan Badelj'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,59287850-51c4-44a1-9fbf-2479d5d53066,3,,,3879848,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,['499671e6-6fac-42c9-b8d3-0df69cb82fc7'],0,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,499671e6-6fac-42c9-b8d3-0df69cb82fc7,4,,,3879848,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,['59287850-51c4-44a1-9fbf-2479d5d53066'],0,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1ede1118-28af-4e66-be60-9952b5206271,2029,,,3879848,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Chievo,231,['7d3b1af0-9e8f-4a87-886e-4652b5ea4913'],0,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7d3b1af0-9e8f-4a87-886e-4652b5ea4913,2030,,,3879848,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Chievo,231,['1ede1118-28af-4e66-be60-9952b5206271'],0,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.598337,,,,,,,,,,,,,651ad6ce-056c-4d46-a09d-ab4799dcd0a0,5,,"[61.0, 40.1]",3879848,0,,True,,,2.1995926,,Right Foot,,,,"[60.2, 41.2]",Ground Pass,,1.360147,,,,Mauro Matías Zárate,27853.0,,,,,Kick Off,1,From Kick Off,Nikola Kalinić,7033.0,Center Forward,2,Fiorentina,239,['6b13e5ff-63a7-4f2d-9fe5-257005e24e90'],0,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.640,Pass,
,,,,,,,,,,,,,,,,,,0.909252,,,,,,,,,,,,,06634958-2579-461d-81eb-50b174d5894f,7,,"[60.6, 41.6]",3879848,0,,True,,,-3.0727363,,Right Foot,,,,"[49.0, 40.8]",Ground Pass,,11.627554,,,,Milan Badelj,6305.0,,,,,,1,From Kick Off,Mauro Matías Zárate,27853.0,Center Attacking Midfield,2,Fiorentina,239,['267e60f3-cae0-4a9b-8c91-25c54b768102'],1,,,,,,,,,,,,,,,,Fiorentina,239,00:00:01.238,Pass,
,,,,,,,,,,,,,,,,,,1.70519,,,,,,,,,,,,,ba7c3172-4235-4ad6-a16b-5268ba214c11,9,,"[47.8, 40.6]",3879848,0,,,,,-1.8604294,,Left Foot,,,,"[38.8, 10.4]",Ground Pass,,31.512537,,,,Davide Astori,8275.0,,,,,,1,From Kick Off,Milan Badelj,6305.0,Center Defensive Midfield,2,Fiorentina,239,['943024a9-497e-4be0-acdd-7135f203b8ef'],2,,,,,,,,,,,,,,,,Fiorentina,239,00:00:02.673,Pass,
,,,,,,,,,,,,,,,,,,1.383436,,,,,,,,,,,,,59cea0f3-5880-4fa9-8365-f64ae68799ad,12,,"[41.5, 10.5]",3879848,0,,,,,-0.6337927,,Left Foot,,,,"[49.8, 4.4]",Ground Pass,,10.300486,,,,Marcos Alonso Mendoza,3964.0,,,,,,1,From Kick Off,Davide Astori,8275.0,Left Center Back,2,Fiorentina,239,['efcd44ac-162f-4736-bac5-4de7923d052d'],5,,,,,,,,,,,,,,,,Fiorentina,239,00:00:05.534,Pass,
