50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f2035bb0-06e6-4a6f-84f2-3f8436819995,1,,,3879623,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 28}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 7125, 'name': 'Khouma El Hadji Babacar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0898d10c-89de-4c79-b832-4585e2b6eb9b,2,,,3879623,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 8664, 'name': 'Andrea Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 8187, 'name': 'Marcel Büchel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 22041, 'name': 'Marko Livaja'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 39}, {'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e970f401-a861-4e94-9a0b-2b1958dd89cb,3,,,3879623,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['28bdb8e5-5f62-477f-a000-5db72721d078'],0,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,28bdb8e5-5f62-477f-a000-5db72721d078,4,,,3879623,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['e970f401-a861-4e94-9a0b-2b1958dd89cb'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9bf855e2-9b55-4acc-9405-ca50e0d43b91,1833,,,3879623,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Empoli,290,['d418a3a4-f915-4063-91d1-53d74a8779c8'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d418a3a4-f915-4063-91d1-53d74a8779c8,1834,,,3879623,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Empoli,290,['9bf855e2-9b55-4acc-9405-ca50e0d43b91'],0,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.574804,,,,,,,,,,,,54c11ff0-30d7-449e-b906-14a6faf4e7bf,5,,"[60.0, 40.0]",3879623,0,True,,,2.0899425,,Right Foot,,,"[59.6, 40.7]",,Ground Pass,,0.8062258,,,,Marko Livaja,22041.0,,,,,Kick Off,1,From Kick Off,Massimo Maccarone,40252.0,Left Center Forward,2,Empoli,290,['72cde8ac-04f7-485f-9b37-42e515d6f7cb'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.404,Pass,
,,,,,,,,,,,,,,,,,,1.00921,,,,,,,,,,,,445a955d-1bc8-45ba-8dcd-54fc1b5b3788,7,,"[59.3, 40.7]",3879623,0,,,,-2.9971511,,Right Foot,,,"[48.3, 39.1]",,Ground Pass,,11.115754,,,,Leandro Daniel Paredes,16308.0,,,,,,1,From Kick Off,Marko Livaja,22041.0,Right Center Forward,2,Empoli,290,['6aca5447-cacc-43fe-9ee5-e94afc9b66c6'],1,,,,,,,,,,,,,,,,,Empoli,290,00:00:01.081,Pass,
,,,,,,,,,,,,,,,,,,2.056076,,,,,,,,,,,,b632d9e3-86cd-4499-9b3f-8fd67468a9d7,11,,"[47.5, 39.9]",3879623,0,,,,0.7286031,,Right Foot,,,"[79.1, 68.1]",,High Pass,,42.353275,,,,Riccardo Saponara,7150.0,,,,,,1,From Kick Off,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,2,Empoli,290,"['69ddcae1-f5ca-4eb3-8fe1-bc82ee5946b9', 'd8cc2d48-c253-4f46-8ef2-e3ff1719fbb1']",3,,,,,,,,,,,,,,,,,Empoli,290,00:00:03.271,Pass,True
,,,,,,,,,,,,,,,,,,2.655841,,,,,,,,,,,,fc4fe331-ff02-41f4-b87e-5d2750ec1857,16,,"[27.0, 29.0]",3879623,0,,,,0.28590932,,Left Foot,,,"[65.1, 40.2]",,High Pass,,39.71209,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Gonzalo Javier Rodríguez,25931.0,Center Back,2,Empoli,290,['433ced60-76b0-4295-949b-9b2a3efd6fa1'],7,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:07.270,Pass,
