50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.189334,,,,,,,,,,,,,06d44d46-7474-4d72-bf3e-1db00930b71c,15,,"[35.6, 20.8]",3879581,0,,,,-1.9410524,,Right Foot,,,,"[29.7, 5.6]",,Ground Pass,,16.304907,,,,,Faouzi Ghoulam,8876.0,,,,,,1,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,3,Napoli,227,['eabea95d-3edc-4a25-8246-ff41d46df67b'],6,,,,,,,,,,,,,,,,,Napoli,227,00:00:06.642,Pass,
,,,,,,,,,,,,,,,,0.683796,,,,,,,,,,,,,e6daee18-bb56-4c0f-8ebf-7c1f6717f5ad,19,,"[40.4, 4.4]",3879581,0,,,,-0.088874176,,Left Foot,,,,"[50.5, 3.5]",,Ground Pass,,10.140019,,,,,Lorenzo Insigne,7037.0,,,,,,1,Regular Play,Faouzi Ghoulam,8876.0,Left Back,3,Napoli,227,"['1f877e83-490d-4266-b303-0ec2c0194553', 'c26174ea-be51-4490-a874-88ccc21be1a0']",9,,,,,,,,,,,,,,,,,Napoli,227,00:00:09.944,Pass,True
,,,,,,,,,,,,,,,,0.79509,,,,,,,,,,,,,c330ee43-9149-4630-9ae9-9f381334a9ac,22,,"[50.5, 3.5]",3879581,0,,,,2.2126112,,Right Foot,,,,"[43.4, 13.0]",,Ground Pass,,11.860017,,,,,Jorge Luiz Frello Filho,7024.0,,,,,,1,Regular Play,Lorenzo Insigne,7037.0,Left Wing,3,Napoli,227,['bd2c6032-ca85-43bb-bfff-a2d65e55ac3c'],10,,,,,,,,,,,,,,,,,Napoli,227,00:00:10.668,Pass,
,,,,,,,,,,,,,,,,0.518761,,,,,,,,,,,,,f8cfe3a8-4f5f-4640-aef0-1ba93d328eec,25,,"[43.4, 12.6]",3879581,0,,,,-1.6384894,,Right Foot,,,,"[43.0, 6.7]",,Ground Pass,,5.9135437,,,,,Faouzi Ghoulam,8876.0,,,,,,1,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,3,Napoli,227,['1b549d17-5e68-493a-a458-cf7df11bd88e'],11,,,,,,,,,,,,,,,,,Napoli,227,00:00:11.503,Pass,
,,,,,,,,,,,,,,,,1.195431,,,,,,,,,,,,,a0b3268b-2110-4d35-8840-a664ee3473f4,28,,"[43.0, 6.7]",3879581,0,,,,2.6349006,,Left Foot,,,,"[22.1, 18.3]",,High Pass,,23.903347,,,,,Kalidou Koulibaly,5675.0,,,,,,1,Regular Play,Faouzi Ghoulam,8876.0,Left Back,3,Napoli,227,['af6a8a51-cfd3-45ad-a7cb-cdf9dc44d911'],12,,,,,,,,,,,,,,,,,Napoli,227,00:00:12.102,Pass,
,,,,,,,,,,,,,,,,0.954773,,,,,,,,,,,,,15acf3b4-a0cf-41d3-b8a6-c57fab99d0c7,32,,"[21.4, 23.6]",3879581,0,,,,0.5637486,,Right Foot,,,,"[30.1, 29.1]",,Ground Pass,,10.292716,,,,,Jorge Luiz Frello Filho,7024.0,,,,,,1,Regular Play,Kalidou Koulibaly,5675.0,Left Center Back,3,Napoli,227,"['377fd8fa-372d-4462-8320-fbaf6c406664', '5fa17447-cec3-4315-b29d-910bd24d956d']",15,,,,,,,,,,,,,,,,,Napoli,227,00:00:15.106,Pass,True
,,,,,,,,,,,,,,,,1.095439,,,,,,,,,,,,,e7e495ad-e298-4798-8a48-a2e2e315e6d3,36,,"[30.1, 29.1]",3879581,0,,,,-0.12576942,,Left Foot,,,,"[38.8, 28.0]",,Ground Pass,,8.769264,,,,,Marek Hamšík,7025.0,,,,,,1,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,3,Napoli,227,"['a3d893e3-08bf-404f-9aca-d9be3bf07352', 'b95e12f7-2693-463f-8b3c-68a08c30312e']",17,,,,,,,,,,,,,,,,,Napoli,227,00:00:17.594,Pass,True
,,,,,,,,,,,,,,,,1.651865,,,,,,,,,,,,,2daa4ea6-1bb0-4e18-8ff1-f40f46ad0aad,39,,"[38.8, 28.0]",3879581,0,,,,2.8316858,,Right Foot,,,,"[21.0, 33.7]",,Ground Pass,,18.690372,,,,,Raúl Albiol i Tortajada,7030.0,,,,,,1,Regular Play,Marek Hamšík,7025.0,Left Center Midfield,3,Napoli,227,['e6b783b7-2268-48cb-bb3e-dbd281168d98'],18,,,,,,,,,,,,,,,,,Napoli,227,00:00:18.809,Pass,
,,,,,,,,,,,,,,,,1.25494,,,,,,,,,,,,,34117bef-04a3-4781-a039-cc87ddbdb49b,42,,"[20.8, 36.6]",3879581,0,,,,0.26931247,,Right Foot,,,,"[42.9, 42.7]",,Ground Pass,,22.926403,,,,,Allan Marques Loureiro,7035.0,,,,,,1,Regular Play,Raúl Albiol i Tortajada,7030.0,Right Center Back,3,Napoli,227,['da2f6043-90ef-4556-890e-f745160603d6'],21,,,,,,,,,,,,,,,,,Napoli,227,00:00:21.471,Pass,
,,,,,,,,,,,,,,,,3.025084,,,,,,,,,,,,,964aff40-2bbb-4dbd-89e7-a6c6252b60c5,45,,"[42.9, 42.7]",3879581,0,,,,1.7906785,,Right Foot,,,,"[35.1, 77.6]",,Ground Pass,,35.761013,,,,,Elseid Hysaj,7031.0,,,,,,1,Regular Play,Allan Marques Loureiro,7035.0,Right Center Midfield,3,Napoli,227,['0f321f21-5a4f-4428-a5db-c3f388713d0d'],22,,,,,,,,,,,,,,,,,Napoli,227,00:00:22.766,Pass,
