50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,88c0f3cb-332f-4f7b-bc1e-44f8afb9a01c,1,,,3879818,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 8873, 'name': 'Marios Oikonomou'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 8849, 'name': 'Domenico Maietta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 399299, 'name': 'Kévin Constant'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 45591, 'name': 'Franco Brienza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 11729, 'name': 'Luca Rizzo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6948, 'name': 'Sergio Floccari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,128c9fc9-bf2c-43a3-baf7-eefc88a71e8d,2,,,3879818,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40427, 'name': 'Cesare Bovo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6965, 'name': 'Bruno da Silva Peres'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 33}, {'player': {'id': 7479, 'name': 'Cristian Molinaro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7465, 'name': 'Daniele Baselli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7470, 'name': 'Joel Chukwuma Obi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 12619, 'name': 'Josef Alexander Martínez Mencia'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Torino,241,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4550d2c7-e343-47bc-9dbf-8d40b4bc663e,3,,,3879818,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['f97cc059-3b0b-415c-9a80-7ce113072fb7'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,f97cc059-3b0b-415c-9a80-7ce113072fb7,4,,,3879818,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['4550d2c7-e343-47bc-9dbf-8d40b4bc663e'],0,,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9f1baa3b-3658-4e36-b637-28a3e47619df,1985,,,3879818,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Torino,241,['6dc89e0b-662c-4ca1-94d9-78a9e55616b7'],0,,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,6dc89e0b-662c-4ca1-94d9-78a9e55616b7,1986,,,3879818,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Torino,241,['9f1baa3b-3658-4e36-b637-28a3e47619df'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.475144,,,,,,,,,,,,,,,,cddf6db2-b643-49a9-9431-8f0537ab4534,5,,"[60.0, 40.0]",3879818,0,,True,,,-1.7294515,,Right Foot,,,"[59.6, 37.5]",Ground Pass,,2.531798,,,,Franco Brienza,45591.0,,,,,Kick Off,1,From Kick Off,Luca Rizzo,11729.0,Right Wing,2,Bologna,240,['dfa630e6-27a1-4f7b-b797-70f2725eaf4b'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.100,Pass,
,,,,,,,,,,,,,,,,,,,1.617804,,,,,,,,,,,,,,,,4b8f8850-3e46-404a-891e-621afa061d02,7,,"[59.5, 36.9]",3879818,0,,,,,3.0977185,,Left Foot,,,"[39.0, 37.8]",Ground Pass,,20.519747,,,,Domenico Maietta,8849.0,,,,,,1,From Kick Off,Franco Brienza,45591.0,Left Center Midfield,2,Bologna,240,['553dd775-485e-4c79-969e-c5aa3cb46896'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.615,Pass,
,,,,,,,,,,,,,,,,,,,0.842398,,,,,,,,,,,,,,,,55721bd9-6c95-49bb-9fa9-e91c559b7418,9,,"[39.0, 37.8]",3879818,0,,,,,2.3825042,,Right Foot,,,"[35.1, 41.5]",Ground Pass,,5.375872,,,,Luca Rossettini,7142.0,,,,,,1,From Kick Off,Domenico Maietta,8849.0,Left Center Back,2,Bologna,240,['8e383ff9-468f-4b4b-8db9-d0965750bb4b'],2,,,,,,,,,,,,,,,,,,Bologna,240,00:00:02.232,Pass,
,,,,,,,,,,,,,,,,,,,3.320628,,,,,,,,,,,,,,,,5ec66b3a-bc4c-4327-aba6-c116ad973d11,11,,"[35.1, 41.5]",3879818,0,,,,,-0.38700202,,Right Foot,,,"[85.4, 21.0]",High Pass,,54.31703,,,,Sergio Floccari,6948.0,,,,,,1,From Kick Off,Luca Rossettini,7142.0,Right Center Back,2,Bologna,240,['5619f737-9ee2-4e85-8329-c651547d56ff'],3,,,,,,,,,,,,,,,,,,Bologna,240,00:00:03.075,Pass,
