50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.367288,,,,,,,,,,,,,,7ff34f75-843c-4776-9d2a-b91983dc3772,16,,"[41.9, 29.9]",3878596,0,,,,,-1.2398233,,Right Foot,,,,"[49.7, 7.2]",,Ground Pass,,24.002708,,,,Cristian Molinaro,7479.0,,,,,,1,From Kick Off,Kamil Glik,3034.0,Center Back,2,Torino,241,['da8d947b-956d-4851-b4f7-e5243e4b06e8'],12,,,,,,,,,,,,,,,,,,,Torino,241,00:00:12.860,Pass,
,,,,,,,,,,,,,,,,,,0.329767,,,,,,,,,,,,,,dd9a1621-491a-4be0-8300-8d8b3b6cd87e,19,,"[50.3, 6.8]",3878596,0,,,,,0.0,,Left Foot,,,,"[58.8, 6.8]",,Ground Pass,,8.5,,Incomplete,,Joel Chukwuma Obi,7470.0,,,,,,1,From Kick Off,Cristian Molinaro,7479.0,Left Center Back,2,Torino,241,"['1d06be1f-cec1-486e-8102-21fe08962660', '7a0ecd19-4d75-4094-8942-ea94304313ec']",15,,,,,,,,,,,,,,,,,,,Torino,241,00:00:15.585,Pass,
,,,,,,,,,,,,,,,,,,2.436922,,,,,,,,,,,,,,ee7638e2-056b-4883-85a6-2584ccc3cc77,27,,"[46.5, 80.0]",3878596,0,,,,,-2.4281852,,,,,,"[24.2, 60.7]",,Low Pass,,29.492033,,,,Rafael Márquez Álvarez,5558.0,,,,,Throw-in,1,From Throw In,Eros Pisano,11342.0,Right Back,4,Hellas Verona,226,['860671f0-d555-4339-9180-1d1000a987a3'],27,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:27.367,Pass,
,,,,,,,,,,,,,,,,,,1.975948,,,,,,,,,,,,,,710b8660-a9e8-4107-be9a-434a6af331e7,30,,"[25.9, 60.7]",3878596,0,,,,,-1.3091393,,Right Foot,,,,"[33.8, 31.2]",,Ground Pass,,30.539482,,,,Vangelis Moras,31488.0,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Hellas Verona,226,['d6e74132-6dc0-437b-9c87-835c248c60ac'],31,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:31.558,Pass,
,,,,,,,,,,,,,,,,,,1.740468,,,,,,,,,,,,,,bbb2e291-aa05-4051-b2cd-218b5495a84b,33,,"[43.4, 26.5]",3878596,0,,,,,-1.0694726,,Right Foot,,,,"[53.1, 8.8]",,Ground Pass,,20.183657,,,,Samuel Souprayen,7695.0,,,,,,1,From Throw In,Vangelis Moras,31488.0,Left Center Back,4,Hellas Verona,226,['627cf517-73b7-473b-b8b2-87529bf80e90'],35,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:35.841,Pass,
,,,,,,,,,,,,,,,,,,1.244328,,,,,,,,,,,,,,012a6cee-fbe3-46ca-abf0-77f89a6dad05,36,,"[53.1, 8.4]",3878596,0,,,,,1.6512673,,Left Foot,,,,"[51.6, 27.0]",,Ground Pass,,18.660385,,,,Federico Viviani,7770.0,,,,,,1,From Throw In,Samuel Souprayen,7695.0,Left Back,4,Hellas Verona,226,['b42b4bbe-c398-49d8-8739-6bfa00b82cc8'],38,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:38.772,Pass,
,,,,,,,,,,,,,,,,,,2.423152,,,,,,,,,,,,,,5e463425-9c6a-4860-998d-291589a96b57,39,,"[50.7, 30.1]",3878596,0,,,,,1.3966138,,Right Foot,,,,"[58.9, 76.7]",,Ground Pass,,47.31596,,,,Eros Pisano,11342.0,,True,,,,1,From Throw In,Federico Viviani,7770.0,Center Defensive Midfield,4,Hellas Verona,226,['c9650caa-60bf-428e-afa3-f97f9c2846eb'],41,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:41.597,Pass,
,,,,,,,,,,,,,,,,,,1.14509,,,,,,,,,,,,,,715c2cee-8293-4769-b3f8-8becbb65ed9e,43,,"[64.2, 77.0]",3878596,0,,,,,0.047810428,,Right Foot,,,,"[85.1, 78.0]",,Ground Pass,,20.92391,,Incomplete,,Jacopo Sala,7020.0,,,,,,1,From Throw In,Eros Pisano,11342.0,Right Back,4,Hellas Verona,226,"['3813b94a-231f-402f-8070-d90ad2e0d3a3', 'cde434cd-4d22-4f73-b3fc-8ee1ad2ef47b', 'd69154e9-87df-4dc2-9145-61d0c4bf8014']",46,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:46.540,Pass,True
,,,,,,,,,,,,,,,,,,1.351046,,,,,,,,,,,,,,f2d904bc-a49b-47ed-b302-46cdd8b5b5c8,46,,"[79.9, 80.0]",3878596,0,,,,,-0.55011225,,,,,,"[98.0, 68.9]",,High Pass,,21.232523,,Incomplete,,Luca Siligardi,11494.0,,,,,Throw-in,1,From Throw In,Eros Pisano,11342.0,Right Back,5,Hellas Verona,226,"['caa9f66c-8a66-42e9-a201-896b32e64ef3', 'ea687db2-9362-4f79-8b8b-c21eb9bc1718']",58,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:58.158,Pass,
,,,,,,,,,,,,,,,,,,0.585709,,,,,,,,,,,,,,5c6eef42-9869-4218-8b8a-04c84e41003d,52,,"[88.5, 62.0]",3878596,1,,,,,-2.4370985,,Left Foot,,,,"[84.5, 58.6]",,Ground Pass,,5.249762,,,,Federico Viviani,7770.0,,,,,,1,From Throw In,Luca Toni,20252.0,Center Forward,5,Hellas Verona,226,"['35b525f2-863d-46de-b282-c3fd3f67f5a9', 'e9da188f-b256-4038-aaac-3f8ce404b5aa']",2,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:02.814,Pass,True
