50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,72a5d9ac-8743-443f-8c4b-dc54cee30bbd,1,,,3879631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7041, 'name': 'Nicola Rigoni'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 56}, {'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 43}, {'player': {'id': 11643, 'name': 'Riccardo Meggiorini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 69}]}",Chievo,231,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9234dd05-29db-4453-b4cd-edb1b8613584,2,,,3879631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 89}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 77}, {'player': {'id': 37999, 'name': 'Rodrigo Sebastián Aguirre Soto'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 74}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d6d888f7-e05c-4ed9-b34e-8ff44e5b4f88,3,,,3879631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,['c34c4621-54d2-48ac-a59b-f5a87f389f78'],0,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c34c4621-54d2-48ac-a59b-f5a87f389f78,4,,,3879631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,['d6d888f7-e05c-4ed9-b34e-8ff44e5b4f88'],0,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0dd1dd98-c84c-452e-b47c-40923a67e392,1586,,,3879631,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Udinese,230,['006facec-2fd3-477b-8fda-7d6aef8b4cb2'],0,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,006facec-2fd3-477b-8fda-7d6aef8b4cb2,1587,,,3879631,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Udinese,230,['0dd1dd98-c84c-452e-b47c-40923a67e392'],0,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.414386,,,,,,,,,,,,,,2852c6bf-1a30-45fb-aa8e-e3fc9a884249,5,,"[61.0, 40.1]",3879631,0,,,,,-2.9441972,,Right Foot,,,,"[60.0, 39.9]",,Ground Pass,,1.0198039,,,,Cyril Théréau,8272.0,,,,,,Kick Off,1,From Kick Off,Rodrigo Sebastián Aguirre Soto,37999.0,Left Center Forward,2,Udinese,230,['64dea435-750f-4fa2-b39e-83b05c5f97b4'],0,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.278,Pass,
,,,,,,,,,,,,,,,,,1.00005,,,,,,,,,,,,,,48519aa1-cfa5-491c-816e-8fad652ce129,8,,"[58.7, 39.7]",3879631,0,,,,,2.6037571,,Left Foot,,,,"[47.3, 46.5]",,Low Pass,,13.2740345,,,,Francesco Lodi,40367.0,,,,,,,1,From Kick Off,Cyril Théréau,8272.0,Right Center Forward,2,Udinese,230,['3a3983a5-9aeb-4d61-a31c-86c5d8853470'],1,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:01.520,Pass,
,,,,,,,,,,,,,,,,,2.647528,,,,,,,,,,,,,,97c43224-e3f9-4435-9e80-40834d305880,11,,"[47.3, 46.5]",3879631,0,,,,,2.1606803,,Left Foot,,,,"[30.9, 71.0]",,Ground Pass,,29.482368,,,,Iván Rodrigo Piris Leguizamón,46670.0,,,,,,,1,From Kick Off,Francesco Lodi,40367.0,Center Defensive Midfield,2,Udinese,230,['d10d510e-de0d-41ac-bcb7-ff5bfaa0439d'],2,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:02.641,Pass,
,,,,,,,,,,,,,,,,,1.484066,,,,,,,,,,,,,,13ec18e1-6f8d-4046-8eca-821128f82f32,15,,"[31.7, 70.0]",3879631,0,,,,,0.6670116,,Right Foot,,,,"[44.4, 80.0]",,Ground Pass,,16.164467,,Out,,Silvan Widmer,7796.0,,,,,,,1,From Kick Off,Iván Rodrigo Piris Leguizamón,46670.0,Right Center Back,2,Udinese,230,"['5005ce4a-52a9-4793-a963-de87ec08f830', 'e7ceddd3-9962-484f-80e3-cf6b5915632d']",5,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:05.937,Pass,True
