50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1206ad14-4f66-4b9d-9667-3ac1e164bb1a,1,,,3879598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6984, 'name': ""Danilo D''Ambrosio""}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 55}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 44}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 32807, 'name': 'Fredy Alejandro Guarín Vásquez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 3434, 'name': 'Stevan Jovetić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b63b5e86-0e4e-4af8-8a68-ad7237d22686,2,,,3879598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AS Roma,229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,69fe8fa7-e7e6-4f64-bc17-b1134f5c1ef8,3,,,3879598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['706bd337-74f0-405d-8777-f22a7ef98523'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,706bd337-74f0-405d-8777-f22a7ef98523,4,,,3879598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['69fe8fa7-e7e6-4f64-bc17-b1134f5c1ef8'],0,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eda2052f-de97-4204-b0b7-25c037621504,1887,,,3879598,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,AS Roma,229,['9fcd1bb0-2ea8-429c-966c-88552cd37088'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9fcd1bb0-2ea8-429c-966c-88552cd37088,1888,,,3879598,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,AS Roma,229,['eda2052f-de97-4204-b0b7-25c037621504'],0,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.250167,,,,,,,,,,,,,82452e51-01f8-4de3-9562-fbed4590e9ad,5,,"[60.0, 40.0]",3879598,0,,,,,-2.9204626,,Right Foot,,,,"[47.1, 37.1]",,Ground Pass,,13.2219515,,,,,Gary Alexis Medel Soto,16453.0,,,,,,Kick Off,1,From Kick Off,Ivan Perišić,5474.0,Right Midfield,2,Inter Milan,238,['2f4b6a08-45a7-4956-af4e-6ffde04f7666'],1,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:01.695,Pass,
,,,,,,,,,,,,,,,,,,1.37939,,,,,,,,,,,,,e63e3d4c-71ca-47e9-a7ce-d48f219491dc,8,,"[46.5, 37.8]",3879598,0,,,,,2.4636507,,Left Foot,,,,"[27.5, 53.1]",,Ground Pass,,24.394466,,,,,João Miranda de Souza Filho,5551.0,,,,,,,1,From Kick Off,Gary Alexis Medel Soto,16453.0,Center Defensive Midfield,2,Inter Milan,238,['d8f7121d-b94a-475d-9846-43b7cdf415df'],3,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:03.774,Pass,
,,,,,,,,,,,,,,,,,,2.12915,,,,,,,,,,,,,8e80977a-bbb4-497b-9166-77f4e63ad5d2,11,,"[32.0, 57.4]",3879598,0,,,,,0.25340712,,Right Foot,,,,"[71.0, 67.5]",,High Pass,,40.2866,,,,,Ivan Perišić,5474.0,,,,,,,1,From Kick Off,João Miranda de Souza Filho,5551.0,Right Center Back,2,Inter Milan,238,['8ea124d4-8d51-42a1-9587-dc4e4cc74264'],7,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:07.451,Pass,
,,,,,,,,,,,,,,,,,,2.850785,,,,,,,,,,,,,a4c1d828-080f-4a8f-9eef-532f97fa0c54,13,,"[71.0, 67.5]",3879598,0,,,,True,0.3173646,,,,,,"[84.7, 72.0]",,High Pass,,14.420125,,,Incomplete,,Stevan Jovetić,3434.0,,,,,,,1,From Kick Off,Ivan Perišić,5474.0,Right Midfield,2,Inter Milan,238,"['4a5c3757-e984-41a3-b2a2-3f8e63fc477d', '5daae93f-33fa-439b-b88a-497961fed7f8', 'c87499a8-cd0f-4ba3-8f71-979d23bbe3a1']",9,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:09.621,Pass,True
