50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,329b62a2-5cfa-4e56-a1a5-152ca515a0db,1,,,,3879542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 32807, 'name': 'Fredy Alejandro Guarín Vásquez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 44}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,666ad143-026a-4d52-8db0-dd30eb465a95,2,,,,3879542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 9887, 'name': 'Rafael de Andrade Bittencourt Pinheiro'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 18}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 386650, 'name': 'Michelangelo Albertazzi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 6}, {'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7020, 'name': 'Jacopo Sala'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 6686, 'name': 'Giampaolo Pazzini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 386651, 'name': 'Juan Ignacio Gómez Taleb'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,254700d7-2fbe-4fdc-a5ad-cf4bb3071ac6,3,,,,3879542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['6b7da9b9-b3d6-459e-86cf-50af969a8415'],0,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6b7da9b9-b3d6-459e-86cf-50af969a8415,4,,,,3879542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['254700d7-2fbe-4fdc-a5ad-cf4bb3071ac6'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b675343e-e291-4fb2-84b2-0444e49fcc0f,1721,,,,3879542,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,88,Inter Milan,238,['b852ff29-8f79-4c53-89db-468d4a54c6a9'],0,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b852ff29-8f79-4c53-89db-468d4a54c6a9,1722,,,,3879542,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,88,Inter Milan,238,['b675343e-e291-4fb2-84b2-0444e49fcc0f'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.314338,,,,,,,,,,,,5f1bb39a-df92-4269-b12b-b9496092fc17,5,,,"[61.0, 40.1]",3879542,0,,,,,3.0890095,,Right Foot,,,,"[43.9, 41.0]",,Ground Pass,,17.123669,,,,Felipe Melo de Carvalho,25430.0,,,,,Kick Off,1,From Kick Off,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,2,Inter Milan,238,['19d116ea-ee7a-4c91-9668-b3c23491d0a9'],0,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.786,Pass,
,,,,,,,,,,,,,,,,,0.821898,,,,,,,,,,,,eb30df7b-4ee0-46de-beab-b98f119d1ed3,8,,,"[44.1, 41.7]",3879542,0,,,,,-1.7787548,,Right Foot,,,,"[41.8, 30.8]",,Ground Pass,,11.1400175,,,,Geoffrey Kondogbia,6589.0,,,,,,1,From Kick Off,Felipe Melo de Carvalho,25430.0,Center Defensive Midfield,2,Inter Milan,238,['3858e602-22b6-442f-8a93-6982de04e663'],4,,,,,,,,,,,,,,,,Inter Milan,238,00:00:04.379,Pass,
,,,,,,,,,,,,,,,,,1.422218,,,,,,,,,,,,dba0e692-dd99-4fd9-a4f8-b010061bffcf,11,,,"[43.9, 24.6]",3879542,0,,,,,-0.9529306,,Left Foot,,,,"[55.2, 8.7]",,Ground Pass,,19.506409,,,,Alex Nicolao Telles,11183.0,,,,,,1,From Kick Off,Geoffrey Kondogbia,6589.0,Left Center Midfield,2,Inter Milan,238,['952fa1cb-3200-4486-8a2f-9be407d84db2'],6,,,,,,,,,,,,,,,,Inter Milan,238,00:00:06.247,Pass,
,,,,,,,,,,,,,,,,,1.972911,,,,,,,,,,,,787107d6-e128-4f99-9583-3cb140e97235,14,,,"[55.9, 6.6]",3879542,0,,,,,2.3092072,,Left Foot,,,,"[40.7, 23.3]",,Ground Pass,,22.581629,,,,Gary Alexis Medel Soto,16453.0,,,,,,1,From Kick Off,Alex Nicolao Telles,11183.0,Left Back,2,Inter Milan,238,['ca7134f4-d586-4afe-a0cc-74c8d98e8eab'],11,,,,,,,,,,,,,,,,Inter Milan,238,00:00:11.432,Pass,
