50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c2df86ea-162a-498a-aa5d-e787f675ae83,1,,,3879730,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 386650, 'name': 'Michelangelo Albertazzi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 7705, 'name': 'Mohamed Salim Fares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 93}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6686, 'name': 'Giampaolo Pazzini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dbef1499-3217-4436-ab8a-1142080b19d4,2,,,3879730,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 55}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,67615c99-694e-46f6-b65e-6206a0e5a631,3,,,3879730,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['fab9cede-ffdb-4daf-ad98-162157d55430'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fab9cede-ffdb-4daf-ad98-162157d55430,4,,,3879730,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['67615c99-694e-46f6-b65e-6206a0e5a631'],0,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8b7abd0e-4b55-4c9e-bda9-47c852ec4246,1644,,,3879730,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Inter Milan,238,['87d0443a-a8af-461e-a8ea-f18b226a3132'],0,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,87d0443a-a8af-461e-a8ea-f18b226a3132,1645,,,3879730,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Inter Milan,238,['8b7abd0e-4b55-4c9e-bda9-47c852ec4246'],0,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.342056,,,,,,,,,,,,19d8b561-a86e-43a6-b915-129ff125a56c,5,,"[61.0, 40.1]",3879730,0,,,,,2.203545,,Right Foot,,,"[58.8, 43.1]",,Ground Pass,,3.720215,,,,,Mauro Emanuel Icardi Rivero,6987.0,,,,,Kick Off,1,From Kick Off,Eder Citadin Martins,7000.0,Left Wing,2,Inter Milan,238,['e7d65710-0fb9-4bad-9674-c724ec6e62d6'],1,,,,,,,,,,,,,,,,Inter Milan,238,00:00:01.351,Pass,
,,,,,,,,,,,,,,,,,,0.620799,,,,,,,,,,,,0bd21383-4c3a-43cb-b6d0-5b7f5141e203,8,,"[58.8, 42.9]",3879730,0,,,,,-2.806856,,Right Foot,,,"[49.6, 39.7]",,Ground Pass,,9.740637,,,,,Geoffrey Kondogbia,6589.0,,,,,,1,From Kick Off,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,2,Inter Milan,238,['b573f6d1-c26a-426a-a83c-8fdbc4f238a6'],2,,,,,,,,,,,,,,,,Inter Milan,238,00:00:02.154,Pass,
,,,,,,,,,,,,,,,,,,1.878767,,,,,,,,,,,,0ed6c2bd-ac25-43cd-ac32-aaf557cf3bc7,11,,"[48.0, 38.1]",3879730,0,,,,,-1.7741709,,Left Foot,,,"[42.7, 12.4]",,Ground Pass,,26.240808,,,,,Alex Nicolao Telles,11183.0,,,,,,1,From Kick Off,Geoffrey Kondogbia,6589.0,Left Center Midfield,2,Inter Milan,238,['0b17d3af-4026-4441-8798-8b74a9b577da'],3,,,,,,,,,,,,,,,,Inter Milan,238,00:00:03.737,Pass,
,,,,,,,,,,,,,,,,,,1.453134,,,,,,,,,,,,3be5bc5b-3bbe-40c1-b88c-fe10519cdb69,14,,"[42.9, 12.2]",3879730,0,,,,,2.454324,,Left Foot,,,"[32.3, 20.9]",,Ground Pass,,13.713133,,,,,Juan Guilherme Nunes Jesus,6969.0,,,,,,1,From Kick Off,Alex Nicolao Telles,11183.0,Left Back,2,Inter Milan,238,['042b1222-7cac-49be-b57b-7683ba38a24c'],7,,,,,,,,,,,,,,,,Inter Milan,238,00:00:07.350,Pass,
