50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,d7afb3ff-dda2-4917-a432-c89bb5bdd069,1,,,3879858,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 12475, 'name': 'Angelo Esmael da Costa Júnior'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 8873, 'name': 'Marios Oikonomou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 30745, 'name': 'Daniele Gastaldello'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 18027, 'name': 'Matteo Brighi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 40119, 'name': 'Juan Camilo Zúñiga Mosquera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 45591, 'name': 'Franco Brienza'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6948, 'name': 'Sergio Floccari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,6ccd464e-047a-4301-85e7-e459b21e7773,2,,,3879858,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7032, 'name': 'Davide Calabria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 96}, {'player': {'id': 20289, 'name': 'Philippe Mexès'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 8653, 'name': 'José Mauri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 21272, 'name': 'Luiz Adriano de Souza da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,f0405a05-eb04-44a4-bb3b-294712fb2ffc,3,,,3879858,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['22b14d9c-6a7e-4771-8978-22e9f754d89f'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,22b14d9c-6a7e-4771-8978-22e9f754d89f,4,,,3879858,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['f0405a05-eb04-44a4-bb3b-294712fb2ffc'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c21b570b-ecf4-4e73-b380-dc44e4ce0ba9,1679,,,3879858,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,AC Milan,243,['b36b603b-161d-4688-8160-b2353328f052'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b36b603b-161d-4688-8160-b2353328f052,1680,,,3879858,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,AC Milan,243,['c21b570b-ecf4-4e73-b380-dc44e4ce0ba9'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.475526,,,,,,,,,,,,,,,,c75c69d0-d9b4-4e70-a815-6c71afae2187,5,,"[61.0, 40.1]",3879858,0,,,,,-2.2513175,,Right Foot,,,,"[59.3, 38.0]",Ground Pass,,2.7018511,,,Franco Brienza,45591.0,,,,,Kick Off,1,From Kick Off,Sergio Floccari,6948.0,Center Forward,2,Bologna,240,['d74b4e72-7683-4b7a-9109-9b9d8c26fb6b'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.871,Pass,
,,,,,,,,,,,,,,,,2.403062,,,,,,,,,,,,,,,,acbe2d57-265e-4f78-93c7-8433425d6119,8,,"[60.8, 37.4]",3879858,0,,,,,-2.9841094,,Left Foot,,,,"[37.5, 33.7]",Ground Pass,,23.591948,,,Daniele Gastaldello,30745.0,,,,,,1,From Kick Off,Franco Brienza,45591.0,Center Attacking Midfield,2,Bologna,240,['f06f5621-b39e-4ab2-8092-a867f8900a21'],1,,,,,,,,,,,,,,,,Bologna,240,00:00:01.426,Pass,
,,,,,,,,,,,,,,,,1.702751,,,,,,,,,,,,,,,,05add275-9341-4355-b0e9-fb56ba473645,11,,"[37.1, 34.9]",3879858,0,,,,,1.9317424,,Right Foot,,,,"[31.4, 50.0]",Ground Pass,,16.140013,,,Marios Oikonomou,8873.0,,,,,,1,From Kick Off,Daniele Gastaldello,30745.0,Left Center Back,2,Bologna,240,['18abe0a6-03f8-4798-9492-b82b773a0e3b'],4,,,,,,,,,,,,,,,,Bologna,240,00:00:04.433,Pass,
,,,,,,,,,,,,,,,,2.581513,,,,,,,,,,,,,,,,f83b28e1-a92d-45f9-8a61-84d7e3b1f526,15,,"[32.6, 48.4]",3879858,0,,,,,-2.9093459,,Right Foot,,,,"[8.5, 42.7]",Ground Pass,,24.764894,,,Angelo Esmael da Costa Júnior,12475.0,,,,,,1,From Kick Off,Marios Oikonomou,8873.0,Right Center Back,2,Bologna,240,"['8c96ad63-186c-47aa-aa7e-59bd1f9d9d6e', '97486b1f-b74d-4db4-bba2-96d5a9099bbf']",6,,,,,,,,,,,,,,,,Bologna,240,00:00:06.218,Pass,True
