50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,77542f27-886e-4d23-b524-a4dc9714c081,1,,,3879629,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 387847, 'name': 'Leonardo Blanchard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 296873, 'name': 'Roberto Crivello'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20636, 'name': 'Mirko Gori'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23349, 'name': 'Paolo Sammarco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 23470, 'name': 'Luca Paganini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 11608, 'name': 'Danilo Soddimo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d6cab8fa-a578-44c5-8372-ac07e1a35e96,2,,,3879629,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 9887, 'name': 'Rafael de Andrade Bittencourt Pinheiro'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7695, 'name': 'Samuel Souprayen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 69}, {'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5512, 'name': 'Emil Hallfreðsson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 386651, 'name': 'Juan Ignacio Gómez Taleb'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,110bfd67-3796-439d-8736-c4ed15456090,3,,,3879629,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['bdb7d1d4-8009-4f18-a7b4-31fe50a7c988'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bdb7d1d4-8009-4f18-a7b4-31fe50a7c988,4,,,3879629,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['110bfd67-3796-439d-8736-c4ed15456090'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9e876d33-6f9c-4817-b792-6dfa5f0c1e57,1425,,,3879629,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,114,Hellas Verona,226,['19d13cc1-08f0-4975-b314-566aaa24b7e5'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,19d13cc1-08f0-4975-b314-566aaa24b7e5,1426,,,3879629,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,114,Hellas Verona,226,['9e876d33-6f9c-4817-b792-6dfa5f0c1e57'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.520184,,,,,,,,,,,,,,,a6ee8b64-af6d-4a50-9321-4aa273fa7b9e,5,,"[61.0, 40.1]",3879629,0,,,,-1.8269477,,Right Foot,,,"[59.9, 35.9]",,Ground Pass,,4.3416586,,,Juan Ignacio Gómez Taleb,386651.0,,,,,,Kick Off,1,From Kick Off,Luca Toni,20252.0,Center Forward,2,Hellas Verona,226,['066241e9-38db-44e5-9b7a-22c48a1a98f6'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.855,Pass,
,,,,,,,,,,,,,,,,,,0.961919,,,,,,,,,,,,,,,6f065297-ea8d-4d25-9a4a-9879c924fe19,7,,"[56.7, 37.2]",3879629,0,,,,2.5919507,,Left Foot,,,"[45.6, 44.0]",,Ground Pass,,13.017296,,,Federico Viviani,7770.0,,,,,,,1,From Kick Off,Juan Ignacio Gómez Taleb,386651.0,Left Wing,2,Hellas Verona,226,['3fb759bc-173f-4ce4-b817-f09ed1a7adc4'],1,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:01.376,Pass,
,,,,,,,,,,,,,,,,,,1.521824,,,,,,,,,,,,,,,50baa5f5-2f93-40cc-b981-92c90299b845,10,,"[45.8, 47.4]",3879629,0,,,,1.7829999,,Right Foot,,,"[40.5, 72.0]",,Ground Pass,,25.16446,,,Eros Pisano,11342.0,,,,,,,1,From Kick Off,Federico Viviani,7770.0,Center Defensive Midfield,2,Hellas Verona,226,['b9e5d08c-61ea-4fc2-90a8-c17470706674'],3,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:03.351,Pass,
,,,,,,,,,,,,,,,,,,2.878111,,,,,,,,,,,,,,,fe2af5a1-d8b0-43c8-8dc3-28524201523e,13,,"[41.3, 74.4]",3879629,0,,,,-0.3892156,,Right Foot,,,"[84.7, 56.6]",,High Pass,,46.90842,Incomplete,,Luca Toni,20252.0,,,,,,,1,From Kick Off,Eros Pisano,11342.0,Right Back,2,Hellas Verona,226,"['045d7234-5c08-4a32-bbd5-d386d9dc7cd4', '8ea2cc20-175e-4010-9740-e64e437c937e']",5,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:05.835,Pass,
