50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.251722,,,,,,,,,,,,,,,,16c14f7e-b66b-44cc-9eab-b098c1867d95,18,,"[9.6, 56.2]",3879839,0,,,,,-1.5620502,,Right Foot,,,,"[9.9, 21.9]",,Ground Pass,,34.30131,,,,,Daniele Rugani,6953.0,,,,,,1,Regular Play,Gianluigi Buffon,6949.0,Goalkeeper,3,Juventus,224,['cc86f327-64e3-4675-ba95-17fac6cb44ea'],12,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:12.221,Pass,
,,,,,,,,,,,,,,,,,,,1.383552,,,,,,,,,,,,,,,,267e60e4-c87c-4442-9d2e-a1d925b95360,21,,"[27.7, 18.6]",3879839,0,,,,,1.8951309,,Right Foot,,,,"[19.9, 41.8]",,Ground Pass,,24.47611,,,,,Leonardo Bonucci,7173.0,,,,,,1,Regular Play,Daniele Rugani,6953.0,Left Center Back,3,Juventus,224,['5ff2ca59-c3ce-4449-9c2f-08760392c700'],20,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:20.603,Pass,
,,,,,,,,,,,,,,,,,,,1.128241,,,,,,,,,,,,,,,,5008141d-1d33-406d-8fed-b6914ce31255,24,,"[27.7, 46.8]",3879839,0,,,,,1.8722054,,Left Foot,,,,"[21.7, 66.1]",,Ground Pass,,20.211136,,,,,Andrea Barzagli,6943.0,,,,,,1,Regular Play,Leonardo Bonucci,7173.0,Center Back,3,Juventus,224,['6548bd43-0407-455f-a4a0-139dcb650d0f'],25,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:25.500,Pass,
,,,,,,,,,,,,,,,,,,,1.818027,,,,,,,,,,,,,,,,a0264fff-64e7-4be9-8f9a-30d018a0a606,27,,"[21.7, 66.1]",3879839,0,,,,,-2.1286,,Right Foot,,,,"[7.6, 43.5]",,Ground Pass,,26.637754,,,,,Gianluigi Buffon,6949.0,,,,,,1,Regular Play,Andrea Barzagli,6943.0,Right Center Back,3,Juventus,224,['8ac439c3-41b4-40aa-a8e5-16dd5a7dfa28'],27,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:27.818,Pass,
,,,,,,,,,,,,,,,,,,,2.796097,,,,,,,,,,,,,,,,671c5e96-be14-48c0-8537-d7a773e033fa,29,,"[7.6, 43.5]",3879839,0,,,,,0.44301948,,Right Foot,,,,"[40.9, 59.3]",,High Pass,,36.858242,,,Incomplete,,Sami Khedira,5566.0,,,,,,1,Regular Play,Gianluigi Buffon,6949.0,Goalkeeper,3,Juventus,224,"['7c475fb9-7fc5-4b3a-8f7c-55f8e2be103e', '94aff4fc-5920-4a4c-aa9d-ab89fb4a85a6']",29,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:29.636,Pass,
,,,,,,,,,,,,,,,,,,,1.728804,,,,,,,,,,,,,,,,b1f13479-a72d-4651-9d45-db71b28512d2,34,,"[82.1, 21.1]",3879839,0,,,,,-1.8555268,,Left Foot,,,,"[77.3, 4.7]",,Ground Pass,,17.088007,,,,,Marcos Alonso Mendoza,3964.0,,,,,,1,Regular Play,Borja Valero Iglesias,6997.0,Left Defensive Midfield,4,Fiorentina,239,['3919f347-8af6-47c6-a2eb-403ba6fa7a12'],35,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:35.988,Pass,
,,,,,,,,,,,,,,,,,,,1.605847,,,,,,,,,,,,,,,,af53c0fe-8df5-4c70-9690-9362924e5ac3,37,,"[77.1, 4.3]",3879839,0,,,,,3.114653,,Left Foot,,,,"[43.7, 5.2]",,Ground Pass,,33.412125,,,,,Davide Astori,8275.0,,,,,,1,Regular Play,Marcos Alonso Mendoza,3964.0,Left Back,4,Fiorentina,239,['b9757621-83d3-4c11-b8a4-138874ffde5c'],39,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:39.085,Pass,
,,,,,,,,,,,,,,,,,,,1.973309,,,,,,,,,,,,,,,,4dbd78e0-b5c4-4001-b315-c02fa54bc6d3,40,,"[35.2, 5.7]",3879839,0,,,,,2.2834752,,Right Foot,,,,"[14.2, 30.0]",,Ground Pass,,32.116817,,,,,Anton Ciprian Tătărușanu,3112.0,,,,,,1,Regular Play,Davide Astori,8275.0,Left Center Back,4,Fiorentina,239,['9d230e28-ae8b-45af-b813-478c88fc5c7d'],42,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:42.942,Pass,
,,,,,,,,,,,,,,,,,,,1.532788,,,,,,,,,,,,,,,,87f41a1f-f9db-4b2a-be32-372fe213547c,43,,"[14.4, 29.5]",3879839,0,,,,,-1.2831665,,Right Foot,,,,"[21.5, 5.5]",,Ground Pass,,25.028185,,,,,Davide Astori,8275.0,,,,,,1,Regular Play,Anton Ciprian Tătărușanu,3112.0,Goalkeeper,4,Fiorentina,239,['ecffd038-7892-4425-9a09-e252a5c7d2c6'],44,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:44.979,Pass,
,,,,,,,,,,,,,,,,,,,1.425351,,,,,,,,,,,,,,,,bd5d0e26-ed1f-404f-b112-b227f36ce199,46,,"[29.5, 8.7]",3879839,0,,,,,0.34845734,,Left Foot,,,,"[55.1, 18.0]",,High Pass,,27.236923,,,,,Federico Bernardeschi,7777.0,,,,,,1,Regular Play,Davide Astori,8275.0,Left Center Back,4,Fiorentina,239,['e954c137-9771-467e-ae1c-554dd76f7db2'],49,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:49.830,Pass,
