50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7caf2e47-a3ab-4922-a1be-1a1cbadc104f,1,,,3879763,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 387417, 'name': 'Mattia Cassani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7962, 'name': 'Andrea Ranocchia'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 9884, 'name': 'Niklas Moisander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7473, 'name': 'Lorenzo De Silvestri'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 29}, {'player': {'id': 25505, 'name': 'José Rodolfo Pires Ribeiro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 8875, 'name': 'Ricardo Gabriel Álvarez'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 6822, 'name': 'Carlos Joaquín Correa'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7011, 'name': 'Fabio Quagliarella'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c193702e-018c-47c0-9e4b-3f4606b5b40b,2,,,3879763,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 8291, 'name': 'Arlind Afrim Ajeti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 93}, {'player': {'id': 387847, 'name': 'Leonardo Blanchard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 8661, 'name': 'Daniel Pavlovic'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 20636, 'name': 'Mirko Gori'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23349, 'name': 'Paolo Sammarco'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 386512, 'name': 'Alessandro Frara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 9898, 'name': 'Aleksandar Tonev'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0862e9c9-8c2f-424d-a9d4-fcb355aaf356,3,,,3879763,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['6ccb5391-3c79-4c19-b00e-fca41d16837e'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ccb5391-3c79-4c19-b00e-fca41d16837e,4,,,3879763,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['0862e9c9-8c2f-424d-a9d4-fcb355aaf356'],0,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e45d1085-ba59-40fa-ba88-a7fd7a8ca1a6,1482,,,3879763,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Frosinone,291,['95cfc4d2-ebac-484d-b2f4-4bd16fecf8c0'],0,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,95cfc4d2-ebac-484d-b2f4-4bd16fecf8c0,1483,,,3879763,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Frosinone,291,['e45d1085-ba59-40fa-ba88-a7fd7a8ca1a6'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.409119,,,,,,,,,,,,,bf609273-a75a-464e-92c4-3c4b03b9951f,5,,"[61.0, 40.1]",3879763,0,,,,,1.6951513,,Right Foot,,,,"[60.3, 45.7]",,Ground Pass,,5.6435804,,,,Ricardo Gabriel Álvarez,8875.0,,,,,,Kick Off,1,From Kick Off,Fabio Quagliarella,7011.0,Center Forward,2,Sampdoria,234,['e20382e8-613a-4a03-8904-e639fcf027fa'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.849,Pass,
,,,,,,,,,,,,,,,,,,,,2.177357,,,,,,,,,,,,,c5125678-577f-4ffb-b0fe-65753af74457,8,,"[60.9, 44.8]",3879763,0,,,,,2.6896307,,Right Foot,,,,"[36.8, 56.5]",,Ground Pass,,26.789923,,,,Andrea Ranocchia,7962.0,,,,,,,1,From Kick Off,Ricardo Gabriel Álvarez,8875.0,Right Attacking Midfield,2,Sampdoria,234,['88df3126-3f57-453e-a522-edcbc2728bdc'],1,,,,,,,,,,,,,,,,Sampdoria,234,00:00:01.400,Pass,
,,,,,,,,,,,,,,,,,,,,3.101908,,,,,,,,,,,,,2f78e2b3-a28e-4565-ab61-5a0eadb667fd,11,,"[42.3, 57.7]",3879763,0,,,,,0.27500102,,Right Foot,,,,"[94.4, 72.4]",,High Pass,,54.134094,,,,Lorenzo De Silvestri,7473.0,,,,,,,1,From Kick Off,Andrea Ranocchia,7962.0,Center Back,2,Sampdoria,234,['6592f722-8a0f-4e44-8182-83f3414e365c'],5,,,,,,,,,,,,,,,,Sampdoria,234,00:00:05.155,Pass,
,,,,,,,,,,,,,,,,,,,,0.911446,,,,,,,,,,,,,a1a9915a-5aa6-4050-89b5-b1a8ef085b42,14,,"[94.4, 72.4]",3879763,0,,,,True,-1.2595166,,,,,,"[98.1, 60.9]",,High Pass,,12.080563,,Incomplete,,Fabio Quagliarella,7011.0,,,,,,,1,From Kick Off,Lorenzo De Silvestri,7473.0,Right Wing Back,2,Sampdoria,234,"['2df27795-4b1a-4cb8-a1f9-5731aee7c9cd', '7c2f17f3-de0d-4f5c-ae7c-3eca76dbc063', 'dfb6b7d6-97ad-4863-896f-51017b4bc9d4']",8,,,,,,,,,,,,,,,,Sampdoria,234,00:00:08.257,Pass,True
