50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1834aa9a-12b3-481a-938e-fcfbf0494692,1,,,,3879636,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 30941, 'name': 'Karim Laribi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 7113, 'name': 'Simone Missiroli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 92}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6948, 'name': 'Sergio Floccari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7efd49ff-cbe4-4d40-a84b-d04df55b6291,2,,,,3879636,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 32}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 11516, 'name': 'Manuel Pasqual'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 6305, 'name': 'Milan Badelj'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 7139, 'name': 'Josip Iličić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 72}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5f6939f9-b9f2-466f-84e3-7529a1cb3183,3,,,,3879636,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['8687c276-987a-4367-96ee-3bc85c20ca99'],0,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8687c276-987a-4367-96ee-3bc85c20ca99,4,,,,3879636,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['5f6939f9-b9f2-466f-84e3-7529a1cb3183'],0,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,168af5e0-236f-4f64-b45b-b322642a6508,1956,,,,3879636,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Fiorentina,239,['be6da827-6faf-4522-ae19-55af3c74da60'],0,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be6da827-6faf-4522-ae19-55af3c74da60,1957,,,,3879636,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Fiorentina,239,['168af5e0-236f-4f64-b45b-b322642a6508'],0,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.079998,,,,,,,,,,,,,af831747-54cf-4a26-b4d6-7bd9f8267cd8,5,,,"[60.0, 40.0]",3879636,0,,True,,,-0.85425466,,Right Foot,,,"[62.7, 36.9]",,Ground Pass,,4.110961,,,Sergio Floccari,6948.0,,,,,Kick Off,1,From Kick Off,Simone Missiroli,7113.0,Left Center Midfield,2,Sassuolo,232,['8ed6d6ec-385b-4888-b48b-3b118047f45f'],0,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.415,Pass,
,,,,,,,,,,,,,,,,,,,0.190563,,,,,,,,,,,,,de68fed8-7d6f-470a-97de-450587b3d561,7,,,"[63.1, 38.3]",3879636,0,,True,,,2.2794225,,Right Foot,,,"[61.9, 39.7]",,Ground Pass,,1.8439089,,,Simone Missiroli,7113.0,,,,,,1,From Kick Off,Sergio Floccari,6948.0,Center Forward,2,Sassuolo,232,['2559819d-9a69-48a5-8d3f-484207f1a4be'],0,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.679,Pass,
,,,,,,,,,,,,,,,,,,,3.327375,,,,,,,,,,,,,61f80bea-2eba-464b-bf50-5e8e923e3eb7,9,,,"[58.5, 40.5]",3879636,0,,,,,2.0477765,,Right Foot,,,"[43.1, 70.3]",,High Pass,,33.544003,,,Šime Vrsaljko,5461.0,,,,,,1,From Kick Off,Simone Missiroli,7113.0,Left Center Midfield,2,Sassuolo,232,['ae085fca-c137-47eb-ae8c-31676b3c1b4e'],1,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:01.975,Pass,
,,,,,,,,,,,,,,,,,,,2.447035,,,,,,,,,,,,,94bc1c81-3cdd-4ce1-9375-7481f8e59956,13,,,"[35.9, 69.9]",3879636,0,,,,,-2.2760096,,Left Foot,,,"[15.3, 45.7]",,Ground Pass,,31.780497,,,Andrea Consigli,7132.0,,,,,,1,From Kick Off,Šime Vrsaljko,5461.0,Right Back,2,Sassuolo,232,"['83e036a7-c081-4f09-bc94-d35d6b2b30e4', 'c3af5b83-175b-4595-9d66-95522041ea83']",6,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:06.711,Pass,True
