bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6864fc22-cabb-4833-98fc-c09336a9c71d,1,,,3879768,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7705, 'name': 'Mohamed Salim Fares'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 93}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,46b821a8-4e30-4724-bf75-912668506326,2,,,3879768,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 387417, 'name': 'Mattia Cassani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7962, 'name': 'Andrea Ranocchia'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 9884, 'name': 'Niklas Moisander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7473, 'name': 'Lorenzo De Silvestri'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 29}, {'player': {'id': 15318, 'name': 'Lazaros Christodoulopoulos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8875, 'name': 'Ricardo Gabriel Álvarez'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 19850, 'name': 'Antonio Cassano'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 99}, {'player': {'id': 7011, 'name': 'Fabio Quagliarella'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7c83ae3e-5b3f-4819-b49c-f7d2e80fcb0a,3,,,3879768,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['88b4337f-7bf7-4069-acdd-50dfae2468c3'],0,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,88b4337f-7bf7-4069-acdd-50dfae2468c3,4,,,3879768,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['7c83ae3e-5b3f-4819-b49c-f7d2e80fcb0a'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,087a178b-7325-42fc-adbe-342919916b6f,1866,,,3879768,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Sampdoria,234,['e36b2ffa-1ddd-43a4-ab0d-53ab1409c0a4'],0,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e36b2ffa-1ddd-43a4-ab0d-53ab1409c0a4,1867,,,3879768,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Sampdoria,234,['087a178b-7325-42fc-adbe-342919916b6f'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.485783,,,,,,,,,,,,,,8bb59081-f812-410d-bdde-0df543c0f952,5,,"[61.0, 40.1]",3879768,0,True,,,1.0516502,,Right Foot,,,,"[61.4, 40.8]",,Ground Pass,0.8062258,,,,Fabio Quagliarella,7011.0,,,,,Kick Off,1,From Kick Off,Roberto Soriano,6759.0,Left Defensive Midfield,2,Sampdoria,234,['0b1cd6ea-292c-4435-905d-87af92ee333f'],0,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.547,Pass,
,,,,,,,,,,,,,,,,,2.171509,,,,,,,,,,,,,,640caaa8-ddde-4b67-9064-c690a0a4d4b8,7,,"[62.6, 40.8]",3879768,0,,,,2.8518047,,Right Foot,,,,"[35.1, 49.0]",,Ground Pass,28.696516,,,,Andrea Ranocchia,7962.0,,,,,,1,From Kick Off,Fabio Quagliarella,7011.0,Center Forward,2,Sampdoria,234,['ffc93190-412b-40a1-bec8-935d17fba8fe'],1,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:01.071,Pass,
,,,,,,,,,,,,,,,,,3.039748,,,,,,,,,,,,,,cc2759a2-f685-46df-81eb-b792a6d25d14,10,,"[35.6, 53.9]",3879768,0,,,,0.06484403,,Right Foot,,,,"[97.2, 57.9]",,High Pass,61.729733,,Incomplete,,,,,,,,,1,From Kick Off,Andrea Ranocchia,7962.0,Center Back,2,Sampdoria,234,['76e1a019-0fe8-42ae-a7db-ee1313fb1fbe'],4,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:04.731,Pass,
,,,,,,,,,,,,,,,,,1.645419,,,,,,,,,,,,,,76e1a019-0fe8-42ae-a7db-ee1313fb1fbe,11,,"[22.9, 22.2]",3879768,0,,,,2.9849908,,Head,,,,"[5.8, 24.9]",,Low Pass,17.311846,,,,Pierluigi Gollini,8274.0,,,,,Recovery,1,Regular Play,Filip Helander,7966.0,Left Center Back,3,Hellas Verona,226,"['7fbaef23-3797-467a-9c70-7d26e556cf51', 'cc2759a2-f685-46df-81eb-b792a6d25d14']",7,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:07.770,Pass,
