50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f0e35979-f9ce-483c-a1e9-3397b802362e,1,,,,3878599,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7113, 'name': 'Simone Missiroli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 27110, 'name': 'Antonio Floro Flores'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 83}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 92}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f750e7da-7424-491b-ae89-14d14a45a8bf,2,,,,3878599,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 386607, 'name': 'Gianpaolo Bellini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 45590, 'name': 'Nicolò Cherubin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 93}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 35923, 'name': 'Carlos Emilio Carmona Tello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 12759, 'name': 'Maximiliano Nicol Moralez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 36770, 'name': 'Mauricio Ricardo Pinilla Ferreira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 51}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c8287858-c49c-471b-9f95-09cb3f95525e,3,,,,3878599,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['ddbd68b0-5ac7-4cb6-9abd-b2c7082a18e3'],0,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ddbd68b0-5ac7-4cb6-9abd-b2c7082a18e3,4,,,,3878599,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['c8287858-c49c-471b-9f95-09cb3f95525e'],0,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a6effd06-6200-4281-8d41-e9e0cf3301bc,1492,,,,3878599,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Atalanta,228,['34e6428c-bc0d-4a0a-9f35-5a8f913876f9'],0,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,34e6428c-bc0d-4a0a-9f35-5a8f913876f9,1493,,,,3878599,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Atalanta,228,['a6effd06-6200-4281-8d41-e9e0cf3301bc'],0,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.398824,,,,,,,,,,,,,,,8927f357-6e38-44fb-9f4a-f1b443c64c11,5,,,"[60.0, 40.0]",3878599,0,,,,,2.4329665,,Right Foot,,,,"[58.6, 41.2]",,Ground Pass,,1.8439089,,,,Maximiliano Nicol Moralez,12759.0,,,,,Kick Off,1,From Kick Off,Mauricio Ricardo Pinilla Ferreira,36770.0,Center Forward,2,Atalanta,228,['23e0ffa5-1130-4006-a02a-849b375abdd2'],0,,,,,,,,,,,,,,,Atalanta,228,00:00:00.329,Pass,
,,,,,,,,,,,,,,,,,0.997445,,,,,,,,,,,,,,,0d0ed7ba-40d7-4364-a1b8-3b28a3ce50a8,8,,,"[57.2, 41.0]",3878599,0,,,,,-2.7790484,,Right Foot,,,,"[45.6, 36.6]",,Ground Pass,,12.40645,,,,Marten de Roon,6994.0,,,,,,1,From Kick Off,Maximiliano Nicol Moralez,12759.0,Right Wing,2,Atalanta,228,['3d7e584a-7df4-4173-aea7-2d8d5d78109b'],0,,,,,,,,,,,,,,,Atalanta,228,00:00:00.807,Pass,
,,,,,,,,,,,,,,,,,1.137393,,,,,,,,,,,,,,,b779cd0b-9dd6-4367-8437-9e6d7843e378,11,,,"[44.2, 35.7]",3878599,0,,,,,-2.2713783,,Right Foot,,,,"[32.9, 22.3]",,Ground Pass,,17.528547,,,,Nicolò Cherubin,45590.0,,,,,,1,From Kick Off,Marten de Roon,6994.0,Center Defensive Midfield,2,Atalanta,228,['75b08a09-363f-490e-8b58-ee946df74973'],2,,,,,,,,,,,,,,,Atalanta,228,00:00:02.674,Pass,
,,,,,,,,,,,,,,,,,1.312298,,,,,,,,,,,,,,,08fb94e0-5c7a-4a94-92fd-c04650373e9c,14,,,"[34.2, 22.7]",3878599,0,,,,,1.8172543,,Left Foot,,,,"[30.2, 38.6]",,Ground Pass,,16.395426,,,,Gabriel Alejandro Paletta,38237.0,,,,,,1,From Kick Off,Nicolò Cherubin,45590.0,Left Center Back,2,Atalanta,228,['193f0c17-44df-4c14-8539-d6fab55af0fe'],5,,,,,,,,,,,,,,,Atalanta,228,00:00:05.292,Pass,
