50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.173263,,,,,,,,,,,,,,ed45f80f-c5e8-445a-9bee-5c0805098562,14,,"[15.8, 40.4]",3879828,0,,,,,-1.5017817,,Right Foot,,,,"[17.3, 18.7]",,Ground Pass,,21.751781,,,Emiliano Moretti,7476.0,,,,,,,1,From Kick Off,Kamil Glik,3034.0,Center Back,2,Torino,241,['b3f1ab40-7350-4858-9d1b-8606ff993e80'],7,,,,,,,,,,,,,,,,,Torino,241,00:00:07.984,Pass,
,,,,,,,,,,,,,,,,,,1.1338,,,,,,,,,,,,,,e1d0667a-30db-4449-865c-9d870d6d5408,17,,"[15.8, 13.9]",3879828,0,,,,,-0.79394495,,Left Foot,,,,"[27.4, 2.1]",,Ground Pass,,16.546904,,,Gastón Alexis Silva Perdomo,28289.0,,,,,,,1,From Kick Off,Emiliano Moretti,7476.0,Left Center Back,2,Torino,241,['19595eb7-792a-4a3b-896f-1e41a598381b'],10,,,,,,,,,,,,,,,,,Torino,241,00:00:10.509,Pass,
,,,,,,,,,,,,,,,,,,2.889299,,,,,,,,,,,,,,5c24a274-1ca5-4388-8b2c-0eb07e1e005e,20,,"[39.7, 4.5]",3879828,0,,,,,0.10358828,8da83718-f450-4d99-9a64-a475f1379ea2,Left Foot,,,True,"[80.1, 8.7]",,High Pass,,40.61773,,,Josef Alexander Martínez Mencia,12619.0,True,,,,,,1,From Kick Off,Gastón Alexis Silva Perdomo,28289.0,Left Wing Back,2,Torino,241,['e4911ecc-ab02-4774-aa79-bb18d9ae7f51'],15,,,,,,,,,,,,,,,,,Torino,241,00:00:15.153,Pass,
,,,,,,,,,,,,,,,,,,1.206191,,,,,,,,,,,,,,6a7f1b19-6543-4962-9149-629c61c0caa2,25,,"[7.0, 44.1]",3879828,0,,True,,,0.72355354,,Right Foot,,,,"[47.3, 79.7]",,High Pass,,53.772205,Out,,,,,,,,,Goal Kick,1,From Goal Kick,Wojciech Szczęsny,5669.0,Goalkeeper,3,AS Roma,229,,41,,,,,,,,,,,,,,,,,AS Roma,229,00:00:41.525,Pass,
,,,,,,,,,,,,,,,,,,0.99358,,,,,,,,,,,,,,92f3ad52-3dad-460a-aa14-545f81efc9af,26,,"[69.0, 0.1]",3879828,0,,,,,1.5707964,,,,,,"[69.0, 6.6]",,Low Pass,,6.5,,,Alessandro Gazzi,40351.0,,,,,,Throw-in,1,From Throw In,Gastón Alexis Silva Perdomo,28289.0,Left Wing Back,4,Torino,241,['e861c762-8d61-4364-9e92-38d59612ec1d'],49,,,,,,,,,,,,,,,,,Torino,241,00:00:49.805,Pass,
,,,,,,,,,,,,,,,,,,0.96331,,,,,,,,,,,,,,34a65e6a-c7c8-4112-9aae-7e9c2717946b,29,,"[69.0, 6.6]",3879828,0,,,,,-1.677532,,Left Foot,,,,"[68.4, 1.0]",,Ground Pass,,5.632051,,,Gastón Alexis Silva Perdomo,28289.0,,,,,,,1,From Throw In,Alessandro Gazzi,40351.0,Center Defensive Midfield,4,Torino,241,['e2c6ae5a-fa04-41c4-aba2-3001c2353d9b'],50,,,,,,,,,,,,,,,,,Torino,241,00:00:50.838,Pass,
,,,,,,,,,,,,,,,,,,2.371234,,,,,,,,,,,,,,542a71b7-366e-4e5e-b057-a1ee8b30ca37,33,,"[69.0, 2.6]",3879828,0,,,,,3.1141605,,Left Foot,,,,"[36.2, 3.5]",,Ground Pass,,32.812344,,,Emiliano Moretti,7476.0,,,,,,,1,From Throw In,Gastón Alexis Silva Perdomo,28289.0,Left Wing Back,4,Torino,241,"['143a83e8-15df-4457-ae32-9d2a0aa926d9', 'b3c353e1-0c11-408b-9ee0-ae313487d1bb']",52,,,,,,,,,,,,,,,,,Torino,241,00:00:52.607,Pass,True
,,,,,,,,,,,,,,,,,,1.672731,,,,,,,,,,,,,,3b04ffff-6e8f-4443-aac5-e412b1c55128,36,,"[33.3, 3.6]",3879828,0,,,,,1.8102956,,Right Foot,,,,"[29.1, 20.8]",,Ground Pass,,17.705366,,,Kamil Glik,3034.0,,,,,,,1,From Throw In,Emiliano Moretti,7476.0,Left Center Back,4,Torino,241,['71456254-91eb-4f30-8872-56d85417b628'],55,,,,,,,,,,,,,,,,,Torino,241,00:00:55.219,Pass,
,,,,,,,,,,,,,,,,,,2.151478,,,,,,,,,,,,,,96af7bc3-8f67-4500-9618-ce21f1c69ff3,39,,"[33.3, 39.5]",3879828,1,,,,,-1.0722284,,Right Foot,,,,"[52.9, 3.5]",,Low Pass,,40.989754,,,Gastón Alexis Silva Perdomo,28289.0,,,,,,,1,From Throw In,Kamil Glik,3034.0,Center Back,4,Torino,241,['b61c34ac-2a6d-4d94-b82d-edc9f57a66c4'],0,,,,,,,,,,,,,,,,,Torino,241,00:01:00.263,Pass,
,,,,,,,,,,,,,,,,,,1.109547,,,,,,,,,,,,,,92bedc6d-2b44-4841-80d5-2bdc1d36b2c1,42,,"[52.9, 3.5]",3879828,1,,,,,1.7089481,,Left Foot,,,,"[50.3, 22.2]",,Ground Pass,,18.879883,,,Alessandro Gazzi,40351.0,,,,,,,1,From Throw In,Gastón Alexis Silva Perdomo,28289.0,Left Wing Back,4,Torino,241,['b15f809d-12d5-4f50-801b-875c876f5eb5'],4,,,,,,,,,,,,,,,,,Torino,241,00:01:04.451,Pass,
,,,,,,,,,,,,,,,,,,1.652634,,,,,,,,,,,,,,ccaf9b29-fab6-4c95-bf2e-158076bf6bd2,46,,"[64.8, 15.1]",3879828,1,,,,,-1.8070416,,Right Foot,,,,"[62.2, 4.3]",,Ground Pass,,11.108555,,,Gastón Alexis Silva Perdomo,28289.0,,,,,,,1,From Throw In,Alessandro Gazzi,40351.0,Center Defensive Midfield,4,Torino,241,"['64bdd251-e0bd-4b7f-a758-05f929853b18', '70d8c2c2-1f43-435a-a435-1b74066caab9']",8,,,,,,,,,,,,,,,,,Torino,241,00:01:08.712,Pass,True
,,,,,,,,,,,,,,,,,,1.708476,,,,,,,,,,,,,,023b2982-b1c8-4b76-a6b9-85feb6f0cf39,49,,"[62.2, 4.3]",3879828,1,,,,,3.0849524,,Left Foot,,,,"[42.8, 5.4]",,Ground Pass,,19.43116,,,Emiliano Moretti,7476.0,,,,,,,1,From Throw In,Gastón Alexis Silva Perdomo,28289.0,Left Wing Back,4,Torino,241,['80f61a4b-98ab-4673-93c3-1e68f3151fcf'],10,,,,,,,,,,,,,,,,,Torino,241,00:01:10.405,Pass,
,,,,,,,,,,,,,,,,,,2.104507,,,,,,,,,,,,,,a7b3ebca-c8ad-4d0c-bf43-6c757e00bba0,52,,"[42.8, 5.7]",3879828,1,,,,,2.0880058,,Left Foot,,,,"[33.3, 22.4]",,Ground Pass,,19.213017,,,Kamil Glik,3034.0,,,,,,,1,From Throw In,Emiliano Moretti,7476.0,Left Center Back,4,Torino,241,['021cd07e-74ec-448a-b99d-e2643337da7b'],12,,,,,,,,,,,,,,,,,Torino,241,00:01:12.793,Pass,
,,,,,,,,,,,,,,,,,,1.270192,,,,,,,,,,,,,,85c61a03-4298-44d8-82d6-0ae34d0d9ae1,55,,"[31.2, 27.2]",3879828,1,,,,,1.496046,,Right Foot,,,,"[32.9, 49.9]",,Ground Pass,,22.763567,,,Nikola Maksimović,16202.0,,,,,,,1,From Throw In,Kamil Glik,3034.0,Center Back,4,Torino,241,['b6554e35-c01b-4821-bc11-1f334a0f921f'],15,,,,,,,,,,,,,,,,,Torino,241,00:01:15.804,Pass,
,,,,,,,,,,,,,,,,,,1.319849,,,,,,,,,,,,,,2c36a71c-986d-4220-b9e8-481bbfaa39bb,58,,"[36.2, 56.5]",3879828,1,,,,,-1.9452839,,Right Foot,,,,"[28.3, 36.4]",,Ground Pass,,21.59676,,,Kamil Glik,3034.0,,,,,,,1,From Throw In,Nikola Maksimović,16202.0,Right Center Back,4,Torino,241,['7aa629b2-9cb0-4bb8-a532-ae3b656e2b69'],18,,,,,,,,,,,,,,,,,Torino,241,00:01:18.778,Pass,
,,,,,,,,,,,,,,,,,,2.636721,,,,,,,,,,,,,,080997c9-41ac-4cbc-8d42-81f8f6ad6236,61,,"[32.9, 40.5]",3879828,1,,,,,-1.1282088,,Right Foot,,,,"[52.0, 0.2]",,Ground Pass,,44.597084,,,Gastón Alexis Silva Perdomo,28289.0,,,True,,,,1,From Throw In,Kamil Glik,3034.0,Center Back,4,Torino,241,['51476112-ac63-4d7e-a958-afff1493d700'],22,,,,,,,,,,,,,,,,,Torino,241,00:01:22.648,Pass,
