50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8f0ec2ab-3ac1-4dd5-8f1f-5baac6ced6a8,1,,,3879847,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 8852, 'name': 'Thomas Heurtaux'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 75}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8191, 'name': 'Ali Adnan Kadhim Al Tameemi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 53}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6577, 'name': 'Zdravko Kuzmanović'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 77}, {'player': {'id': 7696, 'name': 'Ryder Matos Santos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 88}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5154649a-083f-4319-a883-0343cc6ac21e,2,,,3879847,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40427, 'name': 'Cesare Bovo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4709, 'name': 'Pontus Jansson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 18}, {'player': {'id': 28289, 'name': 'Gastón Alexis Silva Perdomo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3660, 'name': 'Davide Zappacosta'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 7}, {'player': {'id': 6965, 'name': 'Bruno da Silva Peres'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 33}, {'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7474, 'name': 'Afriyie Acquah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 12619, 'name': 'Josef Alexander Martínez Mencia'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Torino,241,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ad86f12e-2c10-42e8-8e1b-8ee394262315,3,,,3879847,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['f702ca33-8318-4d6f-b00a-bd73e53277cd'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f702ca33-8318-4d6f-b00a-bd73e53277cd,4,,,3879847,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['ad86f12e-2c10-42e8-8e1b-8ee394262315'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f7e4a606-3891-4f8b-bf68-998047b72c56,1640,,,3879847,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Torino,241,['3cb46ade-b940-4661-94c1-bade4376a93f'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3cb46ade-b940-4661-94c1-bade4376a93f,1641,,,3879847,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Torino,241,['f7e4a606-3891-4f8b-bf68-998047b72c56'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.32897,,,,,,,,,,,262fffd3-0b59-4546-817e-122cf2877f32,5,,"[61.0, 40.1]",3879847,0,,True,,,2.1025205,,Right Foot,,,,"[60.0, 41.8]",,Ground Pass,,1.9723083,,,,Ryder Matos Santos,7696.0,,,,,Kick Off,1,From Kick Off,Cyril Théréau,8272.0,Right Center Forward,2,Udinese,230,['f7a057a0-df3a-409f-9ddb-c10cbe953dc5'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.895,Pass,
,,,,,,,,,,,,,,,,,,1.088288,,,,,,,,,,,1caba426-6037-4975-856b-6eae12a7bf33,7,,"[60.0, 42.2]",3879847,0,,,,,-3.0929823,,Right Foot,,,,"[41.5, 41.3]",,Ground Pass,,18.52188,,,,Danilo Larangeira,7799.0,,,,,,1,From Kick Off,Ryder Matos Santos,7696.0,Left Center Forward,2,Udinese,230,['4578f3ac-02fc-44ae-abf6-d53526f60a12'],1,,,,,,,,,,,,,,,,,Udinese,230,00:00:01.224,Pass,
,,,,,,,,,,,,,,,,,,3.421963,,,,,,,,,,,5ce5a4ec-160a-49b8-8410-66c68db31e89,10,,"[41.2, 41.3]",3879847,0,,,,,-0.59140104,,Right Foot,,,,"[95.4, 4.9]",,High Pass,,65.28859,,,,Ali Adnan Kadhim Al Tameemi,8191.0,,,,,,1,From Kick Off,Danilo Larangeira,7799.0,Center Back,2,Udinese,230,['95f330b2-8f2e-4cf2-8bd8-0f88d4a0e9fa'],4,,,,,,,,,,,,,,,,,Udinese,230,00:00:04.129,Pass,
,,,,,,,,,,,,,,,,,,0.846569,,,,,,,,,,,75b95f6b-596a-4b9d-9365-bed5eebf885a,13,,"[95.4, 4.9]",3879847,0,,,,True,0.94507575,,,,,,"[106.6, 20.4]",,High Pass,,19.123022,,Incomplete,,,,,,,,,1,From Kick Off,Ali Adnan Kadhim Al Tameemi,8191.0,Left Wing Back,2,Udinese,230,"['cbcc4074-9a62-4e4d-9f77-a1a4ee356007', 'd125da87-45d2-4bf0-8eed-08209768a8eb']",7,,,,,,,,,,,,,,,,,Udinese,230,00:00:07.591,Pass,True
